term1,term2,foodb_public_id,efo_disease,is_cause,is_treat,relation
allium sativum,anemia,FOOD00008,EFO:0004272,0,2,treat
allium sativum,asthma,FOOD00008,EFO:0000270,0,6,treat
allium sativum,atherosclerosis,FOOD00008,EFO:0003914,0,2,treat
allium sativum,hypertension,FOOD00008,EFO:0000537,0,5,treat
allium sativum,kidney diseases,FOOD00008,EFO:0003086,0,4,treat
allium sativum,malaria,FOOD00008,EFO:0001068,0,4,treat
apium graveolens,hypertension,FOOD00015,EFO:0000537,0,3,treat
apple,hypertension,FOOD00105,EFO:0000537,0,8,treat
avena sativa,atopic dermatitis,FOOD00022,EFO:0000274,0,2,treat
banana,hypertension,FOOD00208,EFO:0000537,0,8,treat
beer,Alzheimer's disease,FOOD00268,EFO:0000249,0,6,treat
beverages,celiac disease,FOOD00870,EFO:0001060,0,3,treat
beverages,coronary heart disease,FOOD00870,EFO:0001645,0,7,treat
black tea,stroke,FOOD00907,EFO:0000712,0,3,treat
camellia sinensis,hypertension,FOOD00038,EFO:0000537,0,2,treat
camellia sinensis,obesity,FOOD00038,EFO:0001073,0,3,treat
capsicum,hypertension,FOOD00233,EFO:0000537,0,3,treat
capsicum,psoriasis,FOOD00233,EFO:0000676,0,2,treat
capsicum annuum,anemia,FOOD00040,EFO:0004272,0,2,treat
capsicum annuum,anemia,FOOD00877,EFO:0004272,0,2,treat
capsicum annuum,anemia,FOOD00878,EFO:0004272,0,2,treat
capsicum annuum,anemia,FOOD00879,EFO:0004272,0,2,treat
capsicum annuum,anemia,FOOD00880,EFO:0004272,0,2,treat
capsicum annuum,anemia,FOOD00881,EFO:0004272,0,2,treat
capsicum annuum,asthma,FOOD00040,EFO:0000270,0,2,treat
capsicum annuum,asthma,FOOD00877,EFO:0000270,0,2,treat
capsicum annuum,asthma,FOOD00878,EFO:0000270,0,2,treat
capsicum annuum,asthma,FOOD00879,EFO:0000270,0,2,treat
capsicum annuum,asthma,FOOD00880,EFO:0000270,0,2,treat
capsicum annuum,asthma,FOOD00881,EFO:0000270,0,2,treat
cheese,type 2 diabetes,FOOD00617,EFO:0001360,0,28,treat
chocolate,stroke,FOOD00687,EFO:0000712,0,3,treat
cichorium intybus,type 2 diabetes mellitus,FOOD00049,EFO:0001360,0,3,treat
cinnamomum,type 2 diabetes mellitus,FOOD00572,EFO:0001360,0,6,treat
cinnamon,Alzheimer's disease,FOOD00572,EFO:0000249,0,10,treat
cinnamon,obesity,FOOD00572,EFO:0001073,0,6,treat
cinnamon,type 2 diabetes,FOOD00572,EFO:0001360,0,63,treat
cinnamon,type 2 diabetes mellitus,FOOD00572,EFO:0001360,0,6,treat
cinnamon,type-2 diabetes,FOOD00572,EFO:0001360,0,7,treat
citrus maxima,hypertension,FOOD00055,EFO:0000537,0,2,treat
cocktail,anemia,FOOD00739,EFO:0004272,0,2,treat
coconut,atopic dermatitis,FOOD00336,EFO:0000274,0,10,treat
coconut oil,Alzheimer's disease,FOOD00941,EFO:0000249,0,6,treat
coconut oil,atopic dermatitis,FOOD00941,EFO:0000274,0,3,treat
coffee,atherosclerosis,FOOD00058,EFO:0003914,0,12,treat
coffee,gout,FOOD00058,EFO:0004274,0,3,treat
coffee,obesity,FOOD00058,EFO:0001073,0,4,treat
coffee,type 2 diabetes,FOOD00058,EFO:0001360,0,4,treat
corn,celiac disease,FOOD00205,EFO:0001060,0,6,treat
corn,hypertension,FOOD00205,EFO:0000537,0,8,treat
crataegus,hypertension,FOOD00985,EFO:0000537,0,2,treat
crocus sativus,asthma,FOOD00063,EFO:0000270,0,2,treat
curcuma longa,asthma,FOOD00068,EFO:0000270,0,4,treat
curcuma longa,obesity,FOOD00068,EFO:0001073,0,5,treat
curcuma longa,rheumatoid arthritis,FOOD00068,EFO:0000685,0,2,treat
diospyros,impotence,FOOD00594,EFO:0004234,0,2,treat
eggs,type 2 diabetes,FOOD00619,EFO:0001360,0,9,treat
fenugreek,type 2 diabetes,FOOD00186,EFO:0001360,0,9,treat
fruits,Alzheimer's disease,FOOD00871,EFO:0000249,0,4,treat
fruits,Parkinson's disease,FOOD00871,EFO:0002508,0,3,treat
fruits,anemia,FOOD00871,EFO:0004272,0,2,treat
fruits,asthma,FOOD00871,EFO:0000270,0,18,treat
fruits,atherosclerosis,FOOD00871,EFO:0003914,0,3,treat
fruits,cerebrovascular diseases,FOOD00871,EFO:0000712,0,2,treat
fruits,chronic obstructive pulmonary disease,FOOD00871,EFO:0000341,0,5,treat
fruits,coronary heart disease,FOOD00871,EFO:0001645,0,25,treat
fruits,heart attacks,FOOD00871,EFO:0000612,0,2,treat
fruits,hypertension,FOOD00871,EFO:0000537,0,40,treat
fruits,kidney disease,FOOD00871,EFO:0003086,0,2,treat
