term1,term2,foodb_public_id,mesh_disease,is_cause,is_treat,relation
agaricus bisporus,asthma,FOOD00547,MESH:D001249,6,0,cause
allium cepa,asthma,FOOD00006,MESH:D001249,3,0,cause
allium cepa,dermatitis,FOOD00006,MESH:D003872,3,0,cause
allium sativum,dermatitis,FOOD00008,MESH:D003872,2,0,cause
apple,dermatitis,FOOD00105,MESH:D003872,4,0,cause
baby food,diarrhea,FOOD00668,MESH:D004403,3,0,cause
banana,asthma,FOOD00208,MESH:D001249,6,0,cause
banana,hypersensitivity,FOOD00208,MESH:D006967,10,0,cause
banana,pancreatitis,FOOD00208,MESH:D010195,3,0,cause
banana,rhinitis,FOOD00208,MESH:D012220,11,0,cause
barley,Celiac Disease,FOOD00088,MESH:D002446,12,0,cause
barley,Celiac disease,FOOD00088,MESH:D002446,83,0,cause
barley,anaemia,FOOD00088,MESH:D000740,11,0,cause
barley,asthma,FOOD00088,MESH:D001249,4,0,cause
barley,celiac disease,FOOD00088,MESH:D002446,7,0,cause
barley,coeliac disease,FOOD00088,MESH:D002446,6,0,cause
barley,dermatitis,FOOD00088,MESH:D003872,18,0,cause
barley,osteoporosis,FOOD00088,MESH:D010024,11,0,cause
beer,Korsakoff's psychosis,FOOD00268,MESH:D020915,4,0,cause
beer,Wernicke's encephalopathy,FOOD00268,MESH:D014899,4,0,cause
beer,Wernicke-Korsakoff syndrome,FOOD00268,MESH:D020915,3,0,cause
beer,lactic acidosis,FOOD00268,MESH:D000140,5,0,cause
beverages,rosacea,FOOD00870,MESH:D012393,2,0,cause
beverages,telangiectasia,FOOD00870,MESH:D013684,6,0,cause
black tea,diabetes mellitus,FOOD00907,MESH:D003920,10,0,cause
black tea,kidney diseases,FOOD00907,MESH:D007674,10,0,cause
carrot,dermatitis,FOOD00245,MESH:D003872,4,0,cause
cheese,Migraine,FOOD00617,MESH:D008881,6,0,cause
cheese,hypertension,FOOD00617,MESH:D006973,3,0,cause
cheese,insulin-dependent diabetes mellitus,FOOD00617,MESH:D003922,2,0,cause
cheese,migraine,FOOD00617,MESH:D008881,20,0,cause
chestnut,hypersensitivity,FOOD00045,MESH:D006967,6,0,cause
chewing gum,stomatitis,FOOD00643,MESH:D013280,6,0,cause
chicken,obesity,FOOD00329,MESH:D009765,2,0,cause
chicory,asthma,FOOD00049,MESH:D001249,4,0,cause
chocolate,Migraine,FOOD00687,MESH:D008881,2,0,cause
chocolate,Pertussis,FOOD00687,MESH:D001885,2,0,cause
chocolate,acne,FOOD00687,MESH:D000152,34,0,cause
chocolate,atrial fibrillation,FOOD00687,MESH:D001281,3,0,cause
chocolate,hyperglycemia,FOOD00687,MESH:D006943,4,0,cause
chocolate,migraine,FOOD00687,MESH:D008881,15,0,cause
chocolate,obesity,FOOD00687,MESH:D009765,16,0,cause
cinnamon,dermatitis,FOOD00572,MESH:D003872,3,0,cause
cinnamon,hepatitis,FOOD00572,MESH:D006521,4,0,cause
cinnamon,hypersensitivity,FOOD00572,MESH:D006967,10,0,cause
cinnamon,stomatitis,FOOD00572,MESH:D013280,19,0,cause
cinnamon,telangiectasia,FOOD00572,MESH:D013684,3,0,cause
coffee,acne,FOOD00058,MESH:D000152,33,0,cause
corn,dermatitis,FOOD00205,MESH:D003872,11,0,cause
corn,rhinitis,FOOD00205,MESH:D012220,3,0,cause
eggs,acne,FOOD00619,MESH:D000152,32,0,cause
eggs,eczema,FOOD00619,MESH:D003872,3,0,cause
flour,Asthma,FOOD00799,MESH:D001249,5,0,cause
flour,asthma,FOOD00799,MESH:D001249,30,0,cause
flour,hypersensitivity pneumonitis,FOOD00799,MESH:D000542,3,0,cause
flour,rhinitis,FOOD00799,MESH:D012220,6,0,cause
fruit juice,angioedema,FOOD00763,MESH:D000799,2,0,cause
fruit juice,gastrointestinal disorders,FOOD00763,MESH:D004066,2,0,cause
fruits,allergic conjunctivitis,FOOD00871,MESH:D003233,9,0,cause
fruits,dermatitis,FOOD00871,MESH:D003872,3,0,cause
fruits,hypersensitivity,FOOD00871,MESH:D006967,5,0,cause
garlic,dermatitis,FOOD00008,MESH:D003872,19,0,cause
garlic,hemolytic anemia,FOOD00008,MESH:D000743,5,0,cause
garlic,hypersensitivity,FOOD00008,MESH:D006967,10,0,cause
garlic,rhinitis,FOOD00008,MESH:D012220,18,0,cause
hordeum vulgare,asthma,FOOD00088,MESH:D001249,2,0,cause
horseradish,hypersensitivity,FOOD00018,MESH:D006967,50,0,cause
lemon,endophthalmitis,FOOD00054,MESH:D009877,3,0,cause
lemon,hypersensitivity,FOOD00054,MESH:D006967,5,0,cause
mustard,asthma,FOOD00654,MESH:D001249,2,0,cause
mustard,hypersensitivity,FOOD00654,MESH:D006967,13,0,cause
