term1,term2,foodb_public_id,mesh_disease,is_cause,is_treat,relation
alcoholic beverages,heart disease,FOOD00854,MESH:D006331,0,2,treat
allium,cancers,FOOD00005,MESH:D009369,0,6,treat
allium,colorectal cancer,FOOD00005,MESH:D015179,0,6,treat
allium,gastric cancer,FOOD00005,MESH:D013274,0,10,treat
allium,prostate cancer,FOOD00005,MESH:D011471,0,9,treat
allium,stomach cancer,FOOD00005,MESH:D013274,0,6,treat
allium cepa,breast cancer,FOOD00006,MESH:D001943,0,4,treat
allium sativum,anemia,FOOD00008,MESH:D000740,0,2,treat
allium sativum,asthma,FOOD00008,MESH:D001249,0,6,treat
allium sativum,atherosclerosis,FOOD00008,MESH:D050197,0,2,treat
allium sativum,bladder cancer,FOOD00008,MESH:D001749,0,3,treat
allium sativum,cancers,FOOD00008,MESH:D009369,0,17,treat
allium sativum,diabetes,FOOD00008,MESH:D003920,0,8,treat
allium sativum,dyslipidemia,FOOD00008,MESH:D008052,0,2,treat
allium sativum,gastric cancer,FOOD00008,MESH:D013274,0,5,treat
allium sativum,hypertension,FOOD00008,MESH:D006973,0,5,treat
allium sativum,kidney diseases,FOOD00008,MESH:D007674,0,4,treat
allium sativum,liver diseases,FOOD00008,MESH:D008107,0,4,treat
allium sativum,malaria,FOOD00008,MESH:D008288,0,4,treat
allium sativum,measles,FOOD00008,MESH:D008457,0,2,treat
allium sativum,syphilis,FOOD00008,MESH:D002601,0,2,treat
allium sativum,yellow fever,FOOD00008,MESH:D015004,0,2,treat
annona muricata,cancers,FOOD00478,MESH:D009369,0,4,treat
annona muricata,prostate cancer,FOOD00478,MESH:D011471,0,4,treat
annona muricata,tuberculosis,FOOD00478,MESH:D014375,0,4,treat
apium graveolens,hypertension,FOOD00015,MESH:D006973,0,3,treat
apple,hypertension,FOOD00105,MESH:D006973,0,8,treat
asparagus,liver cancer,FOOD00021,MESH:D008113,0,18,treat
avena sativa,atopic dermatitis,FOOD00022,MESH:D003876,0,2,treat
banana,hypertension,FOOD00208,MESH:D006973,0,8,treat
beer,Alzheimer's disease,FOOD00268,MESH:D000544,0,6,treat
beer,amnesia,FOOD00268,MESH:D000647,0,2,treat
beer,diabetes,FOOD00268,MESH:D003920,0,8,treat
beverages,allergic diseases,FOOD00870,MESH:D006967,0,3,treat
beverages,celiac disease,FOOD00870,MESH:D002446,0,3,treat
beverages,coronary heart disease,FOOD00870,MESH:D003324,0,7,treat
beverages,heart disease,FOOD00870,MESH:D006331,0,7,treat
black tea,stroke,FOOD00907,MESH:D002561,0,3,treat
brassica oleracea,prostate cancer,FOOD00030,MESH:D011471,0,4,treat
breadfruit,diabetes,FOOD00309,MESH:D003920,0,2,treat
broccoli,breast cancer,FOOD00034,MESH:D001943,0,4,treat
broccoli,cancers,FOOD00034,MESH:D009369,0,5,treat
broccoli,cervical cancer,FOOD00034,MESH:D002583,0,2,treat
broccoli,colon cancer,FOOD00034,MESH:D003110,0,4,treat
broccoli,diabetes,FOOD00034,MESH:D003920,0,5,treat
broccoli,mammary tumors,FOOD00034,MESH:D001943,0,4,treat
broccoli,neurodegenerative diseases,FOOD00034,MESH:D019636,0,5,treat
cabbage,arthritis,FOOD00851,MESH:D001168,0,2,treat
cabbage,breast cancer,FOOD00851,MESH:D001943,0,3,treat
cabbage,cervical cancer,FOOD00851,MESH:D002583,0,2,treat
camellia sinensis,colorectal cancer,FOOD00038,MESH:D015179,0,4,treat
camellia sinensis,diabetes,FOOD00038,MESH:D003920,0,5,treat
camellia sinensis,hypertension,FOOD00038,MESH:D006973,0,2,treat
camellia sinensis,obesity,FOOD00038,MESH:D009765,0,3,treat
canola oil,diabetes,FOOD00922,MESH:D003920,0,2,treat
capsicum,cancers,FOOD00233,MESH:D009369,0,15,treat
capsicum,hypertension,FOOD00233,MESH:D006973,0,3,treat
capsicum,psoriasis,FOOD00233,MESH:D011565,0,2,treat
capsicum annuum,anemia,FOOD00040,MESH:D000740,0,2,treat
capsicum annuum,anemia,FOOD00877,MESH:D000740,0,2,treat
capsicum annuum,anemia,FOOD00878,MESH:D000740,0,2,treat
capsicum annuum,anemia,FOOD00879,MESH:D000740,0,2,treat
capsicum annuum,anemia,FOOD00880,MESH:D000740,0,2,treat
capsicum annuum,anemia,FOOD00881,MESH:D000740,0,2,treat
capsicum annuum,asthma,FOOD00040,MESH:D001249,0,2,treat
capsicum annuum,asthma,FOOD00877,MESH:D001249,0,2,treat
capsicum annuum,asthma,FOOD00878,MESH:D001249,0,2,treat
capsicum annuum,asthma,FOOD00879,MESH:D001249,0,2,treat
capsicum annuum,asthma,FOOD00880,MESH:D001249,0,2,treat
capsicum annuum,asthma,FOOD00881,MESH:D001249,0,2,treat
capsicum annuum,measles,FOOD00040,MESH:D008457,0,2,treat
capsicum annuum,measles,FOOD00877,MESH:D008457,0,2,treat
capsicum annuum,measles,FOOD00878,MESH:D008457,0,2,treat
capsicum annuum,measles,FOOD00879,MESH:D008457,0,2,treat
capsicum annuum,measles,FOOD00880,MESH:D008457,0,2,treat
capsicum annuum,measles,FOOD00881,MESH:D008457,0,2,treat
capsicum annuum,syphilis,FOOD00040,MESH:D002601,0,2,treat
capsicum annuum,syphilis,FOOD00877,MESH:D002601,0,2,treat
capsicum annuum,syphilis,FOOD00878,MESH:D002601,0,2,treat
capsicum annuum,syphilis,FOOD00879,MESH:D002601,0,2,treat
capsicum annuum,syphilis,FOOD00880,MESH:D002601,0,2,treat
capsicum annuum,syphilis,FOOD00881,MESH:D002601,0,2,treat
cauliflower,arthritis,FOOD00031,MESH:D001168,0,2,treat
cheese,diabetes,FOOD00617,MESH:D003920,0,25,treat
cheese,hyperphosphatemia,FOOD00617,MESH:D054559,0,2,treat
cheese,type 2 diabetes,FOOD00617,MESH:D003924,0,28,treat
chives,colorectal cancer,FOOD00009,MESH:D015179,0,5,treat
chives,prostate cancer,FOOD00009,MESH:D011471,0,18,treat
chocolate,breast cancer,FOOD00687,MESH:D001943,0,10,treat
chocolate,diabetes,FOOD00687,MESH:D003920,0,4,treat
chocolate,metabolic syndrome,FOOD00687,MESH:D008659,0,3,treat
chocolate,stroke,FOOD00687,MESH:D002561,0,3,treat
cichorium intybus,type 2 diabetes mellitus,FOOD00049,MESH:D003924,0,3,treat
cinnamomum,diabetes,FOOD00572,MESH:D003920,0,2,treat
cinnamomum,gastritis,FOOD00572,MESH:D005756,0,2,treat
