term1,term2,foodb_public_id,nci_disease,is_cause,is_treat,relation
agaricus bisporus,allergic rhinitis,FOOD00547,NCI:C34987,6,0,cause
agaricus bisporus,asthma,FOOD00547,NCI:C28397,6,0,cause
allium cepa,asthma,FOOD00006,NCI:C28397,3,0,cause
allium cepa,dermatitis,FOOD00006,NCI:C2983,3,0,cause
allium sativum,dermatitis,FOOD00008,NCI:C2983,2,0,cause
apple,dermatitis,FOOD00105,NCI:C2983,4,0,cause
banana,asthma,FOOD00208,NCI:C28397,6,0,cause
banana,hypersensitivity,FOOD00208,NCI:C3114,10,0,cause
banana,pancreatitis,FOOD00208,NCI:C3306,3,0,cause
banana,rhinitis,FOOD00208,NCI:C34986,11,0,cause
barley,Celiac Disease,FOOD00088,NCI:C26714,12,0,cause
barley,Celiac disease,FOOD00088,NCI:C26714,83,0,cause
barley,anaemia,FOOD00088,NCI:C2869,11,0,cause
barley,asthma,FOOD00088,NCI:C28397,4,0,cause
barley,celiac disease,FOOD00088,NCI:C26714,7,0,cause
barley,coeliac disease,FOOD00088,NCI:C26714,6,0,cause
barley,dermatitis,FOOD00088,NCI:C2983,18,0,cause
barley,osteoporosis,FOOD00088,NCI:C3298,11,0,cause
beer,Korsakoff's psychosis,FOOD00268,NCI:C35764,4,0,cause
beer,Wernicke-Korsakoff syndrome,FOOD00268,NCI:C35764,3,0,cause
beer,lactic acidosis,FOOD00268,NCI:C98969,5,0,cause
beverages,rosacea,FOOD00870,NCI:C97136,2,0,cause
beverages,telangiectasia,FOOD00870,NCI:C28194,6,0,cause
black tea,diabetes mellitus,FOOD00907,NCI:C2985,10,0,cause
black tea,kidney diseases,FOOD00907,NCI:C3149,10,0,cause
carrot,dermatitis,FOOD00245,NCI:C2983,4,0,cause
cheese,Migraine,FOOD00617,NCI:C89715,6,0,cause
cheese,hypertension,FOOD00617,NCI:C3117,3,0,cause
cheese,insulin-dependent diabetes mellitus,FOOD00617,NCI:C2986,2,0,cause
cheese,migraine,FOOD00617,NCI:C89715,20,0,cause
chestnut,hypersensitivity,FOOD00045,NCI:C3114,6,0,cause
chewing gum,stomatitis,FOOD00643,NCI:C26887,6,0,cause
chicken,obesity,FOOD00329,NCI:C159658,2,0,cause
chicory,asthma,FOOD00049,NCI:C28397,4,0,cause
chocolate,Migraine,FOOD00687,NCI:C89715,2,0,cause
chocolate,atrial fibrillation,FOOD00687,NCI:C50466,3,0,cause
chocolate,hyperglycemia,FOOD00687,NCI:C26797,4,0,cause
chocolate,migraine,FOOD00687,NCI:C89715,15,0,cause
chocolate,obesity,FOOD00687,NCI:C159658,16,0,cause
cinnamon,dermatitis,FOOD00572,NCI:C2983,3,0,cause
cinnamon,hepatitis,FOOD00572,NCI:C82978,4,0,cause
cinnamon,hypersensitivity,FOOD00572,NCI:C3114,10,0,cause
cinnamon,stomatitis,FOOD00572,NCI:C26887,19,0,cause
cinnamon,telangiectasia,FOOD00572,NCI:C28194,3,0,cause
corn,dermatitis,FOOD00205,NCI:C2983,11,0,cause
corn,rhinitis,FOOD00205,NCI:C34986,3,0,cause
crab,allergic rhinitis,FOOD00573,NCI:C34987,3,0,cause
eggs,eczema,FOOD00619,NCI:C2983,3,0,cause
eggs,obstructive uropathy,FOOD00619,NCI:C79805,3,0,cause
flour,Asthma,FOOD00799,NCI:C28397,5,0,cause
flour,allergic rhinitis,FOOD00799,NCI:C34987,4,0,cause
flour,asthma,FOOD00799,NCI:C28397,30,0,cause
flour,hypersensitivity pneumonitis,FOOD00799,NCI:C34369,3,0,cause
flour,rhinitis,FOOD00799,NCI:C34986,6,0,cause
fruit juice,angioedema,FOOD00763,NCI:C112175,2,0,cause
fruits,allergic conjunctivitis,FOOD00871,NCI:C34506,9,0,cause
