term1,term2,foodb_public_id,omim_disease,is_cause,is_treat,relation
allium,colorectal cancer,FOOD00005,OMIM:114500,0,6,treat
allium,gastric cancer,FOOD00005,OMIM:613659,0,10,treat
allium,prostate cancer,FOOD00005,OMIM:608658,0,9,treat
allium,stomach cancer,FOOD00005,OMIM:613659,0,6,treat
allium cepa,breast cancer,FOOD00006,OMIM:114480,0,4,treat
allium sativum,asthma,FOOD00008,OMIM:600807,0,6,treat
allium sativum,bladder cancer,FOOD00008,OMIM:109800,0,3,treat
allium sativum,gastric cancer,FOOD00008,OMIM:613659,0,5,treat
annona muricata,prostate cancer,FOOD00478,OMIM:608658,0,4,treat
avena sativa,atopic dermatitis,FOOD00022,OMIM:603165,0,2,treat
beverages,celiac disease,FOOD00870,OMIM:611598,0,3,treat
beverages,coronary heart disease,FOOD00870,OMIM:614293,0,7,treat
brassica oleracea,prostate cancer,FOOD00030,OMIM:608658,0,4,treat
broccoli,breast cancer,FOOD00034,OMIM:114480,0,4,treat
broccoli,cervical cancer,FOOD00034,OMIM:603956,0,2,treat
broccoli,mammary tumors,FOOD00034,OMIM:114480,0,4,treat
cabbage,breast cancer,FOOD00851,OMIM:114480,0,3,treat
cabbage,cervical cancer,FOOD00851,OMIM:603956,0,2,treat
camellia sinensis,colorectal cancer,FOOD00038,OMIM:114500,0,4,treat
camellia sinensis,obesity,FOOD00038,OMIM:601665,0,3,treat
capsicum,psoriasis,FOOD00233,OMIM:PS177900,0,2,treat
capsicum annuum,asthma,FOOD00040,OMIM:600807,0,2,treat
capsicum annuum,asthma,FOOD00877,OMIM:600807,0,2,treat
capsicum annuum,asthma,FOOD00878,OMIM:600807,0,2,treat
capsicum annuum,asthma,FOOD00879,OMIM:600807,0,2,treat
capsicum annuum,asthma,FOOD00880,OMIM:600807,0,2,treat
capsicum annuum,asthma,FOOD00881,OMIM:600807,0,2,treat
cheese,type 2 diabetes,FOOD00617,OMIM:601283,0,28,treat
chives,colorectal cancer,FOOD00009,OMIM:114500,0,5,treat
chives,prostate cancer,FOOD00009,OMIM:608658,0,18,treat
chocolate,breast cancer,FOOD00687,OMIM:114480,0,10,treat
cichorium intybus,type 2 diabetes mellitus,FOOD00049,OMIM:601283,0,3,treat
cinnamomum,type 2 diabetes mellitus,FOOD00572,OMIM:601283,0,6,treat
cinnamon,obesity,FOOD00572,OMIM:601665,0,6,treat
cinnamon,type 2 diabetes,FOOD00572,OMIM:601283,0,63,treat
cinnamon,type 2 diabetes mellitus,FOOD00572,OMIM:601283,0,6,treat
cinnamon,type-2 diabetes,FOOD00572,OMIM:601283,0,7,treat
citrus,gastric cancer,FOOD00859,OMIM:613659,0,4,treat
coconut,atopic dermatitis,FOOD00336,OMIM:603165,0,10,treat
coconut oil,atopic dermatitis,FOOD00941,OMIM:603165,0,3,treat
coffee,gastric cancer,FOOD00058,OMIM:613659,0,4,treat
coffee,obesity,FOOD00058,OMIM:601665,0,4,treat
coffee,type 2 diabetes,FOOD00058,OMIM:601283,0,4,treat
corn,celiac disease,FOOD00205,OMIM:611598,0,6,treat
corn,neural tube defects,FOOD00205,OMIM:301410,0,5,treat
crocus sativus,asthma,FOOD00063,OMIM:600807,0,2,treat
cucurbita,alopecia,FOOD00066,OMIM:PS203655,0,2,treat
curcuma longa,asthma,FOOD00068,OMIM:600807,0,4,treat
curcuma longa,obesity,FOOD00068,OMIM:601665,0,5,treat
curcuma longa,rheumatoid arthritis,FOOD00068,OMIM:180300,0,2,treat
eggs,type 2 diabetes,FOOD00619,OMIM:601283,0,9,treat
fenugreek,type 2 diabetes,FOOD00186,OMIM:601283,0,9,treat
flour,Neural Tube Defects,FOOD00799,OMIM:301410,0,2,treat
flour,anencephaly,FOOD00799,OMIM:206500,0,6,treat
flour,neural tube defects,FOOD00799,OMIM:301410,0,13,treat
fruits,Breast Cancer,FOOD00871,OMIM:114480,0,5,treat
fruits,Parkinson's disease,FOOD00871,OMIM:PS168600,0,3,treat
fruits,asthma,FOOD00871,OMIM:600807,0,18,treat
fruits,bladder cancer,FOOD00871,OMIM:109800,0,5,treat
fruits,breast cancer,FOOD00871,OMIM:114480,0,7,treat
fruits,cataracts,FOOD00871,OMIM:601371,0,7,treat
fruits,chronic obstructive pulmonary disease,FOOD00871,OMIM:606963,0,5,treat
fruits,colorectal cancer,FOOD00871,OMIM:114500,0,6,treat
fruits,coronary heart disease,FOOD00871,OMIM:614293,0,25,treat
fruits,gastric cancer,FOOD00871,OMIM:613659,0,6,treat
fruits,heart attacks,FOOD00871,OMIM:608557,0,2,treat
fruits,lung cancer,FOOD00871,OMIM:612593,0,4,treat
fruits,obesity,FOOD00871,OMIM:601665,0,7,treat
fruits,osteoporosis,FOOD00871,OMIM:166710,0,3,treat
fruits,ovarian cancer,FOOD00871,OMIM:167000,0,4,treat
fruits,prostate cancer,FOOD00871,OMIM:608658,0,4,treat
