term1,term2,foodb_public_id,snomedct_disease,is_cause,is_treat,relation
agaricus bisporus,allergic rhinitis,FOOD00547,SNOMEDCT_US_2020_09_01:38103000,6,0,cause
agaricus bisporus,asthma,FOOD00547,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
allium cepa,asthma,FOOD00006,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
allium cepa,dermatitis,FOOD00006,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
allium sativum,dermatitis,FOOD00008,SNOMEDCT_US_2020_09_01:238538009,2,0,cause
apple,dermatitis,FOOD00105,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
baby food,diarrhea,FOOD00668,SNOMEDCT_US_2020_09_01:154268000,3,0,cause
banana,asthma,FOOD00208,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
banana,hypersensitivity,FOOD00208,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
banana,pancreatitis,FOOD00208,SNOMEDCT_US_2020_09_01:393591004,3,0,cause
banana,rhinitis,FOOD00208,SNOMEDCT_US_2020_09_01:70076002,11,0,cause
banana,urticaria,FOOD00208,SNOMEDCT_US_2020_09_01:267817001,11,0,cause
barley,Celiac Disease,FOOD00088,SNOMEDCT_US_2020_09_01:197477005,12,0,cause
barley,Celiac disease,FOOD00088,SNOMEDCT_US_2020_09_01:197477005,83,0,cause
barley,anaemia,FOOD00088,SNOMEDCT_US_2020_09_01:64593003,11,0,cause
barley,asthma,FOOD00088,SNOMEDCT_US_2020_09_01:187687003,4,0,cause
barley,celiac disease,FOOD00088,SNOMEDCT_US_2020_09_01:197477005,7,0,cause
barley,coeliac disease,FOOD00088,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
barley,dermatitis,FOOD00088,SNOMEDCT_US_2020_09_01:238538009,18,0,cause
barley,osteoporosis,FOOD00088,SNOMEDCT_US_2020_09_01:156825006,11,0,cause
beer,Korsakoff's psychosis,FOOD00268,SNOMEDCT_US_2020_09_01:69482004,4,0,cause
beer,Wernicke's encephalopathy,FOOD00268,SNOMEDCT_US_2020_09_01:190627001,4,0,cause
beer,Wernicke-Korsakoff syndrome,FOOD00268,SNOMEDCT_US_2020_09_01:69482004,3,0,cause
beer,lactic acidosis,FOOD00268,SNOMEDCT_US_2020_09_01:91273001,5,0,cause
beer,urticaria,FOOD00268,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
beverages,rosacea,FOOD00870,SNOMEDCT_US_2020_09_01:1612004,2,0,cause
beverages,telangiectasia,FOOD00870,SNOMEDCT_US_2020_09_01:112641009,6,0,cause
black tea,diabetes mellitus,FOOD00907,SNOMEDCT_US_2020_09_01:267467004,10,0,cause
black tea,kidney diseases,FOOD00907,SNOMEDCT_US_2020_09_01:266612003,10,0,cause
carrot,dermatitis,FOOD00245,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
cheese,Migraine,FOOD00617,SNOMEDCT_US_2020_09_01:155046006,6,0,cause
cheese,hypertension,FOOD00617,SNOMEDCT_US_2020_09_01:38341003,3,0,cause
cheese,insulin-dependent diabetes mellitus,FOOD00617,SNOMEDCT_US_2020_09_01:46635009,2,0,cause
cheese,migraine,FOOD00617,SNOMEDCT_US_2020_09_01:155046006,20,0,cause
chestnut,hypersensitivity,FOOD00045,SNOMEDCT_US_2020_09_01:257550005,6,0,cause
chewing gum,stomatitis,FOOD00643,SNOMEDCT_US_2020_09_01:95361005,6,0,cause
chicken,obesity,FOOD00329,SNOMEDCT_US_2020_09_01:5476005,2,0,cause
chicory,asthma,FOOD00049,SNOMEDCT_US_2020_09_01:187687003,4,0,cause
chocolate,Migraine,FOOD00687,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
chocolate,Pertussis,FOOD00687,SNOMEDCT_US_2020_09_01:26484003,2,0,cause
chocolate,acne,FOOD00687,SNOMEDCT_US_2020_09_01:11381005,34,0,cause
chocolate,atrial fibrillation,FOOD00687,SNOMEDCT_US_2020_09_01:266306001,3,0,cause
chocolate,hyperglycemia,FOOD00687,SNOMEDCT_US_2020_09_01:144187006,4,0,cause
chocolate,migraine,FOOD00687,SNOMEDCT_US_2020_09_01:155046006,15,0,cause
chocolate,obesity,FOOD00687,SNOMEDCT_US_2020_09_01:5476005,16,0,cause
cinnamon,dermatitis,FOOD00572,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
cinnamon,hepatitis,FOOD00572,SNOMEDCT_US_2020_09_01:266539002,4,0,cause
cinnamon,hypersensitivity,FOOD00572,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
cinnamon,stomatitis,FOOD00572,SNOMEDCT_US_2020_09_01:95361005,19,0,cause
cinnamon,telangiectasia,FOOD00572,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
coffee,acne,FOOD00058,SNOMEDCT_US_2020_09_01:11381005,33,0,cause
corn,dermatitis,FOOD00205,SNOMEDCT_US_2020_09_01:238538009,11,0,cause
corn,rhinitis,FOOD00205,SNOMEDCT_US_2020_09_01:70076002,3,0,cause
crab,allergic rhinitis,FOOD00573,SNOMEDCT_US_2020_09_01:38103000,3,0,cause
eggs,acne,FOOD00619,SNOMEDCT_US_2020_09_01:11381005,32,0,cause
eggs,eczema,FOOD00619,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
eggs,obstructive uropathy,FOOD00619,SNOMEDCT_US_2020_09_01:7163005,3,0,cause
eggs,urticaria,FOOD00619,SNOMEDCT_US_2020_09_01:267817001,2,0,cause
flour,Asthma,FOOD00799,SNOMEDCT_US_2020_09_01:187687003,5,0,cause
flour,allergic rhinitis,FOOD00799,SNOMEDCT_US_2020_09_01:38103000,4,0,cause
flour,asthma,FOOD00799,SNOMEDCT_US_2020_09_01:187687003,30,0,cause
flour,hypersensitivity pneumonitis,FOOD00799,SNOMEDCT_US_2020_09_01:155581001,3,0,cause
flour,rhinitis,FOOD00799,SNOMEDCT_US_2020_09_01:70076002,6,0,cause
flour,urticaria,FOOD00799,SNOMEDCT_US_2020_09_01:267817001,2,0,cause
fruit juice,angioedema,FOOD00763,SNOMEDCT_US_2020_09_01:41291007,2,0,cause
fruit juice,gastrointestinal disorders,FOOD00763,SNOMEDCT_US_2020_09_01:53619000,2,0,cause
fruits,allergic conjunctivitis,FOOD00871,SNOMEDCT_US_2020_09_01:231854006,9,0,cause
fruits,carotenemia,FOOD00871,SNOMEDCT_US_2020_09_01:35487009,3,0,cause
fruits,dermatitis,FOOD00871,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
fruits,hypersensitivity,FOOD00871,SNOMEDCT_US_2020_09_01:257550005,5,0,cause
garlic,dermatitis,FOOD00008,SNOMEDCT_US_2020_09_01:238538009,19,0,cause
garlic,hemolytic anemia,FOOD00008,SNOMEDCT_US_2020_09_01:61261009,5,0,cause
garlic,hypersensitivity,FOOD00008,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
