term1,term2,foodb_public_id,snomedct_disease,is_cause,is_treat,relation
alcoholic beverages,heart disease,FOOD00854,SNOMEDCT_US_2020_09_01:194707003,0,2,treat
allium,cancers,FOOD00005,SNOMEDCT_US_2020_09_01:269513004,0,6,treat
allium,colorectal cancer,FOOD00005,SNOMEDCT_US_2020_09_01:93854002,0,6,treat
allium,gastric cancer,FOOD00005,SNOMEDCT_US_2020_09_01:126824007,0,10,treat
allium,prostate cancer,FOOD00005,SNOMEDCT_US_2020_09_01:93974005,0,9,treat
allium,stomach cancer,FOOD00005,SNOMEDCT_US_2020_09_01:126824007,0,6,treat
allium cepa,breast cancer,FOOD00006,SNOMEDCT_US_2020_09_01:254837009,0,4,treat
allium sativum,anemia,FOOD00008,SNOMEDCT_US_2020_09_01:64593003,0,2,treat
allium sativum,asthma,FOOD00008,SNOMEDCT_US_2020_09_01:187687003,0,6,treat
allium sativum,atherosclerosis,FOOD00008,SNOMEDCT_US_2020_09_01:155414001,0,2,treat
allium sativum,bladder cancer,FOOD00008,SNOMEDCT_US_2020_09_01:126885006,0,3,treat
allium sativum,cancers,FOOD00008,SNOMEDCT_US_2020_09_01:269513004,0,17,treat
allium sativum,diabetes,FOOD00008,SNOMEDCT_US_2020_09_01:267467004,0,8,treat
allium sativum,gastric cancer,FOOD00008,SNOMEDCT_US_2020_09_01:126824007,0,5,treat
allium sativum,hypertension,FOOD00008,SNOMEDCT_US_2020_09_01:38341003,0,5,treat
allium sativum,kidney diseases,FOOD00008,SNOMEDCT_US_2020_09_01:266612003,0,4,treat
allium sativum,liver diseases,FOOD00008,SNOMEDCT_US_2020_09_01:62857009,0,4,treat
allium sativum,malaria,FOOD00008,SNOMEDCT_US_2020_09_01:154374002,0,4,treat
allium sativum,measles,FOOD00008,SNOMEDCT_US_2020_09_01:154338006,0,2,treat
allium sativum,syphilis,FOOD00008,SNOMEDCT_US_2020_09_01:736686006,0,2,treat
allium sativum,yellow fever,FOOD00008,SNOMEDCT_US_2020_09_01:154345006,0,2,treat
annona muricata,cancers,FOOD00478,SNOMEDCT_US_2020_09_01:269513004,0,4,treat
annona muricata,prostate cancer,FOOD00478,SNOMEDCT_US_2020_09_01:93974005,0,4,treat
annona muricata,tuberculosis,FOOD00478,SNOMEDCT_US_2020_09_01:15202009,0,4,treat
annona muricata,urinary tract infections,FOOD00478,SNOMEDCT_US_2020_09_01:197833009,0,4,treat
apium graveolens,hypertension,FOOD00015,SNOMEDCT_US_2020_09_01:38341003,0,3,treat
apple,hypertension,FOOD00105,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
asparagus,liver cancer,FOOD00021,SNOMEDCT_US_2020_09_01:187771009,0,18,treat
avena sativa,atopic dermatitis,FOOD00022,SNOMEDCT_US_2020_09_01:156331003,0,2,treat
banana,hypertension,FOOD00208,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
beer,Alzheimer's disease,FOOD00268,SNOMEDCT_US_2020_09_01:73768007,0,6,treat
