term1,term2,foodb_public_id,umls_disease,is_cause,is_treat,relation
agaricus bisporus,allergic rhinitis,FOOD00547,UMLS_CUI:C0002103,6,0,cause
agaricus bisporus,asthma,FOOD00547,UMLS_CUI:C0004096,6,0,cause
allium cepa,asthma,FOOD00006,UMLS_CUI:C0004096,3,0,cause
allium cepa,dermatitis,FOOD00006,UMLS_CUI:C0011603,3,0,cause
allium sativum,dermatitis,FOOD00008,UMLS_CUI:C0011603,2,0,cause
apple,dermatitis,FOOD00105,UMLS_CUI:C0011603,4,0,cause
baby food,diarrhea,FOOD00668,UMLS_CUI:C0013369,3,0,cause
banana,asthma,FOOD00208,UMLS_CUI:C0004096,6,0,cause
banana,hypersensitivity,FOOD00208,UMLS_CUI:C0020517,10,0,cause
banana,pancreatitis,FOOD00208,UMLS_CUI:C0030305,3,0,cause
banana,rhinitis,FOOD00208,UMLS_CUI:C0035455,11,0,cause
banana,urticaria,FOOD00208,UMLS_CUI:C0029839,11,0,cause
barley,Celiac Disease,FOOD00088,UMLS_CUI:C0007570,12,0,cause
barley,Celiac disease,FOOD00088,UMLS_CUI:C0007570,83,0,cause
barley,anaemia,FOOD00088,UMLS_CUI:C0002871,11,0,cause
barley,asthma,FOOD00088,UMLS_CUI:C0004096,4,0,cause
barley,autoimmune disease,FOOD00088,UMLS_CUI:C0003089,2,0,cause
barley,autoimmune disorder,FOOD00088,UMLS_CUI:C0003089,20,0,cause
barley,celiac disease,FOOD00088,UMLS_CUI:C0007570,7,0,cause
barley,coeliac disease,FOOD00088,UMLS_CUI:C0007570,6,0,cause
barley,dermatitis,FOOD00088,UMLS_CUI:C0011603,18,0,cause
barley,osteoporosis,FOOD00088,UMLS_CUI:C0029456,11,0,cause
beer,Korsakoff's psychosis,FOOD00268,UMLS_CUI:C0349464,4,0,cause
beer,Wernicke's encephalopathy,FOOD00268,UMLS_CUI:C0043121,4,0,cause
beer,Wernicke-Korsakoff syndrome,FOOD00268,UMLS_CUI:C0349464,3,0,cause
beer,lactic acidosis,FOOD00268,UMLS_CUI:C0001125,5,0,cause
beer,urticaria,FOOD00268,UMLS_CUI:C0029839,3,0,cause
beverages,rosacea,FOOD00870,UMLS_CUI:C0035854,2,0,cause
beverages,telangiectasia,FOOD00870,UMLS_CUI:C0039446,6,0,cause
black tea,diabetes mellitus,FOOD00907,UMLS_CUI:C0011849,10,0,cause
black tea,kidney diseases,FOOD00907,UMLS_CUI:C0022658,10,0,cause
carrot,dermatitis,FOOD00245,UMLS_CUI:C0011603,4,0,cause
cheese,Migraine,FOOD00617,UMLS_CUI:C0149931,6,0,cause
cheese,hypertension,FOOD00617,UMLS_CUI:C0020538,3,0,cause
cheese,insulin-dependent diabetes mellitus,FOOD00617,UMLS_CUI:C0011854,2,0,cause
cheese,migraine,FOOD00617,UMLS_CUI:C0149931,20,0,cause
chestnut,hypersensitivity,FOOD00045,UMLS_CUI:C0020517,6,0,cause
chewing gum,stomatitis,FOOD00643,UMLS_CUI:C0038362,6,0,cause
