term1,term2,foodb_public_id,umls_disease,is_cause,is_treat,relation
alcoholic beverages,heart disease,FOOD00854,UMLS_CUI:C0018799,0,2,treat
allium,cancers,FOOD00005,UMLS_CUI:C0006826,0,6,treat
allium,colorectal cancer,FOOD00005,UMLS_CUI:C0346629,0,6,treat
allium,gastric cancer,FOOD00005,UMLS_CUI:C0024623,0,10,treat
allium,prostate cancer,FOOD00005,UMLS_CUI:C0033578,0,9,treat
allium,stomach cancer,FOOD00005,UMLS_CUI:C0024623,0,6,treat
allium cepa,breast cancer,FOOD00006,UMLS_CUI:C0006142,0,4,treat
allium sativum,anemia,FOOD00008,UMLS_CUI:C0002871,0,2,treat
allium sativum,asthma,FOOD00008,UMLS_CUI:C0004096,0,6,treat
allium sativum,atherosclerosis,FOOD00008,UMLS_CUI:C0004153,0,2,treat
allium sativum,bladder cancer,FOOD00008,UMLS_CUI:C0005684,0,3,treat
allium sativum,cancers,FOOD00008,UMLS_CUI:C0006826,0,17,treat
allium sativum,diabetes,FOOD00008,UMLS_CUI:C0011849,0,8,treat
allium sativum,dyslipidemia,FOOD00008,UMLS_CUI:C0023772,0,2,treat
allium sativum,gastric cancer,FOOD00008,UMLS_CUI:C0024623,0,5,treat
allium sativum,hypertension,FOOD00008,UMLS_CUI:C0020538,0,5,treat
allium sativum,kidney diseases,FOOD00008,UMLS_CUI:C0022658,0,4,treat
allium sativum,liver diseases,FOOD00008,UMLS_CUI:C0023895,0,4,treat
allium sativum,malaria,FOOD00008,UMLS_CUI:C0024530,0,4,treat
allium sativum,measles,FOOD00008,UMLS_CUI:C0025007,0,2,treat
allium sativum,syphilis,FOOD00008,UMLS_CUI:C0007939,0,2,treat
allium sativum,yellow fever,FOOD00008,UMLS_CUI:C0043395,0,2,treat
annona muricata,cancers,FOOD00478,UMLS_CUI:C0006826,0,4,treat
annona muricata,prostate cancer,FOOD00478,UMLS_CUI:C0033578,0,4,treat
annona muricata,tuberculosis,FOOD00478,UMLS_CUI:C0041295,0,4,treat
annona muricata,urinary tract infections,FOOD00478,UMLS_CUI:C0149523,0,4,treat
apium graveolens,hypertension,FOOD00015,UMLS_CUI:C0020538,0,3,treat
apple,hypertension,FOOD00105,UMLS_CUI:C0020538,0,8,treat
asparagus,liver cancer,FOOD00021,UMLS_CUI:C0854795,0,18,treat
avena sativa,atopic dermatitis,FOOD00022,UMLS_CUI:C0011615,0,2,treat
banana,hypertension,FOOD00208,UMLS_CUI:C0020538,0,8,treat
beer,Alzheimer's disease,FOOD00268,UMLS_CUI:C0002395,0,6,treat
beer,amnesia,FOOD00268,UMLS_CUI:C0002625,0,2,treat
beer,diabetes,FOOD00268,UMLS_CUI:C0011849,0,8,treat
beverages,allergic diseases,FOOD00870,UMLS_CUI:C0020517,0,3,treat
beverages,celiac disease,FOOD00870,UMLS_CUI:C0007570,0,3,treat
beverages,coronary heart disease,FOOD00870,UMLS_CUI:C0151744,0,7,treat
beverages,heart disease,FOOD00870,UMLS_CUI:C0018799,0,7,treat
black tea,stroke,FOOD00907,UMLS_CUI:C0007820,0,3,treat
brassica oleracea,prostate cancer,FOOD00030,UMLS_CUI:C0033578,0,4,treat
breadfruit,diabetes,FOOD00309,UMLS_CUI:C0011849,0,2,treat
broccoli,breast cancer,FOOD00034,UMLS_CUI:C0006142,0,4,treat
broccoli,cancers,FOOD00034,UMLS_CUI:C0006826,0,5,treat
broccoli,cervical cancer,FOOD00034,UMLS_CUI:C0007873,0,2,treat
broccoli,colon cancer,FOOD00034,UMLS_CUI:C0007102,0,4,treat
broccoli,diabetes,FOOD00034,UMLS_CUI:C0011849,0,5,treat
broccoli,mammary tumors,FOOD00034,UMLS_CUI:C0006142,0,4,treat
broccoli,neurodegenerative diseases,FOOD00034,UMLS_CUI:C1285162,0,5,treat
cabbage,arthritis,FOOD00851,UMLS_CUI:C0003864,0,2,treat
cabbage,breast cancer,FOOD00851,UMLS_CUI:C0006142,0,3,treat
cabbage,cervical cancer,FOOD00851,UMLS_CUI:C0007873,0,2,treat
camellia sinensis,colorectal cancer,FOOD00038,UMLS_CUI:C0346629,0,4,treat
camellia sinensis,diabetes,FOOD00038,UMLS_CUI:C0011849,0,5,treat
camellia sinensis,hypertension,FOOD00038,UMLS_CUI:C0020538,0,2,treat
camellia sinensis,obesity,FOOD00038,UMLS_CUI:C0028754,0,3,treat
canola oil,diabetes,FOOD00922,UMLS_CUI:C0011849,0,2,treat
capsicum,cancers,FOOD00233,UMLS_CUI:C0006826,0,15,treat
capsicum,hypertension,FOOD00233,UMLS_CUI:C0020538,0,3,treat
capsicum,psoriasis,FOOD00233,UMLS_CUI:C0033860,0,2,treat
capsicum annuum,anemia,FOOD00040,UMLS_CUI:C0002871,0,2,treat
capsicum annuum,anemia,FOOD00877,UMLS_CUI:C0002871,0,2,treat
capsicum annuum,anemia,FOOD00878,UMLS_CUI:C0002871,0,2,treat
capsicum annuum,anemia,FOOD00879,UMLS_CUI:C0002871,0,2,treat
capsicum annuum,anemia,FOOD00880,UMLS_CUI:C0002871,0,2,treat
capsicum annuum,anemia,FOOD00881,UMLS_CUI:C0002871,0,2,treat
capsicum annuum,asthma,FOOD00040,UMLS_CUI:C0004096,0,2,treat
capsicum annuum,asthma,FOOD00877,UMLS_CUI:C0004096,0,2,treat
capsicum annuum,asthma,FOOD00878,UMLS_CUI:C0004096,0,2,treat
capsicum annuum,asthma,FOOD00879,UMLS_CUI:C0004096,0,2,treat
capsicum annuum,asthma,FOOD00880,UMLS_CUI:C0004096,0,2,treat
capsicum annuum,asthma,FOOD00881,UMLS_CUI:C0004096,0,2,treat
capsicum annuum,measles,FOOD00040,UMLS_CUI:C0025007,0,2,treat
capsicum annuum,measles,FOOD00877,UMLS_CUI:C0025007,0,2,treat
capsicum annuum,measles,FOOD00878,UMLS_CUI:C0025007,0,2,treat
capsicum annuum,measles,FOOD00879,UMLS_CUI:C0025007,0,2,treat
capsicum annuum,measles,FOOD00880,UMLS_CUI:C0025007,0,2,treat
capsicum annuum,measles,FOOD00881,UMLS_CUI:C0025007,0,2,treat
capsicum annuum,syphilis,FOOD00040,UMLS_CUI:C0007939,0,2,treat
capsicum annuum,syphilis,FOOD00877,UMLS_CUI:C0007939,0,2,treat
capsicum annuum,syphilis,FOOD00878,UMLS_CUI:C0007939,0,2,treat
capsicum annuum,syphilis,FOOD00879,UMLS_CUI:C0007939,0,2,treat
capsicum annuum,syphilis,FOOD00880,UMLS_CUI:C0007939,0,2,treat
capsicum annuum,syphilis,FOOD00881,UMLS_CUI:C0007939,0,2,treat
cauliflower,arthritis,FOOD00031,UMLS_CUI:C0003864,0,2,treat
cheese,diabetes,FOOD00617,UMLS_CUI:C0011849,0,25,treat
cheese,hyperphosphatemia,FOOD00617,UMLS_CUI:C0085681,0,2,treat
cheese,type 2 diabetes,FOOD00617,UMLS_CUI:C0011860,0,28,treat
chives,colorectal cancer,FOOD00009,UMLS_CUI:C0346629,0,5,treat
chives,prostate cancer,FOOD00009,UMLS_CUI:C0033578,0,18,treat
chocolate,breast cancer,FOOD00687,UMLS_CUI:C0006142,0,10,treat
chocolate,diabetes,FOOD00687,UMLS_CUI:C0011849,0,4,treat
chocolate,metabolic syndrome,FOOD00687,UMLS_CUI:C0025517,0,3,treat
chocolate,stroke,FOOD00687,UMLS_CUI:C0007820,0,3,treat
cichorium intybus,type 2 diabetes mellitus,FOOD00049,UMLS_CUI:C0011860,0,3,treat
cinnamomum,diabetes,FOOD00572,UMLS_CUI:C0011849,0,2,treat
cinnamomum,gastritis,FOOD00572,UMLS_CUI:C0017152,0,2,treat
cinnamomum,type 2 diabetes mellitus,FOOD00572,UMLS_CUI:C0011860,0,6,treat
cinnamon,Alzheimer's disease,FOOD00572,UMLS_CUI:C0002395,0,10,treat
cinnamon,diabetes,FOOD00572,UMLS_CUI:C0011849,0,34,treat
cinnamon,diabetes mellitus,FOOD00572,UMLS_CUI:C0011849,0,18,treat
cinnamon,diarrhea,FOOD00572,UMLS_CUI:C0013369,0,3,treat
cinnamon,gastric diseases,FOOD00572,UMLS_CUI:C0038354,0,3,treat
cinnamon,glucose intolerance,FOOD00572,UMLS_CUI:C0271650,0,6,treat
cinnamon,metabolic syndrome,FOOD00572,UMLS_CUI:C0025517,0,21,treat
cinnamon,neurodegenerative diseases,FOOD00572,UMLS_CUI:C1285162,0,40,treat
cinnamon,obesity,FOOD00572,UMLS_CUI:C0028754,0,6,treat
cinnamon,type 2 diabetes,FOOD00572,UMLS_CUI:C0011860,0,63,treat
cinnamon,type 2 diabetes mellitus,FOOD00572,UMLS_CUI:C0011860,0,6,treat
cinnamon,type-2 diabetes,FOOD00572,UMLS_CUI:C0011860,0,7,treat
citrus,gastric cancer,FOOD00859,UMLS_CUI:C0024623,0,4,treat
citrus maxima,hypertension,FOOD00055,UMLS_CUI:C0020538,0,2,treat
cocktail,anemia,FOOD00739,UMLS_CUI:C0002871,0,2,treat
cocktail,degenerative diseases,FOOD00739,UMLS_CUI:C1285162,0,2,treat
coconut,atopic dermatitis,FOOD00336,UMLS_CUI:C0011615,0,10,treat
coconut oil,Alzheimer's disease,FOOD00941,UMLS_CUI:C0002395,0,6,treat
coconut oil,atopic dermatitis,FOOD00941,UMLS_CUI:C0011615,0,3,treat
coffee,adenomas,FOOD00058,UMLS_CUI:C0334389,0,2,treat
coffee,alcoholic liver cirrhosis,FOOD00058,UMLS_CUI:C0023891,0,2,treat
coffee,atherosclerosis,FOOD00058,UMLS_CUI:C0004153,0,12,treat
coffee,diabetes,FOOD00058,UMLS_CUI:C0011849,0,5,treat
coffee,gastric cancer,FOOD00058,UMLS_CUI:C0024623,0,4,treat
coffee,gout,FOOD00058,UMLS_CUI:C0018099,0,3,treat
coffee,hyperuricemia,FOOD00058,UMLS_CUI:C0740394,0,2,treat
coffee,liver disease,FOOD00058,UMLS_CUI:C0023895,0,4,treat
coffee,obesity,FOOD00058,UMLS_CUI:C0028754,0,4,treat
coffee,type 2 diabetes,FOOD00058,UMLS_CUI:C0011860,0,4,treat
coriander,neurodegenerative diseases,FOOD00061,UMLS_CUI:C1285162,0,8,treat
corn,celiac disease,FOOD00205,UMLS_CUI:C0007570,0,6,treat
corn,hypertension,FOOD00205,UMLS_CUI:C0020538,0,8,treat
crataegus,congestive heart failure,FOOD00985,UMLS_CUI:C0018802,0,4,treat
crataegus,hypertension,FOOD00985,UMLS_CUI:C0020538,0,2,treat
cream,peptic ulcer disease,FOOD00650,UMLS_CUI:C0030920,0,3,treat
crocus sativus,asthma,FOOD00063,UMLS_CUI:C0004096,0,2,treat
crocus sativus,cancers,FOOD00063,UMLS_CUI:C0006826,0,15,treat
cucurbita,alopecia,FOOD00066,UMLS_CUI:C0002170,0,2,treat
curcuma longa,asthma,FOOD00068,UMLS_CUI:C0004096,0,4,treat
curcuma longa,cancers,FOOD00068,UMLS_CUI:C0006826,0,15,treat
curcuma longa,diabetes,FOOD00068,UMLS_CUI:C0011849,0,10,treat
curcuma longa,heart diseases,FOOD00068,UMLS_CUI:C0018799,0,4,treat
curcuma longa,hepatic disorders,FOOD00068,UMLS_CUI:C0023895,0,5,treat
curcuma longa,hyperglycemia,FOOD00068,UMLS_CUI:C0020456,0,5,treat
curcuma longa,neurodegenerative diseases,FOOD00068,UMLS_CUI:C1285162,0,2,treat
curcuma longa,obesity,FOOD00068,UMLS_CUI:C0028754,0,5,treat
curcuma longa,rheumatoid arthritis,FOOD00068,UMLS_CUI:C0003873,0,2,treat
curcuma longa,sinusitis,FOOD00068,UMLS_CUI:C0149512,0,5,treat
egg yolk,chronic kidney disease,FOOD00919,UMLS_CUI:C0022661,0,3,treat
eggs,cancers,FOOD00619,UMLS_CUI:C0006826,0,9,treat
eggs,diabetes,FOOD00619,UMLS_CUI:C0011849,0,27,treat
eggs,metabolic syndrome,FOOD00619,UMLS_CUI:C0025517,0,4,treat
eggs,neurodegenerative diseases,FOOD00619,UMLS_CUI:C1285162,0,9,treat
eggs,type 2 diabetes,FOOD00619,UMLS_CUI:C0011860,0,9,treat
fenugreek,diabetes,FOOD00186,UMLS_CUI:C0011849,0,5,treat
fenugreek,type 2 diabetes,FOOD00186,UMLS_CUI:C0011860,0,9,treat
ficus carica,constipation,FOOD00081,UMLS_CUI:C0009806,0,3,treat
flour,spina bifida,FOOD00799,UMLS_CUI:C0080178,0,6,treat
fruit juice,Metabolic Syndrome,FOOD00763,UMLS_CUI:C0025517,0,6,treat
fruit juice,dyslipidemia,FOOD00763,UMLS_CUI:C0023772,0,6,treat
fruits,Alzheimer's disease,FOOD00871,UMLS_CUI:C0002395,0,4,treat
fruits,Breast Cancer,FOOD00871,UMLS_CUI:C0006142,0,5,treat
fruits,Colon cancer,FOOD00871,UMLS_CUI:C0007102,0,2,treat
fruits,Parkinson's disease,FOOD00871,UMLS_CUI:C0030567,0,3,treat
fruits,adenomas,FOOD00871,UMLS_CUI:C0334389,0,4,treat
fruits,amnesia,FOOD00871,UMLS_CUI:C0002625,0,2,treat
fruits,anemia,FOOD00871,UMLS_CUI:C0002871,0,2,treat
fruits,asthma,FOOD00871,UMLS_CUI:C0004096,0,18,treat
fruits,atherosclerosis,FOOD00871,UMLS_CUI:C0004153,0,3,treat
fruits,bladder cancer,FOOD00871,UMLS_CUI:C0005684,0,5,treat
fruits,breast cancer,FOOD00871,UMLS_CUI:C0006142,0,7,treat
fruits,cancers,FOOD00871,UMLS_CUI:C0006826,0,41,treat
fruits,carcinomas,FOOD00871,UMLS_CUI:C0007097,0,2,treat
fruits,cataracts,FOOD00871,UMLS_CUI:C0029531,0,7,treat
fruits,cerebrovascular diseases,FOOD00871,UMLS_CUI:C0007820,0,2,treat
fruits,chronic obstructive pulmonary disease,FOOD00871,UMLS_CUI:C0024117,0,5,treat
fruits,colon cancer,FOOD00871,UMLS_CUI:C0007102,0,3,treat
fruits,colorectal cancer,FOOD00871,UMLS_CUI:C0346629,0,6,treat
fruits,coronary heart disease,FOOD00871,UMLS_CUI:C0151744,0,25,treat
fruits,degenerative diseases,FOOD00871,UMLS_CUI:C1285162,0,6,treat
fruits,dementia,FOOD00871,UMLS_CUI:C0154319,0,13,treat
fruits,diabetes mellitus,FOOD00871,UMLS_CUI:C0011849,0,4,treat
fruits,diarrhea,FOOD00871,UMLS_CUI:C0013369,0,5,treat
fruits,diarrhoea,FOOD00871,UMLS_CUI:C0013369,0,4,treat
fruits,dysentery,FOOD00871,UMLS_CUI:C0013369,0,2,treat
