term1,term2,foodon,efo_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.obolibrary.org/obo/FOODON_03310272,EFO:0003821,10,0,cause
banana,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,EFO:0000270,6,0,cause
banana,pancreatitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,EFO:0000278,3,0,cause
barley,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,EFO:0001060,12,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,EFO:0001060,6,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,EFO:0001060,77,0,cause
barley,anaemia,http://purl.obolibrary.org/obo/NCBITaxon_4513,EFO:0004272,11,0,cause
barley,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,EFO:0000270,2,0,cause
barley,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,EFO:0000270,2,0,cause
barley,celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,EFO:0001060,7,0,cause
barley,coeliac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,EFO:0001060,6,0,cause
barley,osteoporosis,http://purl.obolibrary.org/obo/NCBITaxon_4513,EFO:0003882,11,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/CHEBI_33290,EFO:0003821,2,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,EFO:0003821,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/CHEBI_33290,EFO:0003821,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,EFO:0003821,12,0,cause
chicken,obesity,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,EFO:0001073,2,0,cause
