term1,term2,foodon,efo_disease,is_cause,is_treat,relation
", laver",hypertension,http://purl.obolibrary.org/obo/NCBITaxon_23211***http://purl.obolibrary.org/obo/FOODON_03301724,EFO:0000537,0,8,treat
", laver",hypertension,http://purl.obolibrary.org/obo/NCBITaxon_4113,EFO:0000537,0,8,treat
apple,hypertension,http://purl.obolibrary.org/obo/FOODON_03301710***http://purl.obolibrary.org/obo/NCBITaxon_3750,EFO:0000537,0,8,treat
banana,hypertension,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,EFO:0000537,0,8,treat
beer,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03301619,EFO:0000249,0,6,treat
biotin,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,EFO:0001360,0,9,treat
cheese,type 2 diabetes,http://purl.obolibrary.org/obo/UBERON_0001913,EFO:0001360,0,7,treat
chickpea flour,type 2 diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03304537***http://purl.obolibrary.org/obo/FOODON_03301116***http://purl.obolibrary.org/obo/NCBITaxon_3827,EFO:0001360,0,4,treat
chocolate,stroke,http://purl.obolibrary.org/obo/FOODON_03307240,EFO:0000712,0,3,treat
chocolate consumption,stroke,http://purl.obolibrary.org/obo/FOODON_03307240,EFO:0000712,0,3,treat
cinnamon,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,EFO:0000249,0,6,treat
cinnamon,obesity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,EFO:0001073,0,6,treat
cinnamon,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,EFO:0001360,0,40,treat
cinnamon,type 2 diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,EFO:0001360,0,6,treat
cinnamon,type-2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,EFO:0001360,0,7,treat
cocoa,hypertension,http://purl.obolibrary.org/obo/FOODON_03301072,EFO:0000537,0,2,treat
cocoa,obesity,http://purl.obolibrary.org/obo/FOODON_03301072,EFO:0001073,0,4,treat
cocoa,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301072,EFO:0001360,0,12,treat
cocoa,type 2 diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03301072,EFO:0001360,0,13,treat
cocoa consumption,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301072,EFO:0001360,0,12,treat
coconut oil,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03310387,EFO:0000249,0,4,treat
coconut oil,atopic dermatitis,http://purl.obolibrary.org/obo/FOODON_03310387,EFO:0000274,0,3,treat
coffee,atherosclerosis,http://purl.obolibrary.org/obo/FOODON_03301072,EFO:0003914,0,4,treat
cooked rice,atopic dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4530,EFO:0000274,0,4,treat
corn,celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_381124,EFO:0001060,0,2,treat
corn,celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4530,EFO:0001060,0,2,treat
corn,hypertension,http://purl.obolibrary.org/obo/NCBITaxon_381124,EFO:0000537,0,8,treat
dried peas,type 2 diabetes,http://purl.obolibrary.org/obo/NCBITaxon_3888,EFO:0001360,0,4,treat
fenugreek,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,EFO:0001360,0,9,treat
fruit,Alzheimer's disease,http://purl.obolibrary.org/obo/PO_0009001,EFO:0000249,0,2,treat
fruit,allergic rhinitis,http://purl.obolibrary.org/obo/PO_0009001,EFO:0003956,0,2,treat
fruit,asthma,http://purl.obolibrary.org/obo/PO_0009001,EFO:0000270,0,5,treat
fruit,coronary heart disease,http://purl.obolibrary.org/obo/PO_0009001,EFO:0001645,0,12,treat
fruit,gestational diabetes mellitus,http://purl.obolibrary.org/obo/PO_0009001,EFO:0004593,0,4,treat
fruit,hypertension,http://purl.obolibrary.org/obo/PO_0009001,EFO:0000537,0,15,treat
fruit,obesity,http://purl.obolibrary.org/obo/PO_0009001,EFO:0001073,0,5,treat
fruit,osteoporosis,http://purl.obolibrary.org/obo/PO_0009001,EFO:0003882,0,5,treat
fruit,renal cell cancer,http://purl.obolibrary.org/obo/PO_0009001,EFO:0000681,0,6,treat
