term1,term2,foodon,entity_id_y,is_cause,is_treat,relation
", beer",migraine,http://purl.obolibrary.org/obo/FOODON_03310272,DOID:6364,10,0,cause
apple,OAS,http://purl.obolibrary.org/obo/FOODON_03301710***http://purl.obolibrary.org/obo/NCBITaxon_3750,DOID:0060861,6,0,cause
apple,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4039,DOID:2723,4,0,cause
banana,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,DOID:2841,6,0,cause
banana,hypersensitivity,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,DOID:1205,9,0,cause
banana,pancreatitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,DOID:4989,3,0,cause
banana,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,DOID:4483,11,0,cause
banana,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,DOID:1555,11,0,cause
barley,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:10608,12,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,DOID:10608,6,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:10608,77,0,cause
barley,anaemia,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:2355,11,0,cause
barley,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,DOID:2841,2,0,cause
barley,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:2841,2,0,cause
barley,autoimmune disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:417,2,0,cause
barley,autoimmune disorder,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:417,20,0,cause
barley,celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:10608,7,0,cause
barley,coeliac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:10608,6,0,cause
barley,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:2723,18,0,cause
barley,osteoporosis,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:11476,11,0,cause
beer,Korsakoff's psychosis,http://purl.obolibrary.org/obo/FOODON_03301619,DOID:10915,4,0,cause
beer,Wernicke's encephalopathy,http://purl.obolibrary.org/obo/FOODON_03301619,DOID:2384,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.obolibrary.org/obo/FOODON_03301619,DOID:10915,3,0,cause
beer,lactic acidosis,http://purl.obolibrary.org/obo/FOODON_03301619,DOID:3650,4,0,cause
beer,urticaria,http://purl.obolibrary.org/obo/FOODON_03301619,DOID:1555,3,0,cause
beverages,telangiectasia,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,DOID:1272,3,0,cause
beverages,telangiectasia,http://purl.obolibrary.org/obo/NCBITaxon_51238***http://purl.obolibrary.org/obo/FOODON_03411355,DOID:1272,3,0,cause
calcium,pericardial effusion,http://purl.obolibrary.org/obo/UBERON_0001913,DOID:118,3,0,cause
candy,stomatitis,http://purl.obolibrary.org/obo/FOODON_03301051,DOID:9637,6,0,cause
carrot,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4113,DOID:2723,4,0,cause
celery,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_117781,DOID:1555,3,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/CHEBI_33290,DOID:6364,2,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:6364,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/CHEBI_33290,DOID:6364,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:6364,12,0,cause
chicken,obesity,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,DOID:9970,2,0,cause
chocolate,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:6364,2,0,cause
chocolate,Pertussis,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:1116,2,0,cause
chocolate,acne,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:6543,10,0,cause
chocolate,atrial fibrillation,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:0060224,3,0,cause
chocolate,hyperglycemia,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:4195,4,0,cause
chocolate,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:6364,8,0,cause
chocolate,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:9970,9,0,cause
cinnamon,dermatitis,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,DOID:2723,3,0,cause
cinnamon,hypersensitivity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,DOID:1205,10,0,cause
cinnamon,stomatitis,http://purl.obolibrary.org/obo/CHEBI_33290,DOID:9637,6,0,cause
cinnamon,stomatitis,http://purl.obolibrary.org/obo/FOODON_03301051,DOID:9637,6,0,cause
cinnamon,telangiectasia,http://purl.obolibrary.org/obo/NCBITaxon_51238***http://purl.obolibrary.org/obo/FOODON_03411355,DOID:1272,3,0,cause
coffee,acne,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:6543,8,0,cause
corn,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_381124,DOID:4483,3,0,cause
drinking beer,angioedema,http://purl.obolibrary.org/obo/FOODON_03301619,DOID:1558,5,0,cause
drinking beer,urticaria,http://purl.obolibrary.org/obo/FOODON_03301619,DOID:1555,5,0,cause
eggs,acne,http://purl.obolibrary.org/obo/FOODON_03307240,DOID:6543,8,0,cause
flour,allergic rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,DOID:4481,4,0,cause
flour,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,DOID:2841,26,0,cause
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,DOID:2841,2,0,cause
flour,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,DOID:2841,2,0,cause
flour,hypersensitivity pneumonitis,http://purl.obolibrary.org/obo/FOODON_03301116,DOID:841,3,0,cause
flour,rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,DOID:4483,6,0,cause
flour dust,asthma,http://purl.obolibrary.org/obo/FOODON_03500035***http://purl.obolibrary.org/obo/FOODON_03420309,DOID:2841,2,0,cause
flour mill,bronchitis,http://purl.obolibrary.org/obo/FOODON_03301116,DOID:6132,6,0,cause
food rich,diarrhoea,http://purl.obolibrary.org/obo/CHEBI_33290,DOID:13250,3,0,cause
fruit,OAS,http://purl.obolibrary.org/obo/PO_0009001,DOID:0060861,14,0,cause
fruit,gastroesophageal reflux,http://purl.obolibrary.org/obo/PO_0009001,DOID:8534,3,0,cause
fruit,hypersensitivity,http://purl.obolibrary.org/obo/PO_0009001,DOID:1205,13,0,cause
fruit,uremia,http://purl.obolibrary.org/obo/PO_0009001,DOID:4676,2,0,cause
