term1,term2,foodon,mesh_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.obolibrary.org/obo/FOODON_03310272,MESH:D008881,10,0,cause
apple,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4039,MESH:D003872,4,0,cause
banana,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,MESH:D001249,6,0,cause
banana,hypersensitivity,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,MESH:D006967,9,0,cause
banana,pancreatitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,MESH:D010195,3,0,cause
banana,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,MESH:D012220,11,0,cause
barley,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D002446,12,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,MESH:D002446,6,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D002446,77,0,cause
barley,anaemia,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D000740,11,0,cause
barley,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,MESH:D001249,2,0,cause
barley,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D001249,2,0,cause
barley,celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D002446,7,0,cause
barley,coeliac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D002446,6,0,cause
barley,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D003872,18,0,cause
barley,osteoporosis,http://purl.obolibrary.org/obo/NCBITaxon_4513,MESH:D010024,11,0,cause
beer,Korsakoff's psychosis,http://purl.obolibrary.org/obo/FOODON_03301619,MESH:D020915,4,0,cause
beer,Wernicke's encephalopathy,http://purl.obolibrary.org/obo/FOODON_03301619,MESH:D014899,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.obolibrary.org/obo/FOODON_03301619,MESH:D020915,3,0,cause
beer,lactic acidosis,http://purl.obolibrary.org/obo/FOODON_03301619,MESH:D000140,4,0,cause
beverages,telangiectasia,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,MESH:D013684,3,0,cause
