term1,term2,foodon,nci_disease,is_cause,is_treat,relation
", gymnema",diabetes,http://purl.obolibrary.org/obo/NCBITaxon_3673,NCI:C2985,0,5,treat
", laver",hypertension,http://purl.obolibrary.org/obo/NCBITaxon_23211***http://purl.obolibrary.org/obo/FOODON_03301724,NCI:C3117,0,8,treat
", laver",hypertension,http://purl.obolibrary.org/obo/NCBITaxon_4113,NCI:C3117,0,8,treat
", lemon balm",gastric ulcers,http://purl.obolibrary.org/obo/UBERON_0001913,NCI:C3388,0,5,treat
apple,hypertension,http://purl.obolibrary.org/obo/FOODON_03301710***http://purl.obolibrary.org/obo/NCBITaxon_3750,NCI:C3117,0,8,treat
banana,hypertension,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,NCI:C3117,0,8,treat
basil,pneumonia,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,NCI:C3333,0,10,treat
basil,pulmonary fibrosis,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,NCI:C26869,0,10,treat
beer,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03301619,NCI:C2866,0,6,treat
beer,amnesia,http://purl.obolibrary.org/obo/FOODON_03301619,NCI:C2867,0,2,treat
beer,diabetes,http://purl.obolibrary.org/obo/FOODON_03310272,NCI:C2985,0,4,treat
biotin,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,NCI:C26747,0,9,treat
canola oil,diabetes,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03302578,NCI:C2985,0,2,treat
cheese,diabetes,http://purl.obolibrary.org/obo/FOODON_03307240***http://purl.obolibrary.org/obo/FOODON_03303588,NCI:C2985,0,5,treat
cheese,type 2 diabetes,http://purl.obolibrary.org/obo/UBERON_0001913,NCI:C26747,0,7,treat
chicken,colorectal cancer,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,NCI:C4978,0,5,treat
chickpea flour,type 2 diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03304537***http://purl.obolibrary.org/obo/FOODON_03301116***http://purl.obolibrary.org/obo/NCBITaxon_3827,NCI:C26747,0,4,treat
chives,colorectal cancer,http://purl.obolibrary.org/obo/NCBITaxon_117781,NCI:C4978,0,5,treat
chives,prostate cancer,http://purl.obolibrary.org/obo/NCBITaxon_4682,NCI:C7378,0,18,treat
chocolate,breast cancer,http://purl.obolibrary.org/obo/FOODON_03307240,NCI:C9335,0,10,treat
chocolate,diabetes,http://purl.obolibrary.org/obo/FOODON_03307240,NCI:C2985,0,4,treat
chocolate,metabolic syndrome,http://purl.obolibrary.org/obo/FOODON_03307240,NCI:C3235,0,3,treat
chocolate,stroke,http://purl.obolibrary.org/obo/FOODON_03307240,NCI:C2938,0,3,treat
chocolate consumption,stroke,http://purl.obolibrary.org/obo/FOODON_03307240,NCI:C2938,0,3,treat
cinnamon,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,NCI:C2866,0,6,treat
cinnamon,diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,NCI:C2985,0,16,treat
cinnamon,diabetes,http://purl.obolibrary.org/obo/FOODON_03301705,NCI:C2985,0,5,treat
cinnamon,diabetes,http://purl.obolibrary.org/obo/NCBITaxon_3673,NCI:C2985,0,5,treat
cinnamon,diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,NCI:C2985,0,18,treat
cinnamon,gastric diseases,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,NCI:C26886,0,3,treat
