term1,term2,foodon,omim_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.obolibrary.org/obo/FOODON_03310272,OMIM:157300,10,0,cause
apple,OAS,http://purl.obolibrary.org/obo/FOODON_03301710***http://purl.obolibrary.org/obo/NCBITaxon_3750,OMIM:206920,6,0,cause
banana,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,OMIM:600807,6,0,cause
banana,pancreatitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,OMIM:167800,3,0,cause
barley,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:611598,12,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,OMIM:611598,6,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:611598,77,0,cause
barley,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,OMIM:600807,2,0,cause
barley,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:600807,2,0,cause
barley,autoimmune disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:109100,2,0,cause
barley,autoimmune disorder,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:109100,20,0,cause
barley,celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:611598,7,0,cause
barley,coeliac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:611598,6,0,cause
barley,osteoporosis,http://purl.obolibrary.org/obo/NCBITaxon_4513,OMIM:166710,11,0,cause
beer,Korsakoff's psychosis,http://purl.obolibrary.org/obo/FOODON_03301619,OMIM:277730,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.obolibrary.org/obo/FOODON_03301619,OMIM:277730,3,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/CHEBI_33290,OMIM:157300,2,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,OMIM:157300,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/CHEBI_33290,OMIM:157300,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,OMIM:157300,12,0,cause
chicken,obesity,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,OMIM:601665,2,0,cause
chocolate,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,OMIM:157300,2,0,cause
chocolate,acne,http://purl.obolibrary.org/obo/FOODON_03307240,OMIM:604324,10,0,cause
chocolate,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,OMIM:157300,8,0,cause
chocolate,obesity,http://purl.obolibrary.org/obo/FOODON_03307240,OMIM:601665,9,0,cause
coffee,acne,http://purl.obolibrary.org/obo/FOODON_03307240,OMIM:604324,8,0,cause
eggs,acne,http://purl.obolibrary.org/obo/FOODON_03307240,OMIM:604324,8,0,cause
flour,allergic rhinitis,http://purl.obolibrary.org/obo/FOODON_03301116,OMIM:607154,4,0,cause
flour,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,OMIM:600807,26,0,cause
