term1,term2,foodon,snomedct_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.obolibrary.org/obo/FOODON_03310272,SNOMEDCT_US_2020_09_01:155046006,10,0,cause
apple,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4039,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
banana,asthma,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
banana,hypersensitivity,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:257550005,9,0,cause
banana,pancreatitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:393591004,3,0,cause
banana,rhinitis,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:70076002,11,0,cause
banana,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:267817001,11,0,cause
barley,Celiac Disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,12,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/FOODON_03315188***http://purl.obolibrary.org/obo/NCBITaxon_4498,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
barley,Celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,77,0,cause
barley,anaemia,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:64593003,11,0,cause
barley,asthma,http://purl.obolibrary.org/obo/FOODON_03301116,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
barley,asthma,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
barley,celiac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,7,0,cause
barley,coeliac disease,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
barley,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:238538009,18,0,cause
barley,osteoporosis,http://purl.obolibrary.org/obo/NCBITaxon_4513,SNOMEDCT_US_2020_09_01:156825006,11,0,cause
beer,Korsakoff's psychosis,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:69482004,4,0,cause
beer,Wernicke's encephalopathy,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:190627001,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:69482004,3,0,cause
beer,lactic acidosis,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:91273001,4,0,cause
beer,urticaria,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
beverages,telangiectasia,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
beverages,telangiectasia,http://purl.obolibrary.org/obo/NCBITaxon_51238***http://purl.obolibrary.org/obo/FOODON_03411355,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
calcium,pericardial effusion,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:70370001,3,0,cause
candy,stomatitis,http://purl.obolibrary.org/obo/FOODON_03301051,SNOMEDCT_US_2020_09_01:95361005,6,0,cause
carrot,dermatitis,http://purl.obolibrary.org/obo/NCBITaxon_4113,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
celery,urticaria,http://purl.obolibrary.org/obo/NCBITaxon_117781,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
cheese,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/CHEBI_33290,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
cheese,migraine,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:155046006,12,0,cause
chicken,obesity,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,SNOMEDCT_US_2020_09_01:5476005,2,0,cause
chocolate,Migraine,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
