term1,term2,foodon,snomedct_disease,is_cause,is_treat,relation
", gymnema",diabetes,http://purl.obolibrary.org/obo/NCBITaxon_3673,SNOMEDCT_US_2020_09_01:267467004,0,5,treat
", laver",hypertension,http://purl.obolibrary.org/obo/NCBITaxon_23211***http://purl.obolibrary.org/obo/FOODON_03301724,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
", laver",hypertension,http://purl.obolibrary.org/obo/NCBITaxon_4113,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
", lemon balm",gastric ulcers,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:155681009,0,5,treat
apple,hypertension,http://purl.obolibrary.org/obo/FOODON_03301710***http://purl.obolibrary.org/obo/NCBITaxon_3750,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
banana,hypertension,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
basil,pneumonia,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:266391003,0,10,treat
basil,pulmonary fibrosis,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:155613001,0,10,treat
beer,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:73768007,0,6,treat
beer,amnesia,http://purl.obolibrary.org/obo/FOODON_03301619,SNOMEDCT_US_2020_09_01:247606008,0,2,treat
beer,diabetes,http://purl.obolibrary.org/obo/FOODON_03310272,SNOMEDCT_US_2020_09_01:267467004,0,4,treat
biotin,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,SNOMEDCT_US_2020_09_01:44054006,0,9,treat
canola oil,diabetes,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03302578,SNOMEDCT_US_2020_09_01:267467004,0,2,treat
carrots,lung cancer,http://purl.obolibrary.org/obo/NCBITaxon_4039,SNOMEDCT_US_2020_09_01:187864008,0,2,treat
cheese,diabetes,http://purl.obolibrary.org/obo/FOODON_03307240***http://purl.obolibrary.org/obo/FOODON_03303588,SNOMEDCT_US_2020_09_01:267467004,0,5,treat
cheese,type 2 diabetes,http://purl.obolibrary.org/obo/UBERON_0001913,SNOMEDCT_US_2020_09_01:44054006,0,7,treat
chicken,colorectal cancer,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,SNOMEDCT_US_2020_09_01:93854002,0,5,treat
chickpea flour,type 2 diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03304537***http://purl.obolibrary.org/obo/FOODON_03301116***http://purl.obolibrary.org/obo/NCBITaxon_3827,SNOMEDCT_US_2020_09_01:44054006,0,4,treat
chives,colorectal cancer,http://purl.obolibrary.org/obo/NCBITaxon_117781,SNOMEDCT_US_2020_09_01:93854002,0,5,treat
chives,prostate cancer,http://purl.obolibrary.org/obo/NCBITaxon_4682,SNOMEDCT_US_2020_09_01:93974005,0,18,treat
chocolate,breast cancer,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:254837009,0,10,treat
chocolate,diabetes,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:267467004,0,4,treat
chocolate,metabolic syndrome,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:75934005,0,3,treat
chocolate,stroke,http://purl.obolibrary.org/obo/FOODON_03307240,SNOMEDCT_US_2020_09_01:266312006,0,3,treat
