term1,term2,foodon,umls_disease,is_cause,is_treat,relation
", gymnema",diabetes,http://purl.obolibrary.org/obo/NCBITaxon_3673,UMLS_CUI:C0011849,0,5,treat
", laver",hypertension,http://purl.obolibrary.org/obo/NCBITaxon_23211***http://purl.obolibrary.org/obo/FOODON_03301724,UMLS_CUI:C0020538,0,8,treat
", laver",hypertension,http://purl.obolibrary.org/obo/NCBITaxon_4113,UMLS_CUI:C0020538,0,8,treat
", lemon balm",gastric ulcers,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0038358,0,5,treat
apple,hypertension,http://purl.obolibrary.org/obo/FOODON_03301710***http://purl.obolibrary.org/obo/NCBITaxon_3750,UMLS_CUI:C0020538,0,8,treat
banana,hypertension,http://purl.obolibrary.org/obo/NCBITaxon_89151***http://purl.obolibrary.org/obo/NCBITaxon_4641,UMLS_CUI:C0020538,0,8,treat
basil,pneumonia,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0032285,0,10,treat
basil,pulmonary fibrosis,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0034069,0,10,treat
beer,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03301619,UMLS_CUI:C0002395,0,6,treat
beer,amnesia,http://purl.obolibrary.org/obo/FOODON_03301619,UMLS_CUI:C0002625,0,2,treat
beer,diabetes,http://purl.obolibrary.org/obo/FOODON_03310272,UMLS_CUI:C0011849,0,4,treat
biotin,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0011860,0,9,treat
canola oil,diabetes,http://purl.obolibrary.org/obo/FOODON_03310387***http://purl.obolibrary.org/obo/FOODON_03302578,UMLS_CUI:C0011849,0,2,treat
carrots,lung cancer,http://purl.obolibrary.org/obo/NCBITaxon_4039,UMLS_CUI:C0024624,0,2,treat
cheese,diabetes,http://purl.obolibrary.org/obo/FOODON_03307240***http://purl.obolibrary.org/obo/FOODON_03303588,UMLS_CUI:C0011849,0,5,treat
cheese,type 2 diabetes,http://purl.obolibrary.org/obo/UBERON_0001913,UMLS_CUI:C0011860,0,7,treat
chicken,colorectal cancer,http://purl.obolibrary.org/obo/NCBITaxon_9031***http://purl.obolibrary.org/obo/FOODON_03411457,UMLS_CUI:C0346629,0,5,treat
chickpea flour,type 2 diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03304537***http://purl.obolibrary.org/obo/FOODON_03301116***http://purl.obolibrary.org/obo/NCBITaxon_3827,UMLS_CUI:C0011860,0,4,treat
chives,colorectal cancer,http://purl.obolibrary.org/obo/NCBITaxon_117781,UMLS_CUI:C0346629,0,5,treat
chives,prostate cancer,http://purl.obolibrary.org/obo/NCBITaxon_4682,UMLS_CUI:C0033578,0,18,treat
chocolate,breast cancer,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0006142,0,10,treat
chocolate,diabetes,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0011849,0,4,treat
chocolate,metabolic syndrome,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0025517,0,3,treat
chocolate,stroke,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0007820,0,3,treat
chocolate consumption,stroke,http://purl.obolibrary.org/obo/FOODON_03307240,UMLS_CUI:C0007820,0,3,treat
cinnamon,Alzheimer's disease,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0002395,0,6,treat
cinnamon,diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0011849,0,16,treat
cinnamon,diabetes,http://purl.obolibrary.org/obo/FOODON_03301705,UMLS_CUI:C0011849,0,5,treat
cinnamon,diabetes,http://purl.obolibrary.org/obo/NCBITaxon_3673,UMLS_CUI:C0011849,0,5,treat
cinnamon,diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0011849,0,18,treat
cinnamon,diarrhea,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0013369,0,3,treat
cinnamon,gastric diseases,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0038354,0,3,treat
cinnamon,glucose intolerance,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0271650,0,6,treat
cinnamon,metabolic syndrome,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0025517,0,14,treat
cinnamon,neurodegenerative diseases,http://purl.obolibrary.org/obo/NCBITaxon_4682,UMLS_CUI:C1285162,0,8,treat
cinnamon,neurodegenerative diseases,http://purl.obolibrary.org/obo/NCBITaxon_94328,UMLS_CUI:C1285162,0,8,treat
cinnamon,obesity,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0028754,0,6,treat
cinnamon,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0011860,0,40,treat
cinnamon,type 2 diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0011860,0,6,treat
cinnamon,type-2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301175***http://purl.obolibrary.org/obo/NCBITaxon_128608,UMLS_CUI:C0011860,0,7,treat
cocoa,diabetes,http://purl.obolibrary.org/obo/FOODON_03301072,UMLS_CUI:C0011849,0,10,treat
cocoa,hypertension,http://purl.obolibrary.org/obo/FOODON_03301072,UMLS_CUI:C0020538,0,2,treat
cocoa,obesity,http://purl.obolibrary.org/obo/FOODON_03301072,UMLS_CUI:C0028754,0,4,treat
cocoa,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301072,UMLS_CUI:C0011860,0,12,treat
cocoa,type 2 diabetes mellitus,http://purl.obolibrary.org/obo/FOODON_03301072,UMLS_CUI:C0011860,0,13,treat
cocoa consumption,type 2 diabetes,http://purl.obolibrary.org/obo/FOODON_03301072,UMLS_CUI:C0011860,0,12,treat
