term1,term2,hansardClosest,efo_disease,is_cause,is_treat,relation
", laver",hypertension,AG.01.h.01.d,EFO:0000537,0,8,treat
", laver",hypertension,AG.01.h.02.a,EFO:0000537,0,8,treat
apple,hypertension,AG.01.h.01,EFO:0000537,0,8,treat
banana,hypertension,AG.01.h.01,EFO:0000537,0,8,treat
beer,Alzheimer's disease,AG.01.y.01.b,EFO:0000249,0,6,treat
beverages,coronary heart disease,AG.01.i,EFO:0001645,0,2,treat
biotin,type 2 diabetes,AE.13.a,EFO:0001360,0,9,treat
bread,type 2 diabetes,AG.01.n.11,EFO:0001360,0,3,treat
buckwheat,atherosclerosis,AG.01.i,EFO:0003914,0,2,treat
buckwheat,hypertension,AG.01.i,EFO:0000537,0,2,treat
buckwheat,obesity,AG.01.i,EFO:0001073,0,2,treat
cheese,type 2 diabetes,AE.10,EFO:0001360,0,7,treat
cheese,type 2 diabetes,AG.01,EFO:0001360,0,7,treat
cheese,type 2 diabetes,AG.01.e.02,EFO:0001360,0,7,treat
chickpea flour,type 2 diabetes mellitus,AG.01.j,EFO:0001360,0,4,treat
chocolate,stroke,AG.01,EFO:0000712,0,3,treat
chocolate consumption,stroke,AG.01,EFO:0000712,0,3,treat
chocolate consumption,stroke,AG.01.r,EFO:0000712,0,3,treat
cinnamon,Alzheimer's disease,AE.13.a,EFO:0000249,0,6,treat
cinnamon,obesity,AE.13.a,EFO:0001073,0,6,treat
cinnamon,type 2 diabetes,AE.13.a,EFO:0001360,0,40,treat
cinnamon,type 2 diabetes mellitus,AE.13.a,EFO:0001360,0,6,treat
cinnamon,type-2 diabetes,AE.13.a,EFO:0001360,0,7,treat
cocoa,atherosclerosis,AG.01.r,EFO:0003914,0,4,treat
cocoa,hypertension,AG.01,EFO:0000537,0,2,treat
cocoa,obesity,AG.01,EFO:0001073,0,4,treat
cocoa,type 2 diabetes,AG.01,EFO:0001360,0,12,treat
cocoa,type 2 diabetes mellitus,AG.01,EFO:0001360,0,13,treat
cocoa consumption,type 2 diabetes,AG.01,EFO:0001360,0,12,treat
coconut,atopic dermatitis,AG.01.h.01.f,EFO:0000274,0,10,treat
coconut oil,Alzheimer's disease,AG.01.f,EFO:0000249,0,4,treat
coconut oil,atopic dermatitis,AG.01.f,EFO:0000274,0,3,treat
coffee,atherosclerosis,AG.01,EFO:0003914,0,4,treat
coffee,atherosclerosis,AG.01.h.01.b,EFO:0003914,0,4,treat
coffee,atherosclerosis,AG.01.r,EFO:0003914,0,4,treat
coffee,gout,AG.01.r,EFO:0004274,0,3,treat
coffee,obesity,AG.01.r,EFO:0001073,0,4,treat
coffee,type 2 diabetes,AG.01.r,EFO:0001360,0,2,treat
cooked rice,atopic dermatitis,AG.01.i,EFO:0000274,0,4,treat
corn,celiac disease,AF.20.g,EFO:0001060,0,2,treat
corn,celiac disease,AG.01,EFO:0001060,0,2,treat
corn,hypertension,AG.01,EFO:0000537,0,8,treat
dried peas,type 2 diabetes,AG.01.h.02.g,EFO:0001360,0,4,treat
eggs,type 2 diabetes,AG.01.g,EFO:0001360,0,9,treat
fenugreek,type 2 diabetes,AE.13.a,EFO:0001360,0,9,treat
flour is,anaemia,AG.01.i,EFO:0004272,0,2,treat
fruit,Alzheimer's disease,AF.07,EFO:0000249,0,2,treat
fruit,allergic rhinitis,AF.07,EFO:0003956,0,2,treat
fruit,asthma,AF.07,EFO:0000270,0,5,treat
fruit,coronary heart disease,AF.07,EFO:0001645,0,12,treat
fruit,gestational diabetes mellitus,AF.07,EFO:0004593,0,4,treat
fruit,hypertension,AF.07,EFO:0000537,0,15,treat
fruit,obesity,AF.07,EFO:0001073,0,5,treat
fruit,osteoporosis,AF.07,EFO:0003882,0,5,treat
fruit,renal cell cancer,AF.07,EFO:0000681,0,6,treat
fruit,renal cell carcinoma,AF.07,EFO:0000681,0,5,treat
fruit,stroke,AF.07,EFO:0000712,0,16,treat
fruit,type 2 diabetes,AF.07,EFO:0001360,0,2,treat
fruits,Alzheimer's disease,AG.01.h,EFO:0000249,0,3,treat
fruits,Parkinson's disease,AG.01.h,EFO:0002508,0,3,treat
fruits,anemia,AG.01.h,EFO:0004272,0,2,treat
fruits,asthma,AG.01.h,EFO:0000270,0,15,treat
fruits,atherosclerosis,AG.01.h,EFO:0003914,0,3,treat
fruits,chronic obstructive pulmonary disease,AG.01.h,EFO:0000341,0,5,treat
fruits,coronary heart disease,AG.01.h,EFO:0001645,0,25,treat
fruits,heart attacks,AG.01.h,EFO:0000612,0,2,treat
fruits,hypertension,AG.01.h,EFO:0000537,0,39,treat
fruits,kidney disease,AG.01.h,EFO:0003086,0,2,treat
fruits,kidney stones,AG.01.h,EFO:0004253,0,2,treat
fruits,obesity,AG.01.h,EFO:0001073,0,7,treat
fruits,osteoporosis,AG.01.h,EFO:0003882,0,2,treat
