term1,term2,hansardClosest,entity_id_y,is_cause,is_treat,relation
", beer",migraine,AG.01,DOID:6364,10,0,cause
apple,OAS,AG.01.h.01,DOID:0060861,6,0,cause
apple,dermatitis,AG.01.h.02.a,DOID:2723,4,0,cause
banana,asthma,AG.01.h.01,DOID:2841,6,0,cause
banana,hypersensitivity,AG.01.h.01,DOID:1205,9,0,cause
banana,pancreatitis,AG.01.h.01,DOID:4989,3,0,cause
banana,rhinitis,AG.01.h.01,DOID:4483,11,0,cause
banana,urticaria,AG.01.h.01,DOID:1555,11,0,cause
barley,Celiac Disease,AG.01.i,DOID:10608,12,0,cause
barley,Celiac disease,AG.01.i,DOID:10608,83,0,cause
barley,anaemia,AG.01.i,DOID:2355,11,0,cause
barley,asthma,AG.01.i,DOID:2841,2,0,cause
barley,asthma,AG.01.j,DOID:2841,2,0,cause
barley,autoimmune disease,AG.01.i,DOID:417,2,0,cause
barley,autoimmune disorder,AG.01.i,DOID:417,20,0,cause
barley,celiac disease,AG.01.i,DOID:10608,7,0,cause
barley,coeliac disease,AG.01.i,DOID:10608,6,0,cause
barley,dermatitis,AG.01.i,DOID:2723,18,0,cause
barley,osteoporosis,AG.01.i,DOID:11476,11,0,cause
beef,campylobacteriosis,AG.01,DOID:13622,2,0,cause
beef,lymphoproliferative disorder,AG.01,DOID:0060704,2,0,cause
beer,Korsakoff's psychosis,AG.01.y.01.b,DOID:10915,4,0,cause
beer,Wernicke's encephalopathy,AG.01.y.01.b,DOID:2384,4,0,cause
beer,Wernicke-Korsakoff syndrome,AG.01.y.01.b,DOID:10915,3,0,cause
beer,lactic acidosis,AG.01.y.01.b,DOID:3650,4,0,cause
beer,urticaria,AG.01.y.01.b,DOID:1555,3,0,cause
beverages,telangiectasia,AE.13.a,DOID:1272,3,0,cause
beverages,telangiectasia,AF.12,DOID:1272,3,0,cause
cake prepared,hypersensitivity,AG.01.n.11,DOID:1205,5,0,cause
cakes,acne,AG.01.g,DOID:6543,8,0,cause
calcium,pericardial effusion,AE.10,DOID:118,3,0,cause
candy,stomatitis,AG.01.l.02,DOID:9637,6,0,cause
carrot,dermatitis,AG.01.h.02.a,DOID:2723,4,0,cause
celery,urticaria,AG.01.h.02.b,DOID:1555,3,0,cause
cereal,asthma,AG.01.i,DOID:2841,4,0,cause
cereal,dermatitis,AG.01.i,DOID:2723,4,0,cause
cereal,eczema,AG.01.i,DOID:2723,4,0,cause
cereal flour,Asthma,AG.01.i,DOID:2841,2,0,cause
cheese,Migraine,AG.01,DOID:6364,4,0,cause
cheese,Migraine,AG.01.e.02,DOID:6364,2,0,cause
cheese,hypertension,AG.01.e.02,DOID:10763,3,0,cause
cheese,insulin-dependent diabetes mellitus,AG.01.e.02,DOID:9744,2,0,cause
cheese,migraine,AG.01,DOID:6364,14,0,cause
cheese,migraine,AG.01.e.02,DOID:6364,6,0,cause
chicken,obesity,AE.13.h.01,DOID:9970,2,0,cause
chocolate,Migraine,AG.01,DOID:6364,2,0,cause
chocolate,Pertussis,AG.01,DOID:1116,2,0,cause
chocolate,acne,AG.01,DOID:6543,10,0,cause
chocolate,acne,AG.01.g,DOID:6543,8,0,cause
chocolate,acne,AG.01.n.11,DOID:6543,8,0,cause
chocolate,acne,AG.01.r,DOID:6543,8,0,cause
chocolate,atrial fibrillation,AG.01,DOID:0060224,3,0,cause
chocolate,hyperglycemia,AG.01,DOID:4195,4,0,cause
chocolate,migraine,AG.01,DOID:6364,8,0,cause
chocolate,migraine,AG.01.e.02,DOID:6364,7,0,cause
chocolate,obesity,AG.01,DOID:9970,9,0,cause
chocolate milk,diabetes,AG.01.e,DOID:9351,2,0,cause
cinnamon,dermatitis,AE.13.a,DOID:2723,3,0,cause
cinnamon,hypersensitivity,AE.13.a,DOID:1205,10,0,cause
cinnamon,stomatitis,AG.01,DOID:9637,6,0,cause
cinnamon,stomatitis,AG.01.l.02,DOID:9637,6,0,cause
cinnamon,telangiectasia,AF.12,DOID:1272,3,0,cause
coffee,acne,AG.01,DOID:6543,8,0,cause
coffee,acne,AG.01.g,DOID:6543,8,0,cause
coffee,acne,AG.01.n.11,DOID:6543,8,0,cause
coffee,acne,AG.01.r,DOID:6543,9,0,cause
corn,rhinitis,AG.01,DOID:4483,3,0,cause
crab,allergic rhinitis,AG.01.d.07,DOID:4481,2,0,cause
drinking beer,angioedema,AG.01.y.01.b,DOID:1558,5,0,cause
drinking beer,urticaria,AG.01.y.01.b,DOID:1555,5,0,cause
eggs,acne,AG.01,DOID:6543,8,0,cause
eggs,acne,AG.01.g,DOID:6543,8,0,cause
eggs,acne,AG.01.n.11,DOID:6543,8,0,cause
eggs,acne,AG.01.r,DOID:6543,8,0,cause
eggs,eczema,AG.01.g,DOID:2723,3,0,cause
eggs,obstructive uropathy,AG.01.g,DOID:5200,3,0,cause
eggs,urticaria,AG.01.g,DOID:1555,2,0,cause
fat,Diabetes mellitus,AG.01.f,DOID:9351,7,0,cause
fat,Obesity,AG.01.f,DOID:9970,10,0,cause
fat,diabetes,AG.01.f,DOID:9351,10,0,cause
fat,fatty liver syndrome,AG.01.f,DOID:9452,3,0,cause
fat,glucose intolerance,AG.01.f,DOID:10603,6,0,cause
fat,hyperinsulinemia,AG.01.f,DOID:2018,6,0,cause
fat,inflammatory bowel disease,AG.01.f,DOID:0050589,2,0,cause
fat,metabolic disease,AG.01.f,DOID:0014667,2,0,cause
