term1,term2,hansardClosest,mesh_disease,is_cause,is_treat,relation
", beer",migraine,AG.01,MESH:D008881,10,0,cause
apple,dermatitis,AG.01.h.02.a,MESH:D003872,4,0,cause
banana,asthma,AG.01.h.01,MESH:D001249,6,0,cause
banana,hypersensitivity,AG.01.h.01,MESH:D006967,9,0,cause
banana,pancreatitis,AG.01.h.01,MESH:D010195,3,0,cause
banana,rhinitis,AG.01.h.01,MESH:D012220,11,0,cause
barley,Celiac Disease,AG.01.i,MESH:D002446,12,0,cause
barley,Celiac disease,AG.01.i,MESH:D002446,83,0,cause
barley,anaemia,AG.01.i,MESH:D000740,11,0,cause
barley,asthma,AG.01.i,MESH:D001249,2,0,cause
barley,asthma,AG.01.j,MESH:D001249,2,0,cause
barley,celiac disease,AG.01.i,MESH:D002446,7,0,cause
barley,coeliac disease,AG.01.i,MESH:D002446,6,0,cause
barley,dermatitis,AG.01.i,MESH:D003872,18,0,cause
barley,osteoporosis,AG.01.i,MESH:D010024,11,0,cause
beef,campylobacteriosis,AG.01,MESH:D002169,2,0,cause
beer,Korsakoff's psychosis,AG.01.y.01.b,MESH:D020915,4,0,cause
beer,Wernicke's encephalopathy,AG.01.y.01.b,MESH:D014899,4,0,cause
beer,Wernicke-Korsakoff syndrome,AG.01.y.01.b,MESH:D020915,3,0,cause
beer,lactic acidosis,AG.01.y.01.b,MESH:D000140,4,0,cause
beverages,telangiectasia,AE.13.a,MESH:D013684,3,0,cause
beverages,telangiectasia,AF.12,MESH:D013684,3,0,cause
cake prepared,hypersensitivity,AG.01.n.11,MESH:D006967,5,0,cause
cakes,acne,AG.01.g,MESH:D000152,8,0,cause
calcium,pericardial effusion,AE.10,MESH:D010490,3,0,cause
candy,stomatitis,AG.01.l.02,MESH:D013280,6,0,cause
carrot,dermatitis,AG.01.h.02.a,MESH:D003872,4,0,cause
cereal,asthma,AG.01.i,MESH:D001249,4,0,cause
cereal,dermatitis,AG.01.i,MESH:D003872,4,0,cause
cereal,eczema,AG.01.i,MESH:D003872,4,0,cause
cereal flour,Asthma,AG.01.i,MESH:D001249,2,0,cause
cheese,Migraine,AG.01,MESH:D008881,4,0,cause
cheese,Migraine,AG.01.e.02,MESH:D008881,2,0,cause
cheese,hypertension,AG.01.e.02,MESH:D006973,3,0,cause
cheese,insulin-dependent diabetes mellitus,AG.01.e.02,MESH:D003922,2,0,cause
cheese,migraine,AG.01,MESH:D008881,14,0,cause
cheese,migraine,AG.01.e.02,MESH:D008881,6,0,cause
chicken,obesity,AE.13.h.01,MESH:D009765,2,0,cause
chocolate,Migraine,AG.01,MESH:D008881,2,0,cause
chocolate,Pertussis,AG.01,MESH:D001885,2,0,cause
chocolate,acne,AG.01,MESH:D000152,10,0,cause
chocolate,acne,AG.01.g,MESH:D000152,8,0,cause
chocolate,acne,AG.01.n.11,MESH:D000152,8,0,cause
chocolate,acne,AG.01.r,MESH:D000152,8,0,cause
chocolate,atrial fibrillation,AG.01,MESH:D001281,3,0,cause
chocolate,hyperglycemia,AG.01,MESH:D006943,4,0,cause
chocolate,migraine,AG.01,MESH:D008881,8,0,cause
chocolate,migraine,AG.01.e.02,MESH:D008881,7,0,cause
chocolate,obesity,AG.01,MESH:D009765,9,0,cause
chocolate milk,diabetes,AG.01.e,MESH:D003920,2,0,cause
cinnamon,dermatitis,AE.13.a,MESH:D003872,3,0,cause
cinnamon,hypersensitivity,AE.13.a,MESH:D006967,10,0,cause
cinnamon,stomatitis,AG.01,MESH:D013280,6,0,cause
cinnamon,stomatitis,AG.01.l.02,MESH:D013280,6,0,cause
cinnamon,telangiectasia,AF.12,MESH:D013684,3,0,cause
coffee,acne,AG.01,MESH:D000152,8,0,cause
coffee,acne,AG.01.g,MESH:D000152,8,0,cause
coffee,acne,AG.01.n.11,MESH:D000152,8,0,cause
coffee,acne,AG.01.r,MESH:D000152,9,0,cause
corn,rhinitis,AG.01,MESH:D012220,3,0,cause
drinking beer,angioedema,AG.01.y.01.b,MESH:D000799,5,0,cause
eggs,acne,AG.01,MESH:D000152,8,0,cause
eggs,acne,AG.01.g,MESH:D000152,8,0,cause
eggs,acne,AG.01.n.11,MESH:D000152,8,0,cause
eggs,acne,AG.01.r,MESH:D000152,8,0,cause
eggs,eczema,AG.01.g,MESH:D003872,3,0,cause
fat,Diabetes mellitus,AG.01.f,MESH:D003920,7,0,cause
fat,Obesity,AG.01.f,MESH:D009765,10,0,cause
fat,diabetes,AG.01.f,MESH:D003920,10,0,cause
fat,fatty liver syndrome,AG.01.f,MESH:D005235,3,0,cause
fat,glucose intolerance,AG.01.f,MESH:D018149,6,0,cause
fat,hyperinsulinemia,AG.01.f,MESH:D006946,6,0,cause
fat,inflammatory bowel disease,AG.01.f,MESH:D015212,2,0,cause
fat,metabolic disease,AG.01.f,MESH:D008659,2,0,cause
fat,metabolic disorder,AG.01.f,MESH:D008659,3,0,cause
fat,pneumonia,AG.01.f,MESH:D011014,6,0,cause
fat,type 2 diabetes mellitus,AG.01.f,MESH:D003924,2,0,cause
flour,asthma,AG.01.h.01,MESH:D001249,2,0,cause
