term1,term2,hansardClosest,nci_disease,is_cause,is_treat,relation
", beer",migraine,AG.01,NCI:C89715,10,0,cause
apple,dermatitis,AG.01.h.02.a,NCI:C2983,4,0,cause
banana,asthma,AG.01.h.01,NCI:C28397,6,0,cause
banana,hypersensitivity,AG.01.h.01,NCI:C3114,9,0,cause
banana,pancreatitis,AG.01.h.01,NCI:C3306,3,0,cause
banana,rhinitis,AG.01.h.01,NCI:C34986,11,0,cause
barley,Celiac Disease,AG.01.i,NCI:C26714,12,0,cause
barley,Celiac disease,AG.01.i,NCI:C26714,83,0,cause
barley,anaemia,AG.01.i,NCI:C2869,11,0,cause
barley,asthma,AG.01.i,NCI:C28397,2,0,cause
barley,asthma,AG.01.j,NCI:C28397,2,0,cause
barley,celiac disease,AG.01.i,NCI:C26714,7,0,cause
barley,coeliac disease,AG.01.i,NCI:C26714,6,0,cause
barley,dermatitis,AG.01.i,NCI:C2983,18,0,cause
barley,osteoporosis,AG.01.i,NCI:C3298,11,0,cause
beer,Korsakoff's psychosis,AG.01.y.01.b,NCI:C35764,4,0,cause
beer,Wernicke-Korsakoff syndrome,AG.01.y.01.b,NCI:C35764,3,0,cause
beer,lactic acidosis,AG.01.y.01.b,NCI:C98969,4,0,cause
beverages,telangiectasia,AE.13.a,NCI:C28194,3,0,cause
beverages,telangiectasia,AF.12,NCI:C28194,3,0,cause
cake prepared,hypersensitivity,AG.01.n.11,NCI:C3114,5,0,cause
calcium,pericardial effusion,AE.10,NCI:C3319,3,0,cause
candy,stomatitis,AG.01.l.02,NCI:C26887,6,0,cause
carrot,dermatitis,AG.01.h.02.a,NCI:C2983,4,0,cause
cereal,asthma,AG.01.i,NCI:C28397,4,0,cause
cereal,dermatitis,AG.01.i,NCI:C2983,4,0,cause
cereal,eczema,AG.01.i,NCI:C2983,4,0,cause
cereal flour,Asthma,AG.01.i,NCI:C28397,2,0,cause
cheese,Migraine,AG.01,NCI:C89715,4,0,cause
cheese,Migraine,AG.01.e.02,NCI:C89715,2,0,cause
cheese,hypertension,AG.01.e.02,NCI:C3117,3,0,cause
cheese,insulin-dependent diabetes mellitus,AG.01.e.02,NCI:C2986,2,0,cause
cheese,migraine,AG.01,NCI:C89715,14,0,cause
cheese,migraine,AG.01.e.02,NCI:C89715,6,0,cause
chicken,obesity,AE.13.h.01,NCI:C159658,2,0,cause
chocolate,Migraine,AG.01,NCI:C89715,2,0,cause
chocolate,atrial fibrillation,AG.01,NCI:C50466,3,0,cause
chocolate,hyperglycemia,AG.01,NCI:C26797,4,0,cause
chocolate,migraine,AG.01,NCI:C89715,8,0,cause
chocolate,migraine,AG.01.e.02,NCI:C89715,7,0,cause
chocolate,obesity,AG.01,NCI:C159658,9,0,cause
chocolate milk,diabetes,AG.01.e,NCI:C2985,2,0,cause
cinnamon,dermatitis,AE.13.a,NCI:C2983,3,0,cause
cinnamon,hypersensitivity,AE.13.a,NCI:C3114,10,0,cause
cinnamon,stomatitis,AG.01,NCI:C26887,6,0,cause
cinnamon,stomatitis,AG.01.l.02,NCI:C26887,6,0,cause
cinnamon,telangiectasia,AF.12,NCI:C28194,3,0,cause
corn,rhinitis,AG.01,NCI:C34986,3,0,cause
crab,allergic rhinitis,AG.01.d.07,NCI:C34987,2,0,cause
drinking beer,angioedema,AG.01.y.01.b,NCI:C112175,5,0,cause
eggs,eczema,AG.01.g,NCI:C2983,3,0,cause
eggs,obstructive uropathy,AG.01.g,NCI:C79805,3,0,cause
fat,Diabetes mellitus,AG.01.f,NCI:C2985,7,0,cause
fat,Obesity,AG.01.f,NCI:C159658,10,0,cause
fat,diabetes,AG.01.f,NCI:C2985,10,0,cause
fat,glucose intolerance,AG.01.f,NCI:C34646,6,0,cause
fat,inflammatory bowel disease,AG.01.f,NCI:C3138,2,0,cause
fat,metabolic disease,AG.01.f,NCI:C3235,2,0,cause
fat,metabolic disorder,AG.01.f,NCI:C3235,3,0,cause
fat,pneumonia,AG.01.f,NCI:C3333,6,0,cause
fat,type 2 diabetes mellitus,AG.01.f,NCI:C26747,2,0,cause
flour,allergic rhinitis,AG.01.j,NCI:C34987,4,0,cause
flour,asthma,AG.01.h.01,NCI:C28397,2,0,cause
flour,asthma,AG.01.i,NCI:C28397,2,0,cause
flour,asthma,AG.01.j,NCI:C28397,26,0,cause
flour,hypersensitivity pneumonitis,AG.01.j,NCI:C34369,3,0,cause
flour,rhinitis,AG.01.j,NCI:C34986,6,0,cause
flour dust,asthma,AF.10.l,NCI:C28397,2,0,cause
flour mill,bronchitis,AG.01.j,NCI:C26722,6,0,cause
"flour,",asthma,AG.01.i,NCI:C28397,4,0,cause
fruit,gastroesophageal reflux,AF.07,NCI:C26781,3,0,cause
fruit,hypersensitivity,AF.07,NCI:C3114,13,0,cause
fruits,allergic conjunctivitis,AG.01,NCI:C34506,3,0,cause
fruits,allergic conjunctivitis,AG.01.h,NCI:C34506,3,0,cause
fruits,carotenemia,AG.01.h,NCI:C26963,3,0,cause
fruits,dermatitis,AG.01.h,NCI:C2983,3,0,cause
fruits,hypersensitivity,AG.01.h,NCI:C3114,5,0,cause
garlic,asthma,AG.01,NCI:C28397,6,0,cause
garlic,asthma,AG.01.h.02.e,NCI:C28397,19,0,cause
garlic,dermatitis,AG.01.h.02.e,NCI:C2983,6,0,cause
garlic,hemolytic anemia,AG.01.h.02.e,NCI:C34376,5,0,cause
garlic,hypersensitivity,AE.13.a,NCI:C3114,10,0,cause
garlic,rhinitis,AG.01,NCI:C34986,6,0,cause
garlic,rhinitis,AG.01.h.02.e,NCI:C34986,12,0,cause
harmful effects,hypertension,AG.01,NCI:C3117,2,0,cause
horseradish,hypersensitivity,AE.13.a,NCI:C3114,10,0,cause
horseradish,hypersensitivity,AG.01,NCI:C3114,10,0,cause
horseradish,hypersensitivity,AG.01.h.02.e,NCI:C3114,20,0,cause
horseradish,hypersensitivity,AG.01.l.03,NCI:C3114,10,0,cause
lamb,asthma,AG.01.d.04,NCI:C28397,2,0,cause
lemon,endophthalmitis,AG.01.ab,NCI:C34586,3,0,cause
liquid,dental caries,AG.01,NCI:C52593,3,0,cause
liver,Colorectal cancer,AE.08,NCI:C4978,5,0,cause
liver,Gaucher disease,AE.08,NCI:C61268,2,0,cause
liver,Obesity,AE.08,NCI:C159658,2,0,cause
liver,Wilson disease,AE.08,NCI:C84756,3,0,cause
