term1,term2,hansardParent,entity_id_y,is_cause,is_treat,relation
", gymnema",diabetes,AG.01.h,DOID:9351,0,5,treat
", laver",hypertension,AG.01.h,DOID:10763,0,16,treat
", lemon balm",gastric ulcers,AG.01.e,DOID:10808,0,5,treat
", licorice",neurodegenerative diseases,AG.01,DOID:1289,0,24,treat
apple,hypertension,AG.01.h,DOID:10763,0,8,treat
asparagus,liver cancer,AG.01.h,DOID:3571,0,18,treat
banana,hypertension,AG.01.h,DOID:10763,0,8,treat
basil,pneumonia,AG.01.l,DOID:552,0,9,treat
basil,pulmonary fibrosis,AG.01.l,DOID:3770,0,9,treat
beer,Alzheimer's disease,AG.01.y,DOID:10652,0,6,treat
beer,amnesia,AG.01.y,DOID:10914,0,2,treat
beer,diabetes,AG.01,DOID:9351,0,4,treat
beer,diabetes,AG.01.y,DOID:9351,0,4,treat
beverages,coronary heart disease,AG.01.i,DOID:3393,0,2,treat
biotin,type 2 diabetes,AG.01.l,DOID:9352,0,9,treat
black pepper,cancers,AG.01,DOID:162,0,15,treat
bread,type 2 diabetes,AG.01.n,DOID:9352,0,3,treat
broccoli,breast cancer,AG.01,DOID:1612,0,2,treat
buckwheat,atherosclerosis,AG.01.i,DOID:1936,0,2,treat
buckwheat,cancers,AG.01.i,DOID:162,0,2,treat
buckwheat,constipation,AG.01.i,DOID:2089,0,2,treat
buckwheat,hypertension,AG.01.i,DOID:10763,0,2,treat
buckwheat,obesity,AG.01.i,DOID:9970,0,2,treat
cabbage,arthritis,AG.01.h,DOID:848,0,2,treat
canola oil,diabetes,AG.01.f,DOID:9351,0,2,treat
carrots,lung cancer,AG.01.h,DOID:1324,0,2,treat
cauliflower,arthritis,AG.01.h,DOID:848,0,2,treat
cheese,diabetes,AG.01,DOID:9351,0,5,treat
cheese,diabetes,AG.01.ae,DOID:9351,0,5,treat
cheese,diabetes,AG.01.f,DOID:9351,0,5,treat
cheese,diabetes,AG.01.g,DOID:9351,0,5,treat
cheese,hyperphosphatemia,AG.01.ae,DOID:0050459,0,2,treat
