term1,term2,hansardParent,nci_disease,is_cause,is_treat,relation
", beer",migraine,AG.01,NCI:C89715,10,0,cause
apple,dermatitis,AG.01.h,NCI:C2983,4,0,cause
banana,asthma,AG.01.h,NCI:C28397,6,0,cause
banana,hypersensitivity,AG.01.h,NCI:C3114,9,0,cause
banana,pancreatitis,AG.01.h,NCI:C3306,3,0,cause
banana,rhinitis,AG.01.h,NCI:C34986,11,0,cause
barley,Celiac Disease,AG.01.i,NCI:C26714,12,0,cause
barley,Celiac disease,AG.01.i,NCI:C26714,83,0,cause
barley,anaemia,AG.01.i,NCI:C2869,11,0,cause
barley,asthma,AG.01.i,NCI:C28397,2,0,cause
barley,asthma,AG.01.j,NCI:C28397,2,0,cause
barley,celiac disease,AG.01.i,NCI:C26714,7,0,cause
barley,coeliac disease,AG.01.i,NCI:C26714,6,0,cause
barley,dermatitis,AG.01.i,NCI:C2983,18,0,cause
barley,osteoporosis,AG.01.i,NCI:C3298,11,0,cause
beer,Korsakoff's psychosis,AG.01.y,NCI:C35764,4,0,cause
beer,Wernicke-Korsakoff syndrome,AG.01.y,NCI:C35764,3,0,cause
beer,lactic acidosis,AG.01.y,NCI:C98969,4,0,cause
beverages,telangiectasia,AF.12,NCI:C28194,3,0,cause
beverages,telangiectasia,AG.01.l,NCI:C28194,3,0,cause
cake prepared,hypersensitivity,AG.01.n,NCI:C3114,5,0,cause
calcium,pericardial effusion,AG.01.e,NCI:C3319,3,0,cause
candy,stomatitis,AG.01.l,NCI:C26887,6,0,cause
carrot,dermatitis,AG.01.h,NCI:C2983,4,0,cause
cereal,asthma,AG.01.i,NCI:C28397,4,0,cause
cereal,dermatitis,AG.01.i,NCI:C2983,4,0,cause
cereal,eczema,AG.01.i,NCI:C2983,4,0,cause
cereal flour,Asthma,AG.01.i,NCI:C28397,2,0,cause
cheese,Migraine,AG.01,NCI:C89715,4,0,cause
cheese,Migraine,AG.01.ae,NCI:C89715,2,0,cause
cheese,hypertension,AG.01.ae,NCI:C3117,3,0,cause
cheese,insulin-dependent diabetes mellitus,AG.01.ae,NCI:C2986,2,0,cause
cheese,migraine,AG.01,NCI:C89715,14,0,cause
cheese,migraine,AG.01.ae,NCI:C89715,6,0,cause
chicken,obesity,AG.01.d,NCI:C159658,2,0,cause
chocolate,Migraine,AG.01,NCI:C89715,2,0,cause
chocolate,atrial fibrillation,AG.01,NCI:C50466,3,0,cause
