term1,term2,hansardParent,omim_disease,is_cause,is_treat,relation
", beer",migraine,AG.01,OMIM:157300,10,0,cause
apple,OAS,AG.01.h,OMIM:206920,6,0,cause
banana,asthma,AG.01.h,OMIM:600807,6,0,cause
banana,pancreatitis,AG.01.h,OMIM:167800,3,0,cause
barley,Celiac Disease,AG.01.i,OMIM:611598,12,0,cause
barley,Celiac disease,AG.01.i,OMIM:611598,83,0,cause
barley,asthma,AG.01.i,OMIM:600807,2,0,cause
barley,asthma,AG.01.j,OMIM:600807,2,0,cause
barley,autoimmune disease,AG.01.i,OMIM:109100,2,0,cause
barley,autoimmune disorder,AG.01.i,OMIM:109100,20,0,cause
barley,celiac disease,AG.01.i,OMIM:611598,7,0,cause
barley,coeliac disease,AG.01.i,OMIM:611598,6,0,cause
barley,osteoporosis,AG.01.i,OMIM:166710,11,0,cause
beef,lymphoproliferative disorder,AG.01,OMIM:PS308240,2,0,cause
beer,Korsakoff's psychosis,AG.01.y,OMIM:277730,4,0,cause
beer,Wernicke-Korsakoff syndrome,AG.01.y,OMIM:277730,3,0,cause
cakes,acne,AG.01.g,OMIM:604324,8,0,cause
cereal,asthma,AG.01.i,OMIM:600807,4,0,cause
cereal flour,Asthma,AG.01.i,OMIM:600807,2,0,cause
cheese,Migraine,AG.01,OMIM:157300,4,0,cause
cheese,Migraine,AG.01.ae,OMIM:157300,2,0,cause
cheese,insulin-dependent diabetes mellitus,AG.01.ae,OMIM:222100,2,0,cause
cheese,migraine,AG.01,OMIM:157300,14,0,cause
cheese,migraine,AG.01.ae,OMIM:157300,6,0,cause
chicken,obesity,AG.01.d,OMIM:601665,2,0,cause
chocolate,Migraine,AG.01,OMIM:157300,2,0,cause
chocolate,acne,AG.01,OMIM:604324,10,0,cause
chocolate,acne,AG.01.ag,OMIM:604324,8,0,cause
chocolate,acne,AG.01.g,OMIM:604324,8,0,cause
chocolate,acne,AG.01.n,OMIM:604324,8,0,cause
chocolate,migraine,AG.01,OMIM:157300,8,0,cause
chocolate,migraine,AG.01.ae,OMIM:157300,7,0,cause
chocolate,obesity,AG.01,OMIM:601665,9,0,cause
coffee,acne,AG.01,OMIM:604324,8,0,cause
coffee,acne,AG.01.ag,OMIM:604324,9,0,cause
coffee,acne,AG.01.g,OMIM:604324,8,0,cause
coffee,acne,AG.01.n,OMIM:604324,8,0,cause
crab,allergic rhinitis,AG.01.d,OMIM:607154,2,0,cause
eggs,acne,AG.01,OMIM:604324,8,0,cause
