term1,term2,hansardParent,snomedct_disease,is_cause,is_treat,relation
", beer",migraine,AG.01,SNOMEDCT_US_2020_09_01:155046006,10,0,cause
apple,dermatitis,AG.01.h,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
banana,asthma,AG.01.h,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
banana,hypersensitivity,AG.01.h,SNOMEDCT_US_2020_09_01:257550005,9,0,cause
banana,pancreatitis,AG.01.h,SNOMEDCT_US_2020_09_01:393591004,3,0,cause
banana,rhinitis,AG.01.h,SNOMEDCT_US_2020_09_01:70076002,11,0,cause
banana,urticaria,AG.01.h,SNOMEDCT_US_2020_09_01:267817001,11,0,cause
barley,Celiac Disease,AG.01.i,SNOMEDCT_US_2020_09_01:197477005,12,0,cause
barley,Celiac disease,AG.01.i,SNOMEDCT_US_2020_09_01:197477005,83,0,cause
barley,anaemia,AG.01.i,SNOMEDCT_US_2020_09_01:64593003,11,0,cause
barley,asthma,AG.01.i,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
barley,asthma,AG.01.j,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
barley,celiac disease,AG.01.i,SNOMEDCT_US_2020_09_01:197477005,7,0,cause
barley,coeliac disease,AG.01.i,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
barley,dermatitis,AG.01.i,SNOMEDCT_US_2020_09_01:238538009,18,0,cause
barley,osteoporosis,AG.01.i,SNOMEDCT_US_2020_09_01:156825006,11,0,cause
beef,campylobacteriosis,AG.01,SNOMEDCT_US_2020_09_01:86500004,2,0,cause
beer,Korsakoff's psychosis,AG.01.y,SNOMEDCT_US_2020_09_01:69482004,4,0,cause
beer,Wernicke's encephalopathy,AG.01.y,SNOMEDCT_US_2020_09_01:190627001,4,0,cause
beer,Wernicke-Korsakoff syndrome,AG.01.y,SNOMEDCT_US_2020_09_01:69482004,3,0,cause
beer,lactic acidosis,AG.01.y,SNOMEDCT_US_2020_09_01:91273001,4,0,cause
beer,urticaria,AG.01.y,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
beverages,telangiectasia,AF.12,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
beverages,telangiectasia,AG.01.l,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
cake prepared,hypersensitivity,AG.01.n,SNOMEDCT_US_2020_09_01:257550005,5,0,cause
cakes,acne,AG.01.g,SNOMEDCT_US_2020_09_01:11381005,8,0,cause
calcium,pericardial effusion,AG.01.e,SNOMEDCT_US_2020_09_01:70370001,3,0,cause
candy,stomatitis,AG.01.l,SNOMEDCT_US_2020_09_01:95361005,6,0,cause
carrot,dermatitis,AG.01.h,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
celery,urticaria,AG.01.h,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
cereal,asthma,AG.01.i,SNOMEDCT_US_2020_09_01:187687003,4,0,cause
cereal,dermatitis,AG.01.i,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
cereal,eczema,AG.01.i,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
