term1,term2,itis_id,efo_disease,is_cause,is_treat,relation
allium cepa,asthma,42720.0,EFO:0000270,3,0,cause
banana,asthma,42390.0,EFO:0000270,6,0,cause
banana,pancreatitis,42390.0,EFO:0000278,3,0,cause
barley,Celiac Disease,40874.0,EFO:0001060,12,0,cause
barley,Celiac disease,40874.0,EFO:0001060,83,0,cause
barley,anaemia,40874.0,EFO:0004272,11,0,cause
barley,asthma,40874.0,EFO:0000270,4,0,cause
barley,celiac disease,40874.0,EFO:0001060,7,0,cause
barley,coeliac disease,40874.0,EFO:0001060,6,0,cause
barley,osteoporosis,40874.0,EFO:0003882,11,0,cause
chicken,obesity,176086.0,EFO:0001073,2,0,cause
chicory,asthma,36763.0,EFO:0000270,4,0,cause
crab,allergic rhinitis,98276.0,EFO:0003956,3,0,cause
hordeum vulgare,asthma,40874.0,EFO:0000270,2,0,cause
peanut,atopic dermatitis,26463.0,EFO:0000274,3,0,cause
potato,asthma,505272.0,EFO:0000270,2,0,cause
rabbit,atopic dermatitis,180110.0,EFO:0000274,3,0,cause
rice,asthma,41976.0,EFO:0000270,6,0,cause
rosemary,asthma,32677.0,EFO:0000270,3,0,cause
rye,Celiac Disease,42090.0,EFO:0001060,6,0,cause
rye,Celiac disease,42090.0,EFO:0001060,22,0,cause
rye,celiac disease,42090.0,EFO:0001060,13,0,cause
rye,coeliac disease,42090.0,EFO:0001060,6,0,cause
triticum aestivum,Celiac disease,42237.0,EFO:0001060,5,0,cause
turkey,Hypertension,176136.0,EFO:0000537,7,0,cause
wheat,Celiac Disease,42236.0,EFO:0001060,6,0,cause
wheat,Celiac disease,42236.0,EFO:0001060,60,0,cause
wheat,Coeliac disease,42236.0,EFO:0001060,6,0,cause
wheat,asthma,42236.0,EFO:0000270,2,0,cause
wheat,coeliac disease,42236.0,EFO:0001060,13,0,cause
wheat,osteoporosis,42236.0,EFO:0003882,11,0,cause
