term1,term2,itis_id,entity_id_y,is_cause,is_treat,relation
allium cepa,asthma,42720.0,DOID:2841,3,0,cause
allium cepa,dermatitis,42720.0,DOID:2723,3,0,cause
allium sativum,dermatitis,42652.0,DOID:2723,2,0,cause
apple,OAS,25262.0,DOID:0060861,6,0,cause
apple,dermatitis,25262.0,DOID:2723,4,0,cause
banana,asthma,42390.0,DOID:2841,6,0,cause
banana,hypersensitivity,42390.0,DOID:1205,10,0,cause
banana,pancreatitis,42390.0,DOID:4989,3,0,cause
banana,rhinitis,42390.0,DOID:4483,11,0,cause
banana,urticaria,42390.0,DOID:1555,11,0,cause
barley,Celiac Disease,40874.0,DOID:10608,12,0,cause
barley,Celiac disease,40874.0,DOID:10608,83,0,cause
barley,anaemia,40874.0,DOID:2355,11,0,cause
barley,asthma,40874.0,DOID:2841,4,0,cause
barley,autoimmune disease,40874.0,DOID:417,2,0,cause
barley,autoimmune disorder,40874.0,DOID:417,20,0,cause
barley,celiac disease,40874.0,DOID:10608,7,0,cause
barley,coeliac disease,40874.0,DOID:10608,6,0,cause
barley,dermatitis,40874.0,DOID:2723,18,0,cause
barley,osteoporosis,40874.0,DOID:11476,11,0,cause
carrot,dermatitis,524846.0,DOID:2723,4,0,cause
cassava,latex allergy,503688.0,DOID:0060532,6,0,cause
chestnut,hypersensitivity,19451.0,DOID:1205,6,0,cause
chestnut,latex allergy,19451.0,DOID:0060532,3,0,cause
chicken,obesity,176086.0,DOID:9970,2,0,cause
chicory,asthma,36763.0,DOID:2841,4,0,cause
cinnamon,dermatitis,18174.0,DOID:2723,3,0,cause
cinnamon,hepatitis,18174.0,DOID:2237,4,0,cause
cinnamon,hypersensitivity,18174.0,DOID:1205,10,0,cause
cinnamon,stomatitis,18174.0,DOID:9637,19,0,cause
cinnamon,telangiectasia,18174.0,DOID:1272,3,0,cause
coffee,acne,35189.0,DOID:6543,33,0,cause
corn,dermatitis,42269.0,DOID:2723,11,0,cause
corn,rhinitis,42269.0,DOID:4483,3,0,cause
crab,allergic rhinitis,98276.0,DOID:4481,3,0,cause
garlic,dermatitis,42652.0,DOID:2723,19,0,cause
garlic,hemolytic anemia,42652.0,DOID:583,5,0,cause
garlic,hypersensitivity,42652.0,DOID:1205,10,0,cause
garlic,rhinitis,42652.0,DOID:4483,18,0,cause
hazelnut,OAS,19505.0,DOID:0060861,2,0,cause
hordeum vulgare,asthma,40874.0,DOID:2841,2,0,cause
horseradish,hypersensitivity,23044.0,DOID:1205,50,0,cause
lemon,endophthalmitis,28885.0,DOID:4692,3,0,cause
lemon,hypersensitivity,28885.0,DOID:1205,5,0,cause
lemon,urticaria,28885.0,DOID:1555,3,0,cause
papaya,hypersensitivity,22324.0,DOID:1205,2,0,cause
peach,OAS,24765.0,DOID:0060861,6,0,cause
peach,urticaria,24765.0,DOID:1555,12,0,cause
peanut,atopic dermatitis,26463.0,DOID:3310,3,0,cause
phaseolus vulgaris,diarrhoea,26857.0,DOID:13250,6,0,cause
phaseolus vulgaris,gastroenteritis,26857.0,DOID:2326,3,0,cause
potato,asthma,505272.0,DOID:2841,2,0,cause
potato,dermatitis,505272.0,DOID:2723,8,0,cause
rabbit,atopic dermatitis,180110.0,DOID:3310,3,0,cause
rice,asthma,41976.0,DOID:2841,6,0,cause
rice,urticaria,41976.0,DOID:1555,6,0,cause
rosemary,asthma,32677.0,DOID:2841,3,0,cause
rye,Celiac Disease,42090.0,DOID:10608,6,0,cause
rye,Celiac disease,42090.0,DOID:10608,22,0,cause
rye,autoimmune disorder,42090.0,DOID:417,2,0,cause
rye,celiac disease,42090.0,DOID:10608,13,0,cause
rye,coeliac disease,42090.0,DOID:10608,6,0,cause
rye,dermatitis,42090.0,DOID:2723,7,0,cause
tea,acne,506801.0,DOID:6543,9,0,cause
triticum aestivum,Celiac disease,42237.0,DOID:10608,5,0,cause
turkey,Gastric cancer,176136.0,DOID:10534,7,0,cause
turkey,Hypertension,176136.0,DOID:10763,7,0,cause
vanilla,telangiectasia,43714.0,DOID:1272,3,0,cause
wasabi,hypersensitivity,506210.0,DOID:1205,10,0,cause
wheat,Celiac Disease,42236.0,DOID:10608,6,0,cause
wheat,Celiac disease,42236.0,DOID:10608,60,0,cause
wheat,Coeliac disease,42236.0,DOID:10608,6,0,cause
wheat,asthma,42236.0,DOID:2841,2,0,cause
wheat,autoimmune disease,42236.0,DOID:417,2,0,cause
wheat,autoimmune disorder,42236.0,DOID:417,26,0,cause
wheat,coeliac disease,42236.0,DOID:10608,13,0,cause
wheat,dermatitis,42236.0,DOID:2723,11,0,cause
wheat,eczema,42236.0,DOID:2723,9,0,cause
wheat,irritable bowel syndrome,42236.0,DOID:9778,2,0,cause
wheat,osteoporosis,42236.0,DOID:11476,11,0,cause
