term1,term2,itis_id,mesh_disease,is_cause,is_treat,relation
allium,cancers,42634.0,MESH:D009369,0,6,treat
allium,colorectal cancer,42634.0,MESH:D015179,0,6,treat
allium,gastric cancer,42634.0,MESH:D013274,0,10,treat
allium,prostate cancer,42634.0,MESH:D011471,0,9,treat
allium,stomach cancer,42634.0,MESH:D013274,0,6,treat
allium cepa,breast cancer,42720.0,MESH:D001943,0,4,treat
allium sativum,anemia,42652.0,MESH:D000740,0,2,treat
allium sativum,asthma,42652.0,MESH:D001249,0,6,treat
allium sativum,atherosclerosis,42652.0,MESH:D050197,0,2,treat
allium sativum,bladder cancer,42652.0,MESH:D001749,0,3,treat
allium sativum,cancers,42652.0,MESH:D009369,0,17,treat
allium sativum,diabetes,42652.0,MESH:D003920,0,8,treat
allium sativum,dyslipidemia,42652.0,MESH:D008052,0,2,treat
allium sativum,gastric cancer,42652.0,MESH:D013274,0,5,treat
allium sativum,hypertension,42652.0,MESH:D006973,0,5,treat
allium sativum,kidney diseases,42652.0,MESH:D007674,0,4,treat
allium sativum,liver diseases,42652.0,MESH:D008107,0,4,treat
allium sativum,malaria,42652.0,MESH:D008288,0,4,treat
allium sativum,measles,42652.0,MESH:D008457,0,2,treat
allium sativum,syphilis,42652.0,MESH:D002601,0,2,treat
allium sativum,yellow fever,42652.0,MESH:D015004,0,2,treat
annona muricata,cancers,18098.0,MESH:D009369,0,4,treat
annona muricata,prostate cancer,18098.0,MESH:D011471,0,4,treat
annona muricata,tuberculosis,18098.0,MESH:D014375,0,4,treat
apium graveolens,hypertension,182184.0,MESH:D006973,0,3,treat
apple,hypertension,25262.0,MESH:D006973,0,8,treat
asparagus,liver cancer,42784.0,MESH:D008113,0,18,treat
avena sativa,atopic dermatitis,41459.0,MESH:D003876,0,2,treat
banana,hypertension,42390.0,MESH:D006973,0,8,treat
brassica oleracea,prostate cancer,23062.0,MESH:D011471,0,4,treat
breadfruit,diabetes,184181.0,MESH:D003920,0,2,treat
broccoli,breast cancer,530961.0,MESH:D001943,0,4,treat
broccoli,cancers,530961.0,MESH:D009369,0,5,treat
broccoli,cervical cancer,530961.0,MESH:D002583,0,2,treat
broccoli,colon cancer,530961.0,MESH:D003110,0,4,treat
broccoli,diabetes,530961.0,MESH:D003920,0,5,treat
broccoli,mammary tumors,530961.0,MESH:D001943,0,4,treat
broccoli,neurodegenerative diseases,530961.0,MESH:D019636,0,5,treat
cabbage,arthritis,526962.0,MESH:D001168,0,2,treat
cabbage,breast cancer,526962.0,MESH:D001943,0,3,treat
cabbage,cervical cancer,526962.0,MESH:D002583,0,2,treat
camellia sinensis,colorectal cancer,506801.0,MESH:D015179,0,4,treat
camellia sinensis,diabetes,506801.0,MESH:D003920,0,5,treat
camellia sinensis,hypertension,506801.0,MESH:D006973,0,2,treat
camellia sinensis,obesity,506801.0,MESH:D009765,0,3,treat
capsicum,cancers,30491.0,MESH:D009369,0,15,treat
capsicum,hypertension,30491.0,MESH:D006973,0,3,treat
capsicum,psoriasis,30491.0,MESH:D011565,0,2,treat
capsicum annuum,anemia,30492.0,MESH:D000740,0,12,treat
capsicum annuum,asthma,30492.0,MESH:D001249,0,12,treat
