term1,term2,itis_id,nci_disease,is_cause,is_treat,relation
allium cepa,asthma,42720.0,NCI:C28397,3,0,cause
allium cepa,dermatitis,42720.0,NCI:C2983,3,0,cause
allium sativum,dermatitis,42652.0,NCI:C2983,2,0,cause
apple,dermatitis,25262.0,NCI:C2983,4,0,cause
banana,asthma,42390.0,NCI:C28397,6,0,cause
banana,hypersensitivity,42390.0,NCI:C3114,10,0,cause
banana,pancreatitis,42390.0,NCI:C3306,3,0,cause
banana,rhinitis,42390.0,NCI:C34986,11,0,cause
barley,Celiac Disease,40874.0,NCI:C26714,12,0,cause
barley,Celiac disease,40874.0,NCI:C26714,83,0,cause
barley,anaemia,40874.0,NCI:C2869,11,0,cause
barley,asthma,40874.0,NCI:C28397,4,0,cause
barley,celiac disease,40874.0,NCI:C26714,7,0,cause
barley,coeliac disease,40874.0,NCI:C26714,6,0,cause
barley,dermatitis,40874.0,NCI:C2983,18,0,cause
barley,osteoporosis,40874.0,NCI:C3298,11,0,cause
carrot,dermatitis,524846.0,NCI:C2983,4,0,cause
chestnut,hypersensitivity,19451.0,NCI:C3114,6,0,cause
chicken,obesity,176086.0,NCI:C159658,2,0,cause
chicory,asthma,36763.0,NCI:C28397,4,0,cause
cinnamon,dermatitis,18174.0,NCI:C2983,3,0,cause
cinnamon,hepatitis,18174.0,NCI:C82978,4,0,cause
cinnamon,hypersensitivity,18174.0,NCI:C3114,10,0,cause
cinnamon,stomatitis,18174.0,NCI:C26887,19,0,cause
cinnamon,telangiectasia,18174.0,NCI:C28194,3,0,cause
corn,dermatitis,42269.0,NCI:C2983,11,0,cause
corn,rhinitis,42269.0,NCI:C34986,3,0,cause
crab,allergic rhinitis,98276.0,NCI:C34987,3,0,cause
garlic,dermatitis,42652.0,NCI:C2983,19,0,cause
garlic,hemolytic anemia,42652.0,NCI:C34376,5,0,cause
garlic,hypersensitivity,42652.0,NCI:C3114,10,0,cause
garlic,rhinitis,42652.0,NCI:C34986,18,0,cause
hordeum vulgare,asthma,40874.0,NCI:C28397,2,0,cause
horseradish,hypersensitivity,23044.0,NCI:C3114,50,0,cause
lemon,endophthalmitis,28885.0,NCI:C34586,3,0,cause
lemon,hypersensitivity,28885.0,NCI:C3114,5,0,cause
papaya,hypersensitivity,22324.0,NCI:C3114,2,0,cause
phaseolus vulgaris,gastroenteritis,26857.0,NCI:C34632,3,0,cause
potato,asthma,505272.0,NCI:C28397,2,0,cause
potato,dermatitis,505272.0,NCI:C2983,8,0,cause
rice,asthma,41976.0,NCI:C28397,6,0,cause
rosemary,asthma,32677.0,NCI:C28397,3,0,cause
rye,Celiac Disease,42090.0,NCI:C26714,6,0,cause
rye,Celiac disease,42090.0,NCI:C26714,22,0,cause
rye,celiac disease,42090.0,NCI:C26714,13,0,cause
rye,coeliac disease,42090.0,NCI:C26714,6,0,cause
rye,dermatitis,42090.0,NCI:C2983,7,0,cause
triticum aestivum,Celiac disease,42237.0,NCI:C26714,5,0,cause
turkey,Gastric cancer,176136.0,NCI:C3387,7,0,cause
turkey,Hypertension,176136.0,NCI:C3117,7,0,cause
vanilla,telangiectasia,43714.0,NCI:C28194,3,0,cause
wasabi,hypersensitivity,506210.0,NCI:C3114,10,0,cause
wheat,Celiac Disease,42236.0,NCI:C26714,6,0,cause
wheat,Celiac disease,42236.0,NCI:C26714,60,0,cause
wheat,Coeliac disease,42236.0,NCI:C26714,6,0,cause
wheat,asthma,42236.0,NCI:C28397,2,0,cause
wheat,coeliac disease,42236.0,NCI:C26714,13,0,cause
wheat,dermatitis,42236.0,NCI:C2983,11,0,cause
wheat,eczema,42236.0,NCI:C2983,9,0,cause
wheat,irritable bowel syndrome,42236.0,NCI:C82343,2,0,cause
wheat,osteoporosis,42236.0,NCI:C3298,11,0,cause
