term1,term2,itis_id,omim_disease,is_cause,is_treat,relation
allium cepa,asthma,42720.0,OMIM:600807,3,0,cause
apple,OAS,25262.0,OMIM:206920,6,0,cause
banana,asthma,42390.0,OMIM:600807,6,0,cause
banana,pancreatitis,42390.0,OMIM:167800,3,0,cause
barley,Celiac Disease,40874.0,OMIM:611598,12,0,cause
barley,Celiac disease,40874.0,OMIM:611598,83,0,cause
barley,asthma,40874.0,OMIM:600807,4,0,cause
barley,autoimmune disease,40874.0,OMIM:109100,2,0,cause
barley,autoimmune disorder,40874.0,OMIM:109100,20,0,cause
barley,celiac disease,40874.0,OMIM:611598,7,0,cause
barley,coeliac disease,40874.0,OMIM:611598,6,0,cause
barley,osteoporosis,40874.0,OMIM:166710,11,0,cause
chicken,obesity,176086.0,OMIM:601665,2,0,cause
chicory,asthma,36763.0,OMIM:600807,4,0,cause
coffee,acne,35189.0,OMIM:604324,33,0,cause
crab,allergic rhinitis,98276.0,OMIM:607154,3,0,cause
garlic,hemolytic anemia,42652.0,OMIM:266120,5,0,cause
hazelnut,OAS,19505.0,OMIM:206920,2,0,cause
hordeum vulgare,asthma,40874.0,OMIM:600807,2,0,cause
peach,OAS,24765.0,OMIM:206920,6,0,cause
peanut,atopic dermatitis,26463.0,OMIM:603165,3,0,cause
potato,asthma,505272.0,OMIM:600807,2,0,cause
rabbit,atopic dermatitis,180110.0,OMIM:603165,3,0,cause
rice,asthma,41976.0,OMIM:600807,6,0,cause
rosemary,asthma,32677.0,OMIM:600807,3,0,cause
rye,Celiac Disease,42090.0,OMIM:611598,6,0,cause
rye,Celiac disease,42090.0,OMIM:611598,22,0,cause
rye,autoimmune disorder,42090.0,OMIM:109100,2,0,cause
rye,celiac disease,42090.0,OMIM:611598,13,0,cause
rye,coeliac disease,42090.0,OMIM:611598,6,0,cause
tea,acne,506801.0,OMIM:604324,9,0,cause
triticum aestivum,Celiac disease,42237.0,OMIM:611598,5,0,cause
turkey,Gastric cancer,176136.0,OMIM:613659,7,0,cause
wheat,Celiac Disease,42236.0,OMIM:611598,6,0,cause
wheat,Celiac disease,42236.0,OMIM:611598,60,0,cause
wheat,Coeliac disease,42236.0,OMIM:611598,6,0,cause
wheat,asthma,42236.0,OMIM:600807,2,0,cause
wheat,autoimmune disease,42236.0,OMIM:109100,2,0,cause
wheat,autoimmune disorder,42236.0,OMIM:109100,26,0,cause
wheat,coeliac disease,42236.0,OMIM:611598,13,0,cause
wheat,osteoporosis,42236.0,OMIM:166710,11,0,cause
