term1,term2,itis_id,snomedct_disease,is_cause,is_treat,relation
allium,cancers,42634.0,SNOMEDCT_US_2020_09_01:269513004,0,6,treat
allium,colorectal cancer,42634.0,SNOMEDCT_US_2020_09_01:93854002,0,6,treat
allium,gastric cancer,42634.0,SNOMEDCT_US_2020_09_01:126824007,0,10,treat
allium,prostate cancer,42634.0,SNOMEDCT_US_2020_09_01:93974005,0,9,treat
allium,stomach cancer,42634.0,SNOMEDCT_US_2020_09_01:126824007,0,6,treat
allium cepa,breast cancer,42720.0,SNOMEDCT_US_2020_09_01:254837009,0,4,treat
allium sativum,anemia,42652.0,SNOMEDCT_US_2020_09_01:64593003,0,2,treat
allium sativum,asthma,42652.0,SNOMEDCT_US_2020_09_01:187687003,0,6,treat
allium sativum,atherosclerosis,42652.0,SNOMEDCT_US_2020_09_01:155414001,0,2,treat
allium sativum,bladder cancer,42652.0,SNOMEDCT_US_2020_09_01:126885006,0,3,treat
allium sativum,cancers,42652.0,SNOMEDCT_US_2020_09_01:269513004,0,17,treat
allium sativum,diabetes,42652.0,SNOMEDCT_US_2020_09_01:267467004,0,8,treat
allium sativum,gastric cancer,42652.0,SNOMEDCT_US_2020_09_01:126824007,0,5,treat
allium sativum,hypertension,42652.0,SNOMEDCT_US_2020_09_01:38341003,0,5,treat
allium sativum,kidney diseases,42652.0,SNOMEDCT_US_2020_09_01:266612003,0,4,treat
allium sativum,liver diseases,42652.0,SNOMEDCT_US_2020_09_01:62857009,0,4,treat
allium sativum,malaria,42652.0,SNOMEDCT_US_2020_09_01:154374002,0,4,treat
allium sativum,measles,42652.0,SNOMEDCT_US_2020_09_01:154338006,0,2,treat
allium sativum,syphilis,42652.0,SNOMEDCT_US_2020_09_01:736686006,0,2,treat
allium sativum,yellow fever,42652.0,SNOMEDCT_US_2020_09_01:154345006,0,2,treat
annona muricata,cancers,18098.0,SNOMEDCT_US_2020_09_01:269513004,0,4,treat
annona muricata,prostate cancer,18098.0,SNOMEDCT_US_2020_09_01:93974005,0,4,treat
annona muricata,tuberculosis,18098.0,SNOMEDCT_US_2020_09_01:15202009,0,4,treat
annona muricata,urinary tract infections,18098.0,SNOMEDCT_US_2020_09_01:197833009,0,4,treat
apium graveolens,hypertension,182184.0,SNOMEDCT_US_2020_09_01:38341003,0,3,treat
apple,hypertension,25262.0,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
asparagus,liver cancer,42784.0,SNOMEDCT_US_2020_09_01:187771009,0,18,treat
avena sativa,atopic dermatitis,41459.0,SNOMEDCT_US_2020_09_01:156331003,0,2,treat
banana,hypertension,42390.0,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
