term1,term2,itis_id,umls_disease,is_cause,is_treat,relation
allium,cancers,42634.0,UMLS_CUI:C0006826,0,6,treat
allium,colorectal cancer,42634.0,UMLS_CUI:C0346629,0,6,treat
allium,gastric cancer,42634.0,UMLS_CUI:C0024623,0,10,treat
allium,prostate cancer,42634.0,UMLS_CUI:C0033578,0,9,treat
allium,stomach cancer,42634.0,UMLS_CUI:C0024623,0,6,treat
allium cepa,breast cancer,42720.0,UMLS_CUI:C0006142,0,4,treat
allium sativum,anemia,42652.0,UMLS_CUI:C0002871,0,2,treat
allium sativum,asthma,42652.0,UMLS_CUI:C0004096,0,6,treat
allium sativum,atherosclerosis,42652.0,UMLS_CUI:C0004153,0,2,treat
allium sativum,bladder cancer,42652.0,UMLS_CUI:C0005684,0,3,treat
allium sativum,cancers,42652.0,UMLS_CUI:C0006826,0,17,treat
allium sativum,diabetes,42652.0,UMLS_CUI:C0011849,0,8,treat
allium sativum,dyslipidemia,42652.0,UMLS_CUI:C0023772,0,2,treat
allium sativum,gastric cancer,42652.0,UMLS_CUI:C0024623,0,5,treat
allium sativum,hypertension,42652.0,UMLS_CUI:C0020538,0,5,treat
allium sativum,kidney diseases,42652.0,UMLS_CUI:C0022658,0,4,treat
allium sativum,liver diseases,42652.0,UMLS_CUI:C0023895,0,4,treat
allium sativum,malaria,42652.0,UMLS_CUI:C0024530,0,4,treat
allium sativum,measles,42652.0,UMLS_CUI:C0025007,0,2,treat
allium sativum,syphilis,42652.0,UMLS_CUI:C0007939,0,2,treat
allium sativum,yellow fever,42652.0,UMLS_CUI:C0043395,0,2,treat
annona muricata,cancers,18098.0,UMLS_CUI:C0006826,0,4,treat
annona muricata,prostate cancer,18098.0,UMLS_CUI:C0033578,0,4,treat
annona muricata,tuberculosis,18098.0,UMLS_CUI:C0041295,0,4,treat
annona muricata,urinary tract infections,18098.0,UMLS_CUI:C0149523,0,4,treat
apium graveolens,hypertension,182184.0,UMLS_CUI:C0020538,0,3,treat
apple,hypertension,25262.0,UMLS_CUI:C0020538,0,8,treat
asparagus,liver cancer,42784.0,UMLS_CUI:C0854795,0,18,treat
avena sativa,atopic dermatitis,41459.0,UMLS_CUI:C0011615,0,2,treat
banana,hypertension,42390.0,UMLS_CUI:C0020538,0,8,treat
brassica oleracea,prostate cancer,23062.0,UMLS_CUI:C0033578,0,4,treat
breadfruit,diabetes,184181.0,UMLS_CUI:C0011849,0,2,treat
broccoli,breast cancer,530961.0,UMLS_CUI:C0006142,0,4,treat
broccoli,cancers,530961.0,UMLS_CUI:C0006826,0,5,treat
broccoli,cervical cancer,530961.0,UMLS_CUI:C0007873,0,2,treat
broccoli,colon cancer,530961.0,UMLS_CUI:C0007102,0,4,treat
broccoli,diabetes,530961.0,UMLS_CUI:C0011849,0,5,treat
broccoli,mammary tumors,530961.0,UMLS_CUI:C0006142,0,4,treat
broccoli,neurodegenerative diseases,530961.0,UMLS_CUI:C1285162,0,5,treat
cabbage,arthritis,526962.0,UMLS_CUI:C0003864,0,2,treat
cabbage,breast cancer,526962.0,UMLS_CUI:C0006142,0,3,treat
cabbage,cervical cancer,526962.0,UMLS_CUI:C0007873,0,2,treat
camellia sinensis,colorectal cancer,506801.0,UMLS_CUI:C0346629,0,4,treat
camellia sinensis,diabetes,506801.0,UMLS_CUI:C0011849,0,5,treat
camellia sinensis,hypertension,506801.0,UMLS_CUI:C0020538,0,2,treat
camellia sinensis,obesity,506801.0,UMLS_CUI:C0028754,0,3,treat
capsicum,cancers,30491.0,UMLS_CUI:C0006826,0,15,treat
capsicum,hypertension,30491.0,UMLS_CUI:C0020538,0,3,treat
capsicum,psoriasis,30491.0,UMLS_CUI:C0033860,0,2,treat
capsicum annuum,anemia,30492.0,UMLS_CUI:C0002871,0,12,treat
capsicum annuum,asthma,30492.0,UMLS_CUI:C0004096,0,12,treat
capsicum annuum,measles,30492.0,UMLS_CUI:C0025007,0,12,treat
capsicum annuum,syphilis,30492.0,UMLS_CUI:C0007939,0,12,treat
cauliflower,arthritis,530957.0,UMLS_CUI:C0003864,0,2,treat
chives,colorectal cancer,42636.0,UMLS_CUI:C0346629,0,5,treat
chives,prostate cancer,42636.0,UMLS_CUI:C0033578,0,18,treat
cichorium intybus,type 2 diabetes mellitus,36763.0,UMLS_CUI:C0011860,0,3,treat
cinnamomum,diabetes,18174.0,UMLS_CUI:C0011849,0,2,treat
cinnamomum,gastritis,18174.0,UMLS_CUI:C0017152,0,2,treat
cinnamomum,type 2 diabetes mellitus,18174.0,UMLS_CUI:C0011860,0,6,treat
cinnamon,Alzheimer's disease,18174.0,UMLS_CUI:C0002395,0,10,treat
cinnamon,diabetes,18174.0,UMLS_CUI:C0011849,0,34,treat
cinnamon,diabetes mellitus,18174.0,UMLS_CUI:C0011849,0,18,treat
cinnamon,diarrhea,18174.0,UMLS_CUI:C0013369,0,3,treat
cinnamon,gastric diseases,18174.0,UMLS_CUI:C0038354,0,3,treat
cinnamon,glucose intolerance,18174.0,UMLS_CUI:C0271650,0,6,treat
cinnamon,metabolic syndrome,18174.0,UMLS_CUI:C0025517,0,21,treat
cinnamon,neurodegenerative diseases,18174.0,UMLS_CUI:C1285162,0,40,treat
cinnamon,obesity,18174.0,UMLS_CUI:C0028754,0,6,treat
cinnamon,type 2 diabetes,18174.0,UMLS_CUI:C0011860,0,63,treat
cinnamon,type 2 diabetes mellitus,18174.0,UMLS_CUI:C0011860,0,6,treat
cinnamon,type-2 diabetes,18174.0,UMLS_CUI:C0011860,0,7,treat
citrus,gastric cancer,28882.0,UMLS_CUI:C0024623,0,4,treat
citrus maxima,hypertension,501574.0,UMLS_CUI:C0020538,0,2,treat
coconut,atopic dermatitis,42451.0,UMLS_CUI:C0011615,0,10,treat
coffee,adenomas,35189.0,UMLS_CUI:C0334389,0,2,treat
coffee,alcoholic liver cirrhosis,35189.0,UMLS_CUI:C0023891,0,2,treat
coffee,atherosclerosis,35189.0,UMLS_CUI:C0004153,0,12,treat
coffee,diabetes,35189.0,UMLS_CUI:C0011849,0,5,treat
coffee,gastric cancer,35189.0,UMLS_CUI:C0024623,0,4,treat
coffee,gout,35189.0,UMLS_CUI:C0018099,0,3,treat
coffee,hyperuricemia,35189.0,UMLS_CUI:C0740394,0,2,treat
coffee,liver disease,35189.0,UMLS_CUI:C0023895,0,4,treat
coffee,obesity,35189.0,UMLS_CUI:C0028754,0,4,treat
coffee,type 2 diabetes,35189.0,UMLS_CUI:C0011860,0,4,treat
coriander,neurodegenerative diseases,29622.0,UMLS_CUI:C1285162,0,8,treat
corn,celiac disease,42269.0,UMLS_CUI:C0007570,0,6,treat
corn,hypertension,42269.0,UMLS_CUI:C0020538,0,8,treat
crocus sativus,asthma,501794.0,UMLS_CUI:C0004096,0,2,treat
crocus sativus,cancers,501794.0,UMLS_CUI:C0006826,0,15,treat
cucurbita,alopecia,22365.0,UMLS_CUI:C0002170,0,2,treat
curcuma longa,asthma,42394.0,UMLS_CUI:C0004096,0,4,treat
curcuma longa,cancers,42394.0,UMLS_CUI:C0006826,0,15,treat
curcuma longa,diabetes,42394.0,UMLS_CUI:C0011849,0,10,treat
curcuma longa,heart diseases,42394.0,UMLS_CUI:C0018799,0,4,treat
curcuma longa,hepatic disorders,42394.0,UMLS_CUI:C0023895,0,5,treat
curcuma longa,hyperglycemia,42394.0,UMLS_CUI:C0020456,0,5,treat
curcuma longa,neurodegenerative diseases,42394.0,UMLS_CUI:C1285162,0,2,treat
curcuma longa,obesity,42394.0,UMLS_CUI:C0028754,0,5,treat
curcuma longa,rheumatoid arthritis,42394.0,UMLS_CUI:C0003873,0,2,treat
curcuma longa,sinusitis,42394.0,UMLS_CUI:C0149512,0,5,treat
fenugreek,diabetes,505590.0,UMLS_CUI:C0011849,0,5,treat
fenugreek,type 2 diabetes,505590.0,UMLS_CUI:C0011860,0,9,treat
ficus carica,constipation,19093.0,UMLS_CUI:C0009806,0,3,treat
garcinia mangostana,diarrhea,21484.0,UMLS_CUI:C0013369,0,2,treat
garlic,arteriosclerosis,42652.0,UMLS_CUI:C0003850,0,4,treat
garlic,atherosclerosis,42652.0,UMLS_CUI:C0004153,0,23,treat
garlic,breast cancer,42652.0,UMLS_CUI:C0006142,0,17,treat
garlic,cancers,42652.0,UMLS_CUI:C0006826,0,50,treat
garlic,colon cancer,42652.0,UMLS_CUI:C0007102,0,10,treat
garlic,colorectal adenocarcinoma,42652.0,UMLS_CUI:C1319315,0,4,treat
garlic,colorectal cancer,42652.0,UMLS_CUI:C0346629,0,8,treat
garlic,diabetes,42652.0,UMLS_CUI:C0011849,0,20,treat
garlic,dyslipidemia,42652.0,UMLS_CUI:C0023772,0,3,treat
garlic,eclampsia,42652.0,UMLS_CUI:C0013537,0,2,treat
garlic,gastric cancer,42652.0,UMLS_CUI:C0024623,0,8,treat
garlic,gingivitis,42652.0,UMLS_CUI:C0008684,0,3,treat
garlic,hyperglycemia,42652.0,UMLS_CUI:C0020456,0,2,treat
garlic,hypertension,42652.0,UMLS_CUI:C0020538,0,29,treat
garlic,kidney diseases,42652.0,UMLS_CUI:C0022658,0,4,treat
garlic,liver cancer,42652.0,UMLS_CUI:C0854795,0,18,treat
garlic,liver diseases,42652.0,UMLS_CUI:C0023895,0,4,treat
garlic,malaria,42652.0,UMLS_CUI:C0024530,0,4,treat
garlic,mammary cancer,42652.0,UMLS_CUI:C0006142,0,14,treat
garlic,metabolic diseases,42652.0,UMLS_CUI:C0025517,0,3,treat
garlic,myocardial infarction,42652.0,UMLS_CUI:C0027051,0,2,treat
garlic,neurodegenerative diseases,42652.0,UMLS_CUI:C1285162,0,8,treat
garlic,periodontal diseases,42652.0,UMLS_CUI:C0031090,0,3,treat
garlic,prostate cancer,42652.0,UMLS_CUI:C0033578,0,19,treat
garlic,renal hypertension,42652.0,UMLS_CUI:C0020544,0,2,treat
garlic,stroke,42652.0,UMLS_CUI:C0007820,0,6,treat
ginger,Alzheimer's disease,42402.0,UMLS_CUI:C0002395,0,9,treat
ginger,CRF,42402.0,UMLS_CUI:C0022661,0,3,treat
ginger,adenomas,42402.0,UMLS_CUI:C0334389,0,5,treat
ginger,arthritis,42402.0,UMLS_CUI:C0003864,0,4,treat
ginger,asthma,42402.0,UMLS_CUI:C0004096,0,7,treat
ginger,bronchitis,42402.0,UMLS_CUI:C0149514,0,3,treat
ginger,cancers,42402.0,UMLS_CUI:C0006826,0,33,treat
ginger,chronic kidney diseases,42402.0,UMLS_CUI:C0022661,0,3,treat
ginger,colon cancer,42402.0,UMLS_CUI:C0007102,0,2,treat
ginger,colorectal cancer,42402.0,UMLS_CUI:C0346629,0,9,treat
ginger,constipation,42402.0,UMLS_CUI:C0009806,0,14,treat
ginger,diabetes,42402.0,UMLS_CUI:C0011849,0,26,treat
ginger,diabetes mellitus,42402.0,UMLS_CUI:C0011849,0,6,treat
ginger,diarrhea,42402.0,UMLS_CUI:C0013369,0,17,treat
ginger,diarrhoea,42402.0,UMLS_CUI:C0013369,0,9,treat
ginger,dysentery,42402.0,UMLS_CUI:C0013369,0,3,treat
ginger,gastrointestinal disease,42402.0,UMLS_CUI:C0012242,0,3,treat
ginger,gastrointestinal diseases,42402.0,UMLS_CUI:C0012242,0,2,treat
ginger,gastrointestinal disorders,42402.0,UMLS_CUI:C0012242,0,3,treat
ginger,heart diseases,42402.0,UMLS_CUI:C0018799,0,4,treat
ginger,hepatic disorders,42402.0,UMLS_CUI:C0023895,0,5,treat
ginger,hyperglycemia,42402.0,UMLS_CUI:C0020456,0,5,treat
ginger,hypertension,42402.0,UMLS_CUI:C0020538,0,13,treat
ginger,infectious diseases,42402.0,UMLS_CUI:C0001485,0,4,treat
ginger,inflammatory bowel diseases,42402.0,UMLS_CUI:C0021390,0,2,treat
ginger,irritable bowel syndrome,42402.0,UMLS_CUI:C0022104,0,9,treat
ginger,liver cancer,42402.0,UMLS_CUI:C0854795,0,9,treat
ginger,migraine,42402.0,UMLS_CUI:C0149931,0,8,treat
ginger,motion sickness,42402.0,UMLS_CUI:C0026603,0,12,treat
ginger,neurodegenerative diseases,42402.0,UMLS_CUI:C1285162,0,32,treat
ginger,obesity,42402.0,UMLS_CUI:C0028754,0,14,treat
ginger,sinusitis,42402.0,UMLS_CUI:C0149512,0,5,treat
ginkgo biloba,asthma,183269.0,UMLS_CUI:C0004096,0,4,treat
ginseng,amnesia,29398.0,UMLS_CUI:C0002625,0,2,treat
ginseng,dementia,29398.0,UMLS_CUI:C0154319,0,2,treat
ginseng,diabetes,29398.0,UMLS_CUI:C0011849,0,15,treat
ginseng,hyperglycemia,29398.0,UMLS_CUI:C0020456,0,2,treat
ginseng,hypertension,29398.0,UMLS_CUI:C0020538,0,3,treat
ginseng,metabolic diseases,29398.0,UMLS_CUI:C0025517,0,2,treat
ginseng,migraine,29398.0,UMLS_CUI:C0149931,0,3,treat
ginseng,obesity,29398.0,UMLS_CUI:C0028754,0,4,treat
ginseng,stroke,29398.0,UMLS_CUI:C0007820,0,2,treat
ginseng,type 2 diabetes,29398.0,UMLS_CUI:C0011860,0,22,treat
glycine max,osteoporosis,26716.0,UMLS_CUI:C0029456,0,2,treat
gossypium,diarrhea,21709.0,UMLS_CUI:C0013369,0,2,treat
grape,atherosclerosis,28606.0,UMLS_CUI:C0004153,0,3,treat
grape,colon cancer,28606.0,UMLS_CUI:C0007102,0,11,treat
grape,diabetes,28606.0,UMLS_CUI:C0011849,0,2,treat
grape,mammary tumor,28606.0,UMLS_CUI:C0006142,0,2,treat
grape,prostate cancer,28606.0,UMLS_CUI:C0033578,0,2,treat
grapefruit,Parkinson's disease,28887.0,UMLS_CUI:C0030567,0,3,treat
grapefruit,hypertension,28887.0,UMLS_CUI:C0020538,0,5,treat
