term1,term2,ncbi_taxonomy_id,mesh_disease,is_cause,is_treat,relation
allium,cancers,4678.0,MESH:D009369,0,6,treat
allium,colorectal cancer,4678.0,MESH:D015179,0,6,treat
allium,gastric cancer,4678.0,MESH:D013274,0,10,treat
allium,prostate cancer,4678.0,MESH:D011471,0,9,treat
allium,stomach cancer,4678.0,MESH:D013274,0,6,treat
allium cepa,breast cancer,4679.0,MESH:D001943,0,4,treat
allium sativum,anemia,4682.0,MESH:D000740,0,2,treat
allium sativum,asthma,4682.0,MESH:D001249,0,6,treat
allium sativum,atherosclerosis,4682.0,MESH:D050197,0,2,treat
allium sativum,bladder cancer,4682.0,MESH:D001749,0,3,treat
allium sativum,cancers,4682.0,MESH:D009369,0,17,treat
allium sativum,diabetes,4682.0,MESH:D003920,0,8,treat
allium sativum,dyslipidemia,4682.0,MESH:D008052,0,2,treat
allium sativum,gastric cancer,4682.0,MESH:D013274,0,5,treat
allium sativum,hypertension,4682.0,MESH:D006973,0,5,treat
allium sativum,kidney diseases,4682.0,MESH:D007674,0,4,treat
allium sativum,liver diseases,4682.0,MESH:D008107,0,4,treat
allium sativum,malaria,4682.0,MESH:D008288,0,4,treat
allium sativum,measles,4682.0,MESH:D008457,0,2,treat
allium sativum,syphilis,4682.0,MESH:D002601,0,2,treat
allium sativum,yellow fever,4682.0,MESH:D015004,0,2,treat
annona muricata,cancers,13337.0,MESH:D009369,0,4,treat
annona muricata,prostate cancer,13337.0,MESH:D011471,0,4,treat
annona muricata,tuberculosis,13337.0,MESH:D014375,0,4,treat
apium graveolens,hypertension,4045.0,MESH:D006973,0,3,treat
apple,hypertension,283210.0,MESH:D006973,0,8,treat
asparagus,liver cancer,4686.0,MESH:D008113,0,18,treat
avena sativa,atopic dermatitis,4498.0,MESH:D003876,0,2,treat
banana,hypertension,4641.0,MESH:D006973,0,8,treat
brassica oleracea,prostate cancer,3712.0,MESH:D011471,0,4,treat
breadfruit,diabetes,194251.0,MESH:D003920,0,2,treat
broccoli,breast cancer,36774.0,MESH:D001943,0,4,treat
broccoli,cancers,36774.0,MESH:D009369,0,5,treat
broccoli,cervical cancer,36774.0,MESH:D002583,0,2,treat
broccoli,colon cancer,36774.0,MESH:D003110,0,4,treat
broccoli,diabetes,36774.0,MESH:D003920,0,5,treat
broccoli,mammary tumors,36774.0,MESH:D001943,0,4,treat
broccoli,neurodegenerative diseases,36774.0,MESH:D019636,0,5,treat
cabbage,arthritis,3716.0,MESH:D001168,0,2,treat
cabbage,breast cancer,3716.0,MESH:D001943,0,3,treat
cabbage,cervical cancer,3716.0,MESH:D002583,0,2,treat
camellia sinensis,colorectal cancer,4442.0,MESH:D015179,0,4,treat
camellia sinensis,diabetes,4442.0,MESH:D003920,0,5,treat
camellia sinensis,hypertension,4442.0,MESH:D006973,0,2,treat
camellia sinensis,obesity,4442.0,MESH:D009765,0,3,treat
capsicum,cancers,4071.0,MESH:D009369,0,15,treat
capsicum,hypertension,4071.0,MESH:D006973,0,3,treat
capsicum,psoriasis,4071.0,MESH:D011565,0,2,treat
capsicum annuum,anemia,4072.0,MESH:D000740,0,12,treat
capsicum annuum,asthma,4072.0,MESH:D001249,0,12,treat
capsicum annuum,measles,4072.0,MESH:D008457,0,12,treat
capsicum annuum,syphilis,4072.0,MESH:D002601,0,12,treat
cauliflower,arthritis,3715.0,MESH:D001168,0,2,treat
chives,colorectal cancer,74900.0,MESH:D015179,0,5,treat
chives,prostate cancer,74900.0,MESH:D011471,0,18,treat
cichorium intybus,type 2 diabetes mellitus,13427.0,MESH:D003924,0,3,treat
cinnamomum,diabetes,13428.0,MESH:D003920,0,2,treat
cinnamomum,gastritis,13428.0,MESH:D005756,0,2,treat
cinnamomum,type 2 diabetes mellitus,13428.0,MESH:D003924,0,6,treat
cinnamon,Alzheimer's disease,13428.0,MESH:D000544,0,10,treat
cinnamon,diabetes,13428.0,MESH:D003920,0,34,treat
cinnamon,diabetes mellitus,13428.0,MESH:D003920,0,18,treat
cinnamon,diarrhea,13428.0,MESH:D004403,0,3,treat
cinnamon,gastric diseases,13428.0,MESH:D013272,0,3,treat
cinnamon,glucose intolerance,13428.0,MESH:D018149,0,6,treat
cinnamon,metabolic syndrome,13428.0,MESH:D008659,0,21,treat
cinnamon,neurodegenerative diseases,13428.0,MESH:D019636,0,40,treat
cinnamon,obesity,13428.0,MESH:D009765,0,6,treat
cinnamon,type 2 diabetes,13428.0,MESH:D003924,0,63,treat
cinnamon,type 2 diabetes mellitus,13428.0,MESH:D003924,0,6,treat
cinnamon,type-2 diabetes,13428.0,MESH:D003924,0,7,treat
citrus maxima,hypertension,37334.0,MESH:D006973,0,2,treat
coconut,atopic dermatitis,13894.0,MESH:D003876,0,10,treat
coffee,adenomas,13442.0,MESH:D000236,0,2,treat
coffee,alcoholic liver cirrhosis,13442.0,MESH:D008104,0,2,treat
coffee,atherosclerosis,13442.0,MESH:D050197,0,12,treat
coffee,diabetes,13442.0,MESH:D003920,0,5,treat
coffee,gastric cancer,13442.0,MESH:D013274,0,4,treat
coffee,gout,13442.0,MESH:D015210,0,3,treat
coffee,hyperuricemia,13442.0,MESH:D033461,0,2,treat
coffee,liver disease,13442.0,MESH:D008107,0,4,treat
coffee,obesity,13442.0,MESH:D009765,0,4,treat
coffee,type 2 diabetes,13442.0,MESH:D003924,0,4,treat
coriander,neurodegenerative diseases,4047.0,MESH:D019636,0,8,treat
corn,celiac disease,4577.0,MESH:D002446,0,6,treat
corn,hypertension,4577.0,MESH:D006973,0,8,treat
crocus sativus,asthma,82528.0,MESH:D001249,0,2,treat
crocus sativus,cancers,82528.0,MESH:D009369,0,15,treat
cucurbita,alopecia,3660.0,MESH:D000505,0,2,treat
curcuma longa,asthma,136217.0,MESH:D001249,0,4,treat
curcuma longa,cancers,136217.0,MESH:D009369,0,15,treat
curcuma longa,diabetes,136217.0,MESH:D003920,0,10,treat
curcuma longa,heart diseases,136217.0,MESH:D006331,0,4,treat
curcuma longa,hepatic disorders,136217.0,MESH:D008107,0,5,treat
curcuma longa,hyperglycemia,136217.0,MESH:D006943,0,5,treat
curcuma longa,neurodegenerative diseases,136217.0,MESH:D019636,0,2,treat
curcuma longa,obesity,136217.0,MESH:D009765,0,5,treat
curcuma longa,rheumatoid arthritis,136217.0,MESH:D001172,0,2,treat
fenugreek,diabetes,78534.0,MESH:D003920,0,5,treat
fenugreek,type 2 diabetes,78534.0,MESH:D003924,0,9,treat
ficus carica,constipation,3494.0,MESH:D003248,0,3,treat
garcinia mangostana,diarrhea,58228.0,MESH:D004403,0,2,treat
garlic,arteriosclerosis,4682.0,MESH:D001161,0,4,treat
garlic,atherosclerosis,4682.0,MESH:D050197,0,23,treat
garlic,breast cancer,4682.0,MESH:D001943,0,17,treat
garlic,cancers,4682.0,MESH:D009369,0,50,treat
garlic,colon cancer,4682.0,MESH:D003110,0,10,treat
garlic,colorectal cancer,4682.0,MESH:D015179,0,8,treat
garlic,diabetes,4682.0,MESH:D003920,0,20,treat
garlic,dyslipidemia,4682.0,MESH:D008052,0,3,treat
garlic,eclampsia,4682.0,MESH:D004461,0,2,treat
garlic,gastric cancer,4682.0,MESH:D013274,0,8,treat
garlic,gingivitis,4682.0,MESH:D005891,0,3,treat
garlic,hyperglycemia,4682.0,MESH:D006943,0,2,treat
garlic,hypertension,4682.0,MESH:D006973,0,29,treat
garlic,kidney diseases,4682.0,MESH:D007674,0,4,treat
garlic,liver cancer,4682.0,MESH:D008113,0,18,treat
garlic,liver diseases,4682.0,MESH:D008107,0,4,treat
garlic,malaria,4682.0,MESH:D008288,0,4,treat
garlic,mammary cancer,4682.0,MESH:D001943,0,14,treat
garlic,metabolic diseases,4682.0,MESH:D008659,0,3,treat
garlic,myocardial infarction,4682.0,MESH:D009203,0,2,treat
garlic,neurodegenerative diseases,4682.0,MESH:D019636,0,8,treat
garlic,periodontal diseases,4682.0,MESH:D010510,0,3,treat
garlic,prostate cancer,4682.0,MESH:D011471,0,19,treat
garlic,renal hypertension,4682.0,MESH:D006977,0,2,treat
garlic,stroke,4682.0,MESH:D002561,0,6,treat
garlic,thrombosis,4682.0,MESH:D013927,0,3,treat
ginger,Alzheimer's disease,94328.0,MESH:D000544,0,9,treat
ginger,CRF,94328.0,MESH:D007676,0,3,treat
ginger,adenomas,94328.0,MESH:D000236,0,5,treat
ginger,arthritis,94328.0,MESH:D001168,0,4,treat
ginger,asthma,94328.0,MESH:D001249,0,7,treat
ginger,bronchitis,94328.0,MESH:D001991,0,3,treat
ginger,cancers,94328.0,MESH:D009369,0,33,treat
ginger,chronic kidney diseases,94328.0,MESH:D007676,0,3,treat
ginger,colon cancer,94328.0,MESH:D003110,0,2,treat
ginger,colorectal cancer,94328.0,MESH:D015179,0,9,treat
ginger,constipation,94328.0,MESH:D003248,0,14,treat
ginger,diabetes,94328.0,MESH:D003920,0,26,treat
ginger,diabetes mellitus,94328.0,MESH:D003920,0,6,treat
ginger,diarrhea,94328.0,MESH:D004403,0,17,treat
ginger,diarrhoea,94328.0,MESH:D004403,0,9,treat
ginger,dysentery,94328.0,MESH:D004403,0,3,treat
ginger,gastrointestinal disease,94328.0,MESH:D004066,0,3,treat
ginger,gastrointestinal diseases,94328.0,MESH:D004066,0,2,treat
ginger,gastrointestinal disorders,94328.0,MESH:D004066,0,3,treat
ginger,heart diseases,94328.0,MESH:D006331,0,4,treat
ginger,hepatic disorders,94328.0,MESH:D008107,0,5,treat
ginger,hyperglycemia,94328.0,MESH:D006943,0,5,treat
ginger,hypertension,94328.0,MESH:D006973,0,13,treat
ginger,inflammatory bowel diseases,94328.0,MESH:D015212,0,2,treat
ginger,irritable bowel syndrome,94328.0,MESH:D043183,0,9,treat
ginger,liver cancer,94328.0,MESH:D008113,0,9,treat
ginger,migraine,94328.0,MESH:D008881,0,8,treat
ginger,motion sickness,94328.0,MESH:D009041,0,12,treat
ginger,mucositis,94328.0,MESH:D052016,0,3,treat
ginger,neurodegenerative diseases,94328.0,MESH:D019636,0,32,treat
ginger,obesity,94328.0,MESH:D009765,0,14,treat
ginkgo biloba,asthma,3311.0,MESH:D001249,0,4,treat
ginseng,amnesia,4054.0,MESH:D000647,0,2,treat
ginseng,diabetes,4054.0,MESH:D003920,0,15,treat
ginseng,hyperglycemia,4054.0,MESH:D006943,0,2,treat
ginseng,hypertension,4054.0,MESH:D006973,0,3,treat
ginseng,metabolic diseases,4054.0,MESH:D008659,0,2,treat
