term1,term2,ncbi_taxonomy_id,snomedct_disease,is_cause,is_treat,relation
allium,cancers,4678.0,SNOMEDCT_US_2020_09_01:269513004,0,6,treat
allium,colorectal cancer,4678.0,SNOMEDCT_US_2020_09_01:93854002,0,6,treat
allium,gastric cancer,4678.0,SNOMEDCT_US_2020_09_01:126824007,0,10,treat
allium,prostate cancer,4678.0,SNOMEDCT_US_2020_09_01:93974005,0,9,treat
allium,stomach cancer,4678.0,SNOMEDCT_US_2020_09_01:126824007,0,6,treat
allium cepa,breast cancer,4679.0,SNOMEDCT_US_2020_09_01:254837009,0,4,treat
allium sativum,anemia,4682.0,SNOMEDCT_US_2020_09_01:64593003,0,2,treat
allium sativum,asthma,4682.0,SNOMEDCT_US_2020_09_01:187687003,0,6,treat
allium sativum,atherosclerosis,4682.0,SNOMEDCT_US_2020_09_01:155414001,0,2,treat
allium sativum,bladder cancer,4682.0,SNOMEDCT_US_2020_09_01:126885006,0,3,treat
allium sativum,cancers,4682.0,SNOMEDCT_US_2020_09_01:269513004,0,17,treat
allium sativum,diabetes,4682.0,SNOMEDCT_US_2020_09_01:267467004,0,8,treat
allium sativum,gastric cancer,4682.0,SNOMEDCT_US_2020_09_01:126824007,0,5,treat
allium sativum,hypertension,4682.0,SNOMEDCT_US_2020_09_01:38341003,0,5,treat
allium sativum,kidney diseases,4682.0,SNOMEDCT_US_2020_09_01:266612003,0,4,treat
allium sativum,liver diseases,4682.0,SNOMEDCT_US_2020_09_01:62857009,0,4,treat
allium sativum,malaria,4682.0,SNOMEDCT_US_2020_09_01:154374002,0,4,treat
allium sativum,measles,4682.0,SNOMEDCT_US_2020_09_01:154338006,0,2,treat
allium sativum,syphilis,4682.0,SNOMEDCT_US_2020_09_01:736686006,0,2,treat
allium sativum,yellow fever,4682.0,SNOMEDCT_US_2020_09_01:154345006,0,2,treat
annona muricata,cancers,13337.0,SNOMEDCT_US_2020_09_01:269513004,0,4,treat
annona muricata,prostate cancer,13337.0,SNOMEDCT_US_2020_09_01:93974005,0,4,treat
annona muricata,tuberculosis,13337.0,SNOMEDCT_US_2020_09_01:15202009,0,4,treat
annona muricata,urinary tract infections,13337.0,SNOMEDCT_US_2020_09_01:197833009,0,4,treat
apium graveolens,hypertension,4045.0,SNOMEDCT_US_2020_09_01:38341003,0,3,treat
apple,hypertension,283210.0,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
asparagus,liver cancer,4686.0,SNOMEDCT_US_2020_09_01:187771009,0,18,treat
avena sativa,atopic dermatitis,4498.0,SNOMEDCT_US_2020_09_01:156331003,0,2,treat
banana,hypertension,4641.0,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
brassica oleracea,prostate cancer,3712.0,SNOMEDCT_US_2020_09_01:93974005,0,4,treat
breadfruit,diabetes,194251.0,SNOMEDCT_US_2020_09_01:267467004,0,2,treat
broccoli,breast cancer,36774.0,SNOMEDCT_US_2020_09_01:254837009,0,4,treat
broccoli,cancers,36774.0,SNOMEDCT_US_2020_09_01:269513004,0,5,treat
broccoli,cervical cancer,36774.0,SNOMEDCT_US_2020_09_01:254885005,0,2,treat
broccoli,colon cancer,36774.0,SNOMEDCT_US_2020_09_01:363406005,0,4,treat
broccoli,diabetes,36774.0,SNOMEDCT_US_2020_09_01:267467004,0,5,treat
broccoli,mammary tumors,36774.0,SNOMEDCT_US_2020_09_01:254837009,0,4,treat
broccoli,neurodegenerative diseases,36774.0,SNOMEDCT_US_2020_09_01:362975008,0,5,treat
cabbage,arthritis,3716.0,SNOMEDCT_US_2020_09_01:372091005,0,2,treat
cabbage,breast cancer,3716.0,SNOMEDCT_US_2020_09_01:254837009,0,3,treat
cabbage,cervical cancer,3716.0,SNOMEDCT_US_2020_09_01:254885005,0,2,treat
camellia sinensis,colorectal cancer,4442.0,SNOMEDCT_US_2020_09_01:93854002,0,4,treat
camellia sinensis,diabetes,4442.0,SNOMEDCT_US_2020_09_01:267467004,0,5,treat
camellia sinensis,hypertension,4442.0,SNOMEDCT_US_2020_09_01:38341003,0,2,treat
camellia sinensis,obesity,4442.0,SNOMEDCT_US_2020_09_01:5476005,0,3,treat
capsicum,cancers,4071.0,SNOMEDCT_US_2020_09_01:269513004,0,15,treat
capsicum,hypertension,4071.0,SNOMEDCT_US_2020_09_01:38341003,0,3,treat
capsicum,psoriasis,4071.0,SNOMEDCT_US_2020_09_01:156369008,0,2,treat
capsicum annuum,anemia,4072.0,SNOMEDCT_US_2020_09_01:64593003,0,12,treat
capsicum annuum,asthma,4072.0,SNOMEDCT_US_2020_09_01:187687003,0,12,treat
