term1,term2,ncbi_taxonomy_id,umls_disease,is_cause,is_treat,relation
agaricus bisporus,allergic rhinitis,5341.0,UMLS_CUI:C0002103,6,0,cause
agaricus bisporus,asthma,5341.0,UMLS_CUI:C0004096,6,0,cause
allium cepa,asthma,4679.0,UMLS_CUI:C0004096,3,0,cause
allium cepa,dermatitis,4679.0,UMLS_CUI:C0011603,3,0,cause
allium sativum,dermatitis,4682.0,UMLS_CUI:C0011603,2,0,cause
apple,dermatitis,283210.0,UMLS_CUI:C0011603,4,0,cause
banana,asthma,4641.0,UMLS_CUI:C0004096,6,0,cause
banana,hypersensitivity,4641.0,UMLS_CUI:C0020517,10,0,cause
banana,pancreatitis,4641.0,UMLS_CUI:C0030305,3,0,cause
banana,rhinitis,4641.0,UMLS_CUI:C0035455,11,0,cause
banana,urticaria,4641.0,UMLS_CUI:C0029839,11,0,cause
barley,Celiac Disease,4513.0,UMLS_CUI:C0007570,12,0,cause
barley,Celiac disease,4513.0,UMLS_CUI:C0007570,83,0,cause
barley,anaemia,4513.0,UMLS_CUI:C0002871,11,0,cause
barley,asthma,4513.0,UMLS_CUI:C0004096,4,0,cause
barley,autoimmune disease,4513.0,UMLS_CUI:C0003089,2,0,cause
barley,autoimmune disorder,4513.0,UMLS_CUI:C0003089,20,0,cause
barley,celiac disease,4513.0,UMLS_CUI:C0007570,7,0,cause
barley,coeliac disease,4513.0,UMLS_CUI:C0007570,6,0,cause
barley,dermatitis,4513.0,UMLS_CUI:C0011603,18,0,cause
barley,osteoporosis,4513.0,UMLS_CUI:C0029456,11,0,cause
carrot,dermatitis,79200.0,UMLS_CUI:C0011603,4,0,cause
chestnut,hypersensitivity,21019.0,UMLS_CUI:C0020517,6,0,cause
chicken,obesity,9031.0,UMLS_CUI:C0028754,2,0,cause
chicory,asthma,13427.0,UMLS_CUI:C0004096,4,0,cause
cinnamon,dermatitis,13428.0,UMLS_CUI:C0011603,3,0,cause
cinnamon,hepatitis,13428.0,UMLS_CUI:C0149519,4,0,cause
cinnamon,hypersensitivity,13428.0,UMLS_CUI:C0020517,10,0,cause
cinnamon,stomatitis,13428.0,UMLS_CUI:C0038362,19,0,cause
cinnamon,telangiectasia,13428.0,UMLS_CUI:C0039446,3,0,cause
coffee,acne,13442.0,UMLS_CUI:C0152249,33,0,cause
corn,dermatitis,4577.0,UMLS_CUI:C0011603,11,0,cause
corn,rhinitis,4577.0,UMLS_CUI:C0035455,3,0,cause
crab,allergic rhinitis,6752.0,UMLS_CUI:C0002103,3,0,cause
garlic,dermatitis,4682.0,UMLS_CUI:C0011603,19,0,cause
garlic,hemolytic anemia,4682.0,UMLS_CUI:C0002878,5,0,cause
garlic,hypersensitivity,4682.0,UMLS_CUI:C0020517,10,0,cause
garlic,rhinitis,4682.0,UMLS_CUI:C0035455,18,0,cause
hordeum vulgare,asthma,4513.0,UMLS_CUI:C0004096,2,0,cause
horseradish,hypersensitivity,3704.0,UMLS_CUI:C0020517,50,0,cause
lemon,endophthalmitis,2708.0,UMLS_CUI:C0014236,3,0,cause
lemon,hypersensitivity,2708.0,UMLS_CUI:C0020517,5,0,cause
lemon,urticaria,2708.0,UMLS_CUI:C0029839,3,0,cause
papaya,hypersensitivity,3649.0,UMLS_CUI:C0020517,2,0,cause
peach,urticaria,3760.0,UMLS_CUI:C0029839,12,0,cause
peanut,atopic dermatitis,3818.0,UMLS_CUI:C0011615,3,0,cause
phaseolus vulgaris,diarrhoea,3885.0,UMLS_CUI:C0013369,6,0,cause
phaseolus vulgaris,gastroenteritis,3885.0,UMLS_CUI:C0017160,3,0,cause
potato,asthma,4113.0,UMLS_CUI:C0004096,2,0,cause
potato,dermatitis,4113.0,UMLS_CUI:C0011603,8,0,cause
rabbit,atopic dermatitis,9979.0,UMLS_CUI:C0011615,3,0,cause
rice,asthma,4530.0,UMLS_CUI:C0004096,6,0,cause
rice,urticaria,4530.0,UMLS_CUI:C0029839,6,0,cause
rosemary,asthma,39367.0,UMLS_CUI:C0004096,3,0,cause
rye,Celiac Disease,4550.0,UMLS_CUI:C0007570,6,0,cause
rye,Celiac disease,4550.0,UMLS_CUI:C0007570,22,0,cause
rye,autoimmune disorder,4550.0,UMLS_CUI:C0003089,2,0,cause
rye,celiac disease,4550.0,UMLS_CUI:C0007570,13,0,cause
rye,coeliac disease,4550.0,UMLS_CUI:C0007570,6,0,cause
rye,dermatitis,4550.0,UMLS_CUI:C0011603,7,0,cause
tea,acne,4442.0,UMLS_CUI:C0152249,9,0,cause
triticum aestivum,Celiac disease,4565.0,UMLS_CUI:C0007570,5,0,cause
turkey,Gastric cancer,9103.0,UMLS_CUI:C0024623,7,0,cause
turkey,Hypertension,9103.0,UMLS_CUI:C0020538,7,0,cause
vanilla,telangiectasia,51238.0,UMLS_CUI:C0039446,3,0,cause
wasabi,hypersensitivity,75806.0,UMLS_CUI:C0020517,10,0,cause
wheat,Celiac Disease,4564.0,UMLS_CUI:C0007570,6,0,cause
wheat,Celiac disease,4564.0,UMLS_CUI:C0007570,60,0,cause
wheat,Coeliac disease,4564.0,UMLS_CUI:C0007570,6,0,cause
wheat,asthma,4564.0,UMLS_CUI:C0004096,2,0,cause
wheat,autoimmune disease,4564.0,UMLS_CUI:C0003089,2,0,cause
wheat,autoimmune disorder,4564.0,UMLS_CUI:C0003089,26,0,cause
wheat,coeliac disease,4564.0,UMLS_CUI:C0007570,13,0,cause
wheat,dermatitis,4564.0,UMLS_CUI:C0011603,11,0,cause
wheat,eczema,4564.0,UMLS_CUI:C0011603,9,0,cause
wheat,irritable bowel syndrome,4564.0,UMLS_CUI:C0022104,2,0,cause
wheat,osteoporosis,4564.0,UMLS_CUI:C0029456,11,0,cause
