term1,term2,snomedct,efo_disease,is_cause,is_treat,relation
", laver",hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735050002,EFO:0000537,0,8,treat
", laver",hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,EFO:0000537,0,8,treat
apple,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735215001,EFO:0000537,0,8,treat
banana,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,EFO:0000537,0,8,treat
beer,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,EFO:0000249,0,6,treat
biotin,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,EFO:0001360,0,9,treat
bread,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226559002,EFO:0001360,0,3,treat
buckwheat,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,EFO:0003914,0,2,treat
buckwheat,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,EFO:0000537,0,2,treat
buckwheat,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,EFO:0001073,0,2,treat
cheese,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,EFO:0001360,0,7,treat
cheese,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,EFO:0001360,0,7,treat
cheese,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,EFO:0001360,0,7,treat
chickpea flour,type 2 diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,EFO:0001360,0,4,treat
chocolate,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,EFO:0000712,0,3,treat
chocolate consumption,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,EFO:0000712,0,3,treat
chocolate consumption,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,EFO:0000712,0,3,treat
cinnamon,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,EFO:0000249,0,6,treat
cinnamon,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,EFO:0001073,0,6,treat
cinnamon,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,EFO:0001360,0,40,treat
cinnamon,type 2 diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,EFO:0001360,0,6,treat
cinnamon,type-2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,EFO:0001360,0,7,treat
cocoa,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,EFO:0003914,0,4,treat
cocoa,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,EFO:0000537,0,2,treat
cocoa,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,EFO:0001073,0,4,treat
cocoa,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,EFO:0001360,0,12,treat
cocoa,type 2 diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,EFO:0001360,0,13,treat
cocoa consumption,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,EFO:0001360,0,12,treat
coconut,atopic dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735211005,EFO:0000274,0,10,treat
coconut oil,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/735211005***http://purl.bioontology.org/ontology/SNOMEDCT/28942008,EFO:0000249,0,4,treat
coconut oil,atopic dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735211005***http://purl.bioontology.org/ontology/SNOMEDCT/28942008,EFO:0000274,0,3,treat
coffee,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/256317002,EFO:0003914,0,4,treat
coffee,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,EFO:0003914,0,4,treat
coffee,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,EFO:0003914,0,4,treat
coffee,gout,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,EFO:0004274,0,3,treat
coffee,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,EFO:0001073,0,4,treat
coffee,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,EFO:0001360,0,2,treat
cooked rice,atopic dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,EFO:0000274,0,4,treat
corn,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/412357001,EFO:0001060,0,2,treat
corn,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/67324005,EFO:0001060,0,2,treat
corn,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/412357001,EFO:0000537,0,8,treat
dried peas,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260184002,EFO:0001360,0,4,treat
fenugreek,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,EFO:0001360,0,9,treat
