term1,term2,snomedct,entity_id_y,is_cause,is_treat,relation
", beer",migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,DOID:6364,10,0,cause
apple,OAS,http://purl.bioontology.org/ontology/SNOMEDCT/735215001,DOID:0060861,6,0,cause
apple,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,DOID:2723,4,0,cause
banana,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,DOID:2841,6,0,cause
banana,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,DOID:1205,9,0,cause
banana,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,DOID:4989,3,0,cause
banana,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,DOID:4483,11,0,cause
banana,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,DOID:1555,11,0,cause
barley,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:10608,12,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:10608,77,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,DOID:10608,6,0,cause
barley,anaemia,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:2355,11,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,DOID:2841,2,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:2841,2,0,cause
barley,autoimmune disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:417,2,0,cause
barley,autoimmune disorder,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:417,20,0,cause
barley,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:10608,7,0,cause
barley,coeliac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:10608,6,0,cause
barley,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:2723,18,0,cause
barley,osteoporosis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:11476,11,0,cause
beef,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/226916002,DOID:13622,2,0,cause
beef,lymphoproliferative disorder,http://purl.bioontology.org/ontology/SNOMEDCT/226916002,DOID:0060704,2,0,cause
beer,Korsakoff's psychosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,DOID:10915,4,0,cause
beer,Wernicke's encephalopathy,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,DOID:2384,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,DOID:10915,3,0,cause
beer,lactic acidosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,DOID:3650,4,0,cause
beer,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,DOID:1555,3,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:1272,3,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,DOID:1272,3,0,cause
cake prepared,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/226639005,DOID:1205,5,0,cause
calcium,pericardial effusion,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:118,3,0,cause
candy,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,DOID:9637,6,0,cause
carrot,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,DOID:2723,4,0,cause
celery,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/256326004,DOID:1555,3,0,cause
cereal,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,DOID:2841,4,0,cause
cereal,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,DOID:2723,4,0,cause
cereal,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,DOID:2723,4,0,cause
cereal flour,Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,DOID:2841,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:6364,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,DOID:6364,2,0,cause
cheese,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,DOID:10763,3,0,cause
cheese,insulin-dependent diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,DOID:9744,2,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:6364,12,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,DOID:6364,6,0,cause
chicken,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226955001,DOID:9970,2,0,cause
chocolate,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:6364,2,0,cause
chocolate,Pertussis,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:1116,2,0,cause
chocolate,acne,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:6543,10,0,cause
chocolate,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,DOID:6543,8,0,cause
chocolate,atrial fibrillation,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:0060224,3,0,cause
chocolate,hyperglycemia,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:4195,4,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:6364,8,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,DOID:6364,7,0,cause
chocolate,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:9970,9,0,cause
chocolate milk,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002***http://purl.bioontology.org/ontology/SNOMEDCT/46329000***http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:9351,2,0,cause
cinnamon,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:2723,3,0,cause
cinnamon,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:1205,10,0,cause
cinnamon,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,DOID:9637,6,0,cause
cinnamon,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,DOID:1272,3,0,cause
coffee,acne,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:6543,8,0,cause
coffee,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,DOID:6543,9,0,cause
corn,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/412357001,DOID:4483,3,0,cause
drinking beer,angioedema,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,DOID:1558,5,0,cause
drinking beer,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,DOID:1555,5,0,cause
eggs,acne,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:6543,8,0,cause
eggs,acne,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,DOID:6543,8,0,cause
flour,allergic rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,DOID:4481,4,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,DOID:2841,2,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,DOID:2841,26,0,cause
flour,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,DOID:2841,2,0,cause
flour,hypersensitivity pneumonitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,DOID:841,3,0,cause
flour,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,DOID:4483,6,0,cause
flour mill,bronchitis,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,DOID:6132,6,0,cause
