term1,term2,snomedct,entity_id_y,is_cause,is_treat,relation
", gymnema",diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260177005,DOID:9351,0,5,treat
", laver",hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735050002,DOID:10763,0,8,treat
", laver",hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,DOID:10763,0,8,treat
", lemon balm",gastric ulcers,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:10808,0,5,treat
", licorice",neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/412060000,DOID:1289,0,24,treat
apple,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735215001,DOID:10763,0,8,treat
asparagus,liver cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227218003,DOID:3571,0,18,treat
banana,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,DOID:10763,0,8,treat
basil,pneumonia,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:552,0,10,treat
basil,pulmonary fibrosis,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:3770,0,10,treat
beer,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,DOID:10652,0,6,treat
beer,amnesia,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,DOID:10914,0,2,treat
beer,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,DOID:9351,0,4,treat
beer,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,DOID:9351,0,4,treat
biotin,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:9352,0,9,treat
black pepper,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/412060000,DOID:162,0,15,treat
bread,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226559002,DOID:9352,0,3,treat
broccoli,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735123009,DOID:1612,0,2,treat
buckwheat,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,DOID:1936,0,2,treat
buckwheat,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,DOID:162,0,2,treat
buckwheat,constipation,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,DOID:2089,0,2,treat
buckwheat,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,DOID:10763,0,2,treat
buckwheat,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,DOID:9970,0,2,treat
cabbage,arthritis,http://purl.bioontology.org/ontology/SNOMEDCT/735108004,DOID:848,0,2,treat
canola oil,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/713648000***http://purl.bioontology.org/ontology/SNOMEDCT/226908006,DOID:9351,0,2,treat
cauliflower,arthritis,http://purl.bioontology.org/ontology/SNOMEDCT/735336002,DOID:848,0,2,treat
cheese,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102262009***http://purl.bioontology.org/ontology/SNOMEDCT/443931000124105,DOID:9351,0,5,treat
cheese,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,DOID:9351,0,5,treat
cheese,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,DOID:0050459,0,2,treat
cheese,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,DOID:9352,0,7,treat
cheese,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,DOID:9352,0,7,treat
cheese,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,DOID:9352,0,7,treat
chicken,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/226955001,DOID:9256,0,5,treat
chickpea flour,type 2 diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,DOID:9352,0,4,treat
chives,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/256326004,DOID:9256,0,5,treat
chives,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,DOID:10283,0,18,treat
chocolate,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:1612,0,10,treat
chocolate,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:9351,0,4,treat
chocolate,metabolic syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:0014667,0,3,treat
chocolate,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:6713,0,3,treat
chocolate consumption,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,DOID:6713,0,3,treat
chocolate consumption,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,DOID:6713,0,3,treat
cinnamon,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:10652,0,6,treat
cinnamon,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:9351,0,16,treat
cinnamon,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260177005,DOID:9351,0,5,treat
cinnamon,diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:9351,0,18,treat
cinnamon,diabetes mellitus type 2,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:0111099;DOID:9352,0,2,treat
cinnamon,diarrhea,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:13250,0,3,treat
cinnamon,gastric diseases,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:76,0,3,treat
cinnamon,glucose intolerance,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:10603,0,6,treat
cinnamon,metabolic syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:0014667,0,14,treat
cinnamon,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,DOID:1289,0,8,treat
cinnamon,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/260180006,DOID:1289,0,8,treat
cinnamon,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/412060000,DOID:1289,0,8,treat
cinnamon,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,DOID:1289,0,8,treat
cinnamon,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:9970,0,6,treat
cinnamon,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:9352,0,40,treat
cinnamon,type 2 diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:9352,0,6,treat
cinnamon,type-2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,DOID:9352,0,7,treat
cocoa,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,DOID:1936,0,4,treat
cocoa,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,DOID:9351,0,10,treat
