term1,term2,snomedct,mesh_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,MESH:D008881,10,0,cause
apple,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,MESH:D003872,4,0,cause
banana,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,MESH:D001249,6,0,cause
banana,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,MESH:D006967,9,0,cause
banana,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,MESH:D010195,3,0,cause
banana,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,MESH:D012220,11,0,cause
barley,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,MESH:D002446,12,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,MESH:D002446,77,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,MESH:D002446,6,0,cause
barley,anaemia,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,MESH:D000740,11,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,MESH:D001249,2,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,MESH:D001249,2,0,cause
barley,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,MESH:D002446,7,0,cause
barley,coeliac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,MESH:D002446,6,0,cause
barley,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,MESH:D003872,18,0,cause
barley,osteoporosis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,MESH:D010024,11,0,cause
beef,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/226916002,MESH:D002169,2,0,cause
beer,Korsakoff's psychosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,MESH:D020915,4,0,cause
beer,Wernicke's encephalopathy,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,MESH:D014899,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,MESH:D020915,3,0,cause
beer,lactic acidosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,MESH:D000140,4,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,MESH:D013684,3,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,MESH:D013684,3,0,cause
cake prepared,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/226639005,MESH:D006967,5,0,cause
calcium,pericardial effusion,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,MESH:D010490,3,0,cause
candy,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,MESH:D013280,6,0,cause
carrot,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,MESH:D003872,4,0,cause
