term1,term2,snomedct,nci_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C89715,10,0,cause
apple,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,NCI:C2983,4,0,cause
banana,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C28397,6,0,cause
banana,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C3114,9,0,cause
banana,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C3306,3,0,cause
banana,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C34986,11,0,cause
barley,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,12,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,77,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,NCI:C26714,6,0,cause
barley,anaemia,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C2869,11,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C28397,2,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C28397,2,0,cause
barley,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,7,0,cause
barley,coeliac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C26714,6,0,cause
barley,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C2983,18,0,cause
barley,osteoporosis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,NCI:C3298,11,0,cause
beer,Korsakoff's psychosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,NCI:C35764,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,NCI:C35764,3,0,cause
beer,lactic acidosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,NCI:C98969,4,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C28194,3,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,NCI:C28194,3,0,cause
cake prepared,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/226639005,NCI:C3114,5,0,cause
calcium,pericardial effusion,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3319,3,0,cause
candy,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,NCI:C26887,6,0,cause
carrot,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,NCI:C2983,4,0,cause
cereal,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C28397,4,0,cause
cereal,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C2983,4,0,cause
cereal,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C2983,4,0,cause
cereal flour,Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,NCI:C28397,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C89715,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C89715,2,0,cause
cheese,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C3117,3,0,cause
cheese,insulin-dependent diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C2986,2,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C89715,12,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C89715,6,0,cause
chicken,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226955001,NCI:C159658,2,0,cause
chocolate,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C89715,2,0,cause
chocolate,atrial fibrillation,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C50466,3,0,cause
chocolate,hyperglycemia,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C26797,4,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C89715,8,0,cause
chocolate,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C89715,7,0,cause
chocolate,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C159658,9,0,cause
