term1,term2,snomedct,nci_disease,is_cause,is_treat,relation
", gymnema",diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260177005,NCI:C2985,0,5,treat
", laver",hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735050002,NCI:C3117,0,8,treat
", laver",hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,NCI:C3117,0,8,treat
", lemon balm",gastric ulcers,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C3388,0,5,treat
", licorice",neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/412060000,NCI:C27090,0,24,treat
apple,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735215001,NCI:C3117,0,8,treat
asparagus,liver cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227218003,NCI:C34803,0,18,treat
banana,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,NCI:C3117,0,8,treat
basil,pneumonia,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C3333,0,10,treat
basil,pulmonary fibrosis,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C26869,0,10,treat
beer,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,NCI:C2866,0,6,treat
beer,amnesia,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,NCI:C2867,0,2,treat
beer,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,NCI:C2985,0,4,treat
beer,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,NCI:C2985,0,4,treat
biotin,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C26747,0,9,treat
black pepper,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/412060000,NCI:C9305,0,15,treat
bread,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226559002,NCI:C26747,0,3,treat
broccoli,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735123009,NCI:C9335,0,2,treat
buckwheat,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,NCI:C35768,0,2,treat
buckwheat,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,NCI:C9305,0,2,treat
buckwheat,constipation,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,NCI:C37930,0,2,treat
buckwheat,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,NCI:C3117,0,2,treat
buckwheat,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,NCI:C159658,0,2,treat
cabbage,arthritis,http://purl.bioontology.org/ontology/SNOMEDCT/735108004,NCI:C2883,0,2,treat
canola oil,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/713648000***http://purl.bioontology.org/ontology/SNOMEDCT/226908006,NCI:C2985,0,2,treat
cauliflower,arthritis,http://purl.bioontology.org/ontology/SNOMEDCT/735336002,NCI:C2883,0,2,treat
cheese,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102262009***http://purl.bioontology.org/ontology/SNOMEDCT/443931000124105,NCI:C2985,0,5,treat
cheese,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C2985,0,5,treat
cheese,hyperphosphatemia,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C113750,0,2,treat
cheese,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,NCI:C26747,0,7,treat
cheese,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226863004,NCI:C26747,0,7,treat
cheese,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,NCI:C26747,0,7,treat
chicken,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/226955001,NCI:C4978,0,5,treat
chickpea flour,type 2 diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,NCI:C26747,0,4,treat
chives,colorectal cancer,http://purl.bioontology.org/ontology/SNOMEDCT/256326004,NCI:C4978,0,5,treat
chives,prostate cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C7378,0,18,treat
chocolate,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C9335,0,10,treat
chocolate,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C2985,0,4,treat
chocolate,metabolic syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C3235,0,3,treat
chocolate,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C2938,0,3,treat
chocolate consumption,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,NCI:C2938,0,3,treat
chocolate consumption,stroke,http://purl.bioontology.org/ontology/SNOMEDCT/16313001,NCI:C2938,0,3,treat
cinnamon,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C2866,0,6,treat
cinnamon,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C2985,0,16,treat
cinnamon,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260177005,NCI:C2985,0,5,treat
cinnamon,diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C2985,0,18,treat
cinnamon,gastric diseases,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C26886,0,3,treat
cinnamon,glucose intolerance,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C34646,0,6,treat
cinnamon,metabolic syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C3235,0,14,treat
cinnamon,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/227400003,NCI:C27090,0,8,treat
cinnamon,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/260180006,NCI:C27090,0,8,treat
cinnamon,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/412060000,NCI:C27090,0,8,treat
cinnamon,neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/735030001,NCI:C27090,0,8,treat
cinnamon,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C159658,0,6,treat
cinnamon,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C26747,0,40,treat
cinnamon,type 2 diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C26747,0,6,treat
cinnamon,type-2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,NCI:C26747,0,7,treat
cocoa,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C35768,0,4,treat
cocoa,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C2985,0,10,treat
cocoa,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C3117,0,2,treat
cocoa,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C159658,0,4,treat
cocoa,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C26747,0,12,treat
cocoa,type 2 diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C26747,0,13,treat
cocoa consumption,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/901000161107,NCI:C26747,0,12,treat
coconut oil,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/735211005***http://purl.bioontology.org/ontology/SNOMEDCT/28942008,NCI:C2866,0,4,treat
coffee,adenomas,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C2855,0,2,treat
coffee,alcoholic liver cirrhosis,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C34782,0,2,treat
coffee,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/256317002,NCI:C35768,0,4,treat
coffee,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/29263009,NCI:C35768,0,4,treat
