term1,term2,snomedct,snomedct_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,SNOMEDCT_US_2020_09_01:155046006,10,0,cause
apple,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
banana,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
banana,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,SNOMEDCT_US_2020_09_01:257550005,9,0,cause
banana,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,SNOMEDCT_US_2020_09_01:393591004,3,0,cause
banana,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,SNOMEDCT_US_2020_09_01:70076002,11,0,cause
banana,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,SNOMEDCT_US_2020_09_01:267817001,11,0,cause
barley,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:197477005,12,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:197477005,77,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
barley,anaemia,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:64593003,11,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
barley,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:197477005,7,0,cause
barley,coeliac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
barley,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:238538009,18,0,cause
barley,osteoporosis,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,SNOMEDCT_US_2020_09_01:156825006,11,0,cause
beef,campylobacteriosis,http://purl.bioontology.org/ontology/SNOMEDCT/226916002,SNOMEDCT_US_2020_09_01:86500004,2,0,cause
beer,Korsakoff's psychosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,SNOMEDCT_US_2020_09_01:69482004,4,0,cause
beer,Wernicke's encephalopathy,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,SNOMEDCT_US_2020_09_01:190627001,4,0,cause
beer,Wernicke-Korsakoff syndrome,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,SNOMEDCT_US_2020_09_01:69482004,3,0,cause
beer,lactic acidosis,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,SNOMEDCT_US_2020_09_01:91273001,4,0,cause
beer,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
beverages,telangiectasia,http://purl.bioontology.org/ontology/SNOMEDCT/412070003,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
cake prepared,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/226639005,SNOMEDCT_US_2020_09_01:257550005,5,0,cause
calcium,pericardial effusion,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:70370001,3,0,cause
candy,stomatitis,http://purl.bioontology.org/ontology/SNOMEDCT/227607007,SNOMEDCT_US_2020_09_01:95361005,6,0,cause
carrot,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
celery,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/256326004,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
cereal,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,SNOMEDCT_US_2020_09_01:187687003,4,0,cause
cereal,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
cereal,eczema,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
cereal flour,Asthma,http://purl.bioontology.org/ontology/SNOMEDCT/23182003,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
cheese,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
cheese,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,SNOMEDCT_US_2020_09_01:38341003,3,0,cause
cheese,insulin-dependent diabetes mellitus,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,SNOMEDCT_US_2020_09_01:46635009,2,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:155046006,12,0,cause
cheese,migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102264005,SNOMEDCT_US_2020_09_01:155046006,6,0,cause
chicken,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226955001,SNOMEDCT_US_2020_09_01:5476005,2,0,cause
chocolate,Migraine,http://purl.bioontology.org/ontology/SNOMEDCT/102262009,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
