term1,term2,snomedct,snomedct_disease,is_cause,is_treat,relation
", gymnema",diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/260177005,SNOMEDCT_US_2020_09_01:267467004,0,5,treat
", laver",hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735050002,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
", laver",hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735053000,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
", lemon balm",gastric ulcers,http://purl.bioontology.org/ontology/SNOMEDCT/70813002,SNOMEDCT_US_2020_09_01:155681009,0,5,treat
", licorice",neurodegenerative diseases,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/412060000,SNOMEDCT_US_2020_09_01:362975008,0,24,treat
apple,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/735215001,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
asparagus,liver cancer,http://purl.bioontology.org/ontology/SNOMEDCT/227218003,SNOMEDCT_US_2020_09_01:187771009,0,18,treat
banana,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,SNOMEDCT_US_2020_09_01:38341003,0,8,treat
basil,pneumonia,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,SNOMEDCT_US_2020_09_01:266391003,0,10,treat
basil,pulmonary fibrosis,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,SNOMEDCT_US_2020_09_01:155613001,0,10,treat
beer,Alzheimer's disease,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,SNOMEDCT_US_2020_09_01:73768007,0,6,treat
beer,amnesia,http://purl.bioontology.org/ontology/SNOMEDCT/53410008,SNOMEDCT_US_2020_09_01:247606008,0,2,treat
beer,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005,SNOMEDCT_US_2020_09_01:267467004,0,4,treat
beer,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,SNOMEDCT_US_2020_09_01:267467004,0,4,treat
biotin,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/227388008,SNOMEDCT_US_2020_09_01:44054006,0,9,treat
black pepper,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/412066006***http://purl.bioontology.org/ontology/SNOMEDCT/412060000,SNOMEDCT_US_2020_09_01:269513004,0,15,treat
bread,type 2 diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/226559002,SNOMEDCT_US_2020_09_01:44054006,0,3,treat
broccoli,breast cancer,http://purl.bioontology.org/ontology/SNOMEDCT/735123009,SNOMEDCT_US_2020_09_01:254837009,0,2,treat
buckwheat,atherosclerosis,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,SNOMEDCT_US_2020_09_01:155414001,0,2,treat
buckwheat,cancers,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,SNOMEDCT_US_2020_09_01:269513004,0,2,treat
buckwheat,constipation,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,SNOMEDCT_US_2020_09_01:363693003,0,2,treat
buckwheat,hypertension,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,SNOMEDCT_US_2020_09_01:38341003,0,2,treat
buckwheat,obesity,http://purl.bioontology.org/ontology/SNOMEDCT/226723006,SNOMEDCT_US_2020_09_01:5476005,0,2,treat
cabbage,arthritis,http://purl.bioontology.org/ontology/SNOMEDCT/735108004,SNOMEDCT_US_2020_09_01:372091005,0,2,treat
canola oil,diabetes,http://purl.bioontology.org/ontology/SNOMEDCT/713648000***http://purl.bioontology.org/ontology/SNOMEDCT/226908006,SNOMEDCT_US_2020_09_01:267467004,0,2,treat
cauliflower,arthritis,http://purl.bioontology.org/ontology/SNOMEDCT/735336002,SNOMEDCT_US_2020_09_01:372091005,0,2,treat
