term1,term2,snomedct,umls_disease,is_cause,is_treat,relation
", beer",migraine,http://purl.bioontology.org/ontology/SNOMEDCT/35748005***http://purl.bioontology.org/ontology/SNOMEDCT/58732000,UMLS_CUI:C0149931,10,0,cause
apple,dermatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256319004,UMLS_CUI:C0011603,4,0,cause
banana,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,UMLS_CUI:C0004096,6,0,cause
banana,hypersensitivity,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,UMLS_CUI:C0020517,9,0,cause
banana,pancreatitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,UMLS_CUI:C0030305,3,0,cause
banana,rhinitis,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,UMLS_CUI:C0035455,11,0,cause
banana,urticaria,http://purl.bioontology.org/ontology/SNOMEDCT/256307007,UMLS_CUI:C0029839,11,0,cause
barley,Celiac Disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0007570,12,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0007570,77,0,cause
barley,Celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/9424004***http://purl.bioontology.org/ontology/SNOMEDCT/418504009,UMLS_CUI:C0007570,6,0,cause
barley,anaemia,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0002871,11,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/63766005,UMLS_CUI:C0004096,2,0,cause
barley,asthma,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0004096,2,0,cause
barley,autoimmune disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0003089,2,0,cause
barley,autoimmune disorder,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0003089,20,0,cause
barley,celiac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0007570,7,0,cause
barley,coeliac disease,http://purl.bioontology.org/ontology/SNOMEDCT/735124003,UMLS_CUI:C0007570,6,0,cause
