term1,term2,wikipedia_id,efo_disease,is_cause,is_treat,relation
allium sativum,anemia,Garlic,EFO:0004272,0,2,treat
allium sativum,asthma,Garlic,EFO:0000270,0,6,treat
allium sativum,atherosclerosis,Garlic,EFO:0003914,0,2,treat
allium sativum,hypertension,Garlic,EFO:0000537,0,5,treat
allium sativum,kidney diseases,Garlic,EFO:0003086,0,4,treat
allium sativum,malaria,Garlic,EFO:0001068,0,4,treat
apium graveolens,hypertension,Wild celery,EFO:0000537,0,3,treat
apple,hypertension,Apple,EFO:0000537,0,8,treat
avena sativa,atopic dermatitis,Oat,EFO:0000274,0,2,treat
banana,hypertension,Banana,EFO:0000537,0,8,treat
beer,Alzheimer's disease,Beer,EFO:0000249,0,6,treat
beverages,celiac disease,Beverages,EFO:0001060,0,3,treat
beverages,coronary heart disease,Beverages,EFO:0001645,0,7,treat
camellia sinensis,hypertension,Tea,EFO:0000537,0,2,treat
camellia sinensis,obesity,Tea,EFO:0001073,0,3,treat
capsicum,hypertension,Capsicum,EFO:0000537,0,3,treat
capsicum,psoriasis,Capsicum,EFO:0000676,0,2,treat
capsicum annuum,anemia,Capsicum_annuum,EFO:0004272,0,10,treat
capsicum annuum,anemia,Italian sweet pepper,EFO:0004272,0,2,treat
capsicum annuum,asthma,Capsicum_annuum,EFO:0000270,0,10,treat
capsicum annuum,asthma,Italian sweet pepper,EFO:0000270,0,2,treat
cheese,type 2 diabetes,Cheese,EFO:0001360,0,28,treat
chocolate,stroke,Types_of_chocolate,EFO:0000712,0,3,treat
cichorium intybus,type 2 diabetes mellitus,Chicory,EFO:0001360,0,3,treat
cinnamomum,type 2 diabetes mellitus,Cinnamon,EFO:0001360,0,6,treat
cinnamon,Alzheimer's disease,Cinnamon,EFO:0000249,0,10,treat
cinnamon,obesity,Cinnamon,EFO:0001073,0,6,treat
cinnamon,type 2 diabetes,Cinnamon,EFO:0001360,0,63,treat
cinnamon,type 2 diabetes mellitus,Cinnamon,EFO:0001360,0,6,treat
cinnamon,type-2 diabetes,Cinnamon,EFO:0001360,0,7,treat
citrus maxima,hypertension,Pomelo,EFO:0000537,0,2,treat
cocktail,anemia,List_of_cocktails,EFO:0004272,0,2,treat
coconut,atopic dermatitis,Coconut,EFO:0000274,0,10,treat
coffee,atherosclerosis,Coffee,EFO:0003914,0,12,treat
coffee,gout,Coffee,EFO:0004274,0,3,treat
coffee,obesity,Coffee,EFO:0001073,0,4,treat
coffee,type 2 diabetes,Coffee,EFO:0001360,0,4,treat
corn,celiac disease,Corn,EFO:0001060,0,6,treat
corn,hypertension,Corn,EFO:0000537,0,8,treat
crocus sativus,asthma,Saffron,EFO:0000270,0,2,treat
curcuma longa,asthma,Turmeric,EFO:0000270,0,4,treat
curcuma longa,obesity,Turmeric,EFO:0001073,0,5,treat
curcuma longa,rheumatoid arthritis,Turmeric,EFO:0000685,0,2,treat
diospyros,impotence,Persimmon,EFO:0004234,0,2,treat
eggs,type 2 diabetes,Eggs,EFO:0001360,0,9,treat
fenugreek,type 2 diabetes,Fenugreek,EFO:0001360,0,9,treat
fruits,Alzheimer's disease,Fruits,EFO:0000249,0,4,treat
fruits,Parkinson's disease,Fruits,EFO:0002508,0,3,treat
fruits,anemia,Fruits,EFO:0004272,0,2,treat
fruits,asthma,Fruits,EFO:0000270,0,18,treat
fruits,atherosclerosis,Fruits,EFO:0003914,0,3,treat
fruits,cerebrovascular diseases,Fruits,EFO:0000712,0,2,treat
fruits,chronic obstructive pulmonary disease,Fruits,EFO:0000341,0,5,treat
fruits,coronary heart disease,Fruits,EFO:0001645,0,25,treat
fruits,heart attacks,Fruits,EFO:0000612,0,2,treat
fruits,hypertension,Fruits,EFO:0000537,0,40,treat
