term1,term2,wikipedia_id,entity_id_y,is_cause,is_treat,relation
alcoholic beverages,heart disease,Alcoholic_beverages,DOID:114,0,2,treat
allium,cancers,Allium haematochiton,DOID:162,0,6,treat
allium,colorectal cancer,Allium haematochiton,DOID:9256,0,6,treat
allium,gastric cancer,Allium haematochiton,DOID:10534,0,10,treat
allium,prostate cancer,Allium haematochiton,DOID:10283,0,9,treat
allium,stomach cancer,Allium haematochiton,DOID:10534,0,6,treat
allium cepa,breast cancer,Onion,DOID:1612,0,4,treat
allium sativum,anemia,Garlic,DOID:2355,0,2,treat
allium sativum,asthma,Garlic,DOID:2841,0,6,treat
allium sativum,atherosclerosis,Garlic,DOID:1936,0,2,treat
allium sativum,bladder cancer,Garlic,DOID:11054,0,3,treat
allium sativum,cancers,Garlic,DOID:162,0,17,treat
allium sativum,diabetes,Garlic,DOID:9351,0,8,treat
allium sativum,dyslipidemia,Garlic,DOID:3146,0,2,treat
allium sativum,gastric cancer,Garlic,DOID:10534,0,5,treat
allium sativum,hypertension,Garlic,DOID:10763,0,5,treat
allium sativum,kidney diseases,Garlic,DOID:557,0,4,treat
allium sativum,liver diseases,Garlic,DOID:409,0,4,treat
allium sativum,malaria,Garlic,DOID:12365,0,4,treat
allium sativum,measles,Garlic,DOID:8622,0,2,treat
allium sativum,neoplasm,Garlic,DOID:14566,0,2,treat
allium sativum,syphilis,Garlic,DOID:4166,0,2,treat
allium sativum,yellow fever,Garlic,DOID:9682,0,2,treat
annona muricata,cancers,Soursop,DOID:162,0,4,treat
annona muricata,prostate cancer,Soursop,DOID:10283,0,4,treat
annona muricata,tuberculosis,Soursop,DOID:399,0,4,treat
annona muricata,urinary tract infections,Soursop,DOID:13148,0,4,treat
apium graveolens,hypertension,Wild celery,DOID:10763,0,3,treat
apple,hypertension,Apple,DOID:10763,0,8,treat
asparagus,liver cancer,Asparagus,DOID:3571,0,18,treat
avena sativa,atopic dermatitis,Oat,DOID:3310,0,2,treat
banana,hypertension,Banana,DOID:10763,0,8,treat
beer,Alzheimer's disease,Beer,DOID:10652,0,6,treat
beer,amnesia,Beer,DOID:10914,0,2,treat
beer,diabetes,Beer,DOID:9351,0,8,treat
beverages,allergic diseases,Beverages,DOID:1205,0,3,treat
beverages,celiac disease,Beverages,DOID:10608,0,3,treat
beverages,coronary heart disease,Beverages,DOID:3393,0,7,treat
beverages,heart disease,Beverages,DOID:114,0,7,treat
brassica oleracea,prostate cancer,Brassica_oleracea,DOID:10283,0,4,treat
breadfruit,diabetes,Breadfruit,DOID:9351,0,2,treat
broccoli,breast cancer,Broccoli,DOID:1612,0,4,treat
broccoli,cancers,Broccoli,DOID:162,0,5,treat
broccoli,cervical cancer,Broccoli,DOID:4362,0,2,treat
broccoli,colon cancer,Broccoli,DOID:219,0,4,treat
broccoli,diabetes,Broccoli,DOID:9351,0,5,treat
broccoli,mammary tumors,Broccoli,DOID:1612,0,4,treat
broccoli,neurodegenerative diseases,Broccoli,DOID:1289,0,5,treat
cabbage,arthritis,Cabbage,DOID:848,0,2,treat
cabbage,breast cancer,Cabbage,DOID:1612,0,3,treat
cabbage,cervical cancer,Cabbage,DOID:4362,0,2,treat
camellia sinensis,colorectal cancer,Tea,DOID:9256,0,4,treat
camellia sinensis,diabetes,Tea,DOID:9351,0,5,treat
camellia sinensis,hypertension,Tea,DOID:10763,0,2,treat
camellia sinensis,obesity,Tea,DOID:9970,0,3,treat
capsicum,cancers,Capsicum,DOID:162,0,15,treat
capsicum,hypertension,Capsicum,DOID:10763,0,3,treat
capsicum,psoriasis,Capsicum,DOID:8893,0,2,treat
capsicum annuum,anemia,Capsicum_annuum,DOID:2355,0,10,treat
capsicum annuum,anemia,Italian sweet pepper,DOID:2355,0,2,treat
capsicum annuum,asthma,Capsicum_annuum,DOID:2841,0,10,treat
capsicum annuum,asthma,Italian sweet pepper,DOID:2841,0,2,treat
capsicum annuum,measles,Capsicum_annuum,DOID:8622,0,10,treat
capsicum annuum,measles,Italian sweet pepper,DOID:8622,0,2,treat
capsicum annuum,syphilis,Capsicum_annuum,DOID:4166,0,10,treat
capsicum annuum,syphilis,Italian sweet pepper,DOID:4166,0,2,treat
cauliflower,arthritis,Cauliflower,DOID:848,0,2,treat
cheese,diabetes,Cheese,DOID:9351,0,25,treat
cheese,hyperphosphatemia,Cheese,DOID:0050459,0,2,treat
cheese,type 2 diabetes,Cheese,DOID:9352,0,28,treat
chives,colorectal cancer,Chives,DOID:9256,0,5,treat
chives,prostate cancer,Chives,DOID:10283,0,18,treat
chocolate,breast cancer,Types_of_chocolate,DOID:1612,0,10,treat
chocolate,diabetes,Types_of_chocolate,DOID:9351,0,4,treat
chocolate,metabolic syndrome,Types_of_chocolate,DOID:0014667,0,3,treat
chocolate,stroke,Types_of_chocolate,DOID:6713,0,3,treat
cichorium intybus,type 2 diabetes mellitus,Chicory,DOID:9352,0,3,treat
cinnamomum,diabetes,Cinnamon,DOID:9351,0,2,treat
cinnamomum,gastritis,Cinnamon,DOID:4029,0,2,treat
cinnamomum,type 2 diabetes mellitus,Cinnamon,DOID:9352,0,6,treat
cinnamon,Alzheimer's disease,Cinnamon,DOID:10652,0,10,treat
cinnamon,diabetes,Cinnamon,DOID:9351,0,34,treat
cinnamon,diabetes mellitus,Cinnamon,DOID:9351,0,18,treat
cinnamon,diabetes mellitus type 2,Cinnamon,DOID:0111099;DOID:9352,0,2,treat
cinnamon,diarrhea,Cinnamon,DOID:13250,0,3,treat
cinnamon,gastric diseases,Cinnamon,DOID:76,0,3,treat
cinnamon,glucose intolerance,Cinnamon,DOID:10603,0,6,treat
cinnamon,metabolic syndrome,Cinnamon,DOID:0014667,0,21,treat
cinnamon,neurodegenerative diseases,Cinnamon,DOID:1289,0,40,treat
cinnamon,obesity,Cinnamon,DOID:9970,0,6,treat
cinnamon,type 2 diabetes,Cinnamon,DOID:9352,0,63,treat
cinnamon,type 2 diabetes mellitus,Cinnamon,DOID:9352,0,6,treat
cinnamon,type-2 diabetes,Cinnamon,DOID:9352,0,7,treat
citrus,gastric cancer,Citrus,DOID:10534,0,4,treat
citrus maxima,hypertension,Pomelo,DOID:10763,0,2,treat
cocktail,anemia,List_of_cocktails,DOID:2355,0,2,treat
cocktail,degenerative diseases,List_of_cocktails,DOID:1289,0,2,treat
coconut,atopic dermatitis,Coconut,DOID:3310,0,10,treat
coffee,adenomas,Coffee,DOID:657,0,2,treat
coffee,alcoholic liver cirrhosis,Coffee,DOID:14018,0,2,treat
coffee,atherosclerosis,Coffee,DOID:1936,0,12,treat
coffee,diabetes,Coffee,DOID:9351,0,5,treat
coffee,gastric cancer,Coffee,DOID:10534,0,4,treat
coffee,gout,Coffee,DOID:13189,0,3,treat
coffee,hyperuricemia,Coffee,DOID:1920,0,2,treat
coffee,liver disease,Coffee,DOID:409,0,4,treat
coffee,nonalcoholic steatohepatitis,Coffee,DOID:0080547,0,4,treat
coffee,obesity,Coffee,DOID:9970,0,4,treat
coffee,type 2 diabetes,Coffee,DOID:9352,0,4,treat
