term1,term2,wikipedia_id,mesh_disease,is_cause,is_treat,relation
alcoholic beverages,heart disease,Alcoholic_beverages,MESH:D006331,0,2,treat
allium,cancers,Allium haematochiton,MESH:D009369,0,6,treat
allium,colorectal cancer,Allium haematochiton,MESH:D015179,0,6,treat
allium,gastric cancer,Allium haematochiton,MESH:D013274,0,10,treat
allium,prostate cancer,Allium haematochiton,MESH:D011471,0,9,treat
allium,stomach cancer,Allium haematochiton,MESH:D013274,0,6,treat
allium cepa,breast cancer,Onion,MESH:D001943,0,4,treat
allium sativum,anemia,Garlic,MESH:D000740,0,2,treat
allium sativum,asthma,Garlic,MESH:D001249,0,6,treat
allium sativum,atherosclerosis,Garlic,MESH:D050197,0,2,treat
allium sativum,bladder cancer,Garlic,MESH:D001749,0,3,treat
allium sativum,cancers,Garlic,MESH:D009369,0,17,treat
allium sativum,diabetes,Garlic,MESH:D003920,0,8,treat
allium sativum,dyslipidemia,Garlic,MESH:D008052,0,2,treat
allium sativum,gastric cancer,Garlic,MESH:D013274,0,5,treat
allium sativum,hypertension,Garlic,MESH:D006973,0,5,treat
allium sativum,kidney diseases,Garlic,MESH:D007674,0,4,treat
allium sativum,liver diseases,Garlic,MESH:D008107,0,4,treat
allium sativum,malaria,Garlic,MESH:D008288,0,4,treat
allium sativum,measles,Garlic,MESH:D008457,0,2,treat
allium sativum,syphilis,Garlic,MESH:D002601,0,2,treat
allium sativum,yellow fever,Garlic,MESH:D015004,0,2,treat
annona muricata,cancers,Soursop,MESH:D009369,0,4,treat
annona muricata,prostate cancer,Soursop,MESH:D011471,0,4,treat
annona muricata,tuberculosis,Soursop,MESH:D014375,0,4,treat
apium graveolens,hypertension,Wild celery,MESH:D006973,0,3,treat
apple,hypertension,Apple,MESH:D006973,0,8,treat
asparagus,liver cancer,Asparagus,MESH:D008113,0,18,treat
avena sativa,atopic dermatitis,Oat,MESH:D003876,0,2,treat
banana,hypertension,Banana,MESH:D006973,0,8,treat
beer,Alzheimer's disease,Beer,MESH:D000544,0,6,treat
beer,amnesia,Beer,MESH:D000647,0,2,treat
beer,diabetes,Beer,MESH:D003920,0,8,treat
beverages,allergic diseases,Beverages,MESH:D006967,0,3,treat
beverages,celiac disease,Beverages,MESH:D002446,0,3,treat
beverages,coronary heart disease,Beverages,MESH:D003324,0,7,treat
beverages,heart disease,Beverages,MESH:D006331,0,7,treat
brassica oleracea,prostate cancer,Brassica_oleracea,MESH:D011471,0,4,treat
breadfruit,diabetes,Breadfruit,MESH:D003920,0,2,treat
broccoli,breast cancer,Broccoli,MESH:D001943,0,4,treat
broccoli,cancers,Broccoli,MESH:D009369,0,5,treat
broccoli,cervical cancer,Broccoli,MESH:D002583,0,2,treat
