term1,term2,wikipedia_id,nci_disease,is_cause,is_treat,relation
agaricus bisporus,allergic rhinitis,Agaricus bisporus,NCI:C34987,6,0,cause
agaricus bisporus,asthma,Agaricus bisporus,NCI:C28397,6,0,cause
allium cepa,asthma,Onion,NCI:C28397,3,0,cause
allium cepa,dermatitis,Onion,NCI:C2983,3,0,cause
allium sativum,dermatitis,Garlic,NCI:C2983,2,0,cause
apple,dermatitis,Apple,NCI:C2983,4,0,cause
banana,asthma,Banana,NCI:C28397,6,0,cause
banana,hypersensitivity,Banana,NCI:C3114,10,0,cause
banana,pancreatitis,Banana,NCI:C3306,3,0,cause
banana,rhinitis,Banana,NCI:C34986,11,0,cause
barley,Celiac Disease,Barley,NCI:C26714,12,0,cause
barley,Celiac disease,Barley,NCI:C26714,83,0,cause
barley,anaemia,Barley,NCI:C2869,11,0,cause
barley,asthma,Barley,NCI:C28397,4,0,cause
barley,celiac disease,Barley,NCI:C26714,7,0,cause
barley,coeliac disease,Barley,NCI:C26714,6,0,cause
barley,dermatitis,Barley,NCI:C2983,18,0,cause
barley,osteoporosis,Barley,NCI:C3298,11,0,cause
beer,Korsakoff's psychosis,Beer,NCI:C35764,4,0,cause
beer,Wernicke-Korsakoff syndrome,Beer,NCI:C35764,3,0,cause
beer,lactic acidosis,Beer,NCI:C98969,5,0,cause
beverages,rosacea,Beverages,NCI:C97136,2,0,cause
beverages,telangiectasia,Beverages,NCI:C28194,6,0,cause
carrot,dermatitis,Carrot,NCI:C2983,4,0,cause
cheese,Migraine,Cheese,NCI:C89715,6,0,cause
cheese,hypertension,Cheese,NCI:C3117,3,0,cause
cheese,insulin-dependent diabetes mellitus,Cheese,NCI:C2986,2,0,cause
cheese,migraine,Cheese,NCI:C89715,20,0,cause
chestnut,hypersensitivity,Chestnut,NCI:C3114,6,0,cause
chewing gum,stomatitis,Chewing_gum,NCI:C26887,6,0,cause
chicken,obesity,Chicken,NCI:C159658,2,0,cause
chicory,asthma,Chicory,NCI:C28397,4,0,cause
chocolate,Migraine,Types_of_chocolate,NCI:C89715,2,0,cause
chocolate,atrial fibrillation,Types_of_chocolate,NCI:C50466,3,0,cause
chocolate,hyperglycemia,Types_of_chocolate,NCI:C26797,4,0,cause
chocolate,migraine,Types_of_chocolate,NCI:C89715,15,0,cause
chocolate,obesity,Types_of_chocolate,NCI:C159658,16,0,cause
cinnamon,dermatitis,Cinnamon,NCI:C2983,3,0,cause
cinnamon,hepatitis,Cinnamon,NCI:C82978,4,0,cause
cinnamon,hypersensitivity,Cinnamon,NCI:C3114,10,0,cause
cinnamon,stomatitis,Cinnamon,NCI:C26887,19,0,cause
cinnamon,telangiectasia,Cinnamon,NCI:C28194,3,0,cause
corn,dermatitis,Corn,NCI:C2983,11,0,cause
corn,rhinitis,Corn,NCI:C34986,3,0,cause
crab,allergic rhinitis,Crab,NCI:C34987,3,0,cause
