term1,term2,wikipedia_id,omim_disease,is_cause,is_treat,relation
allium,colorectal cancer,Allium haematochiton,OMIM:114500,0,6,treat
allium,gastric cancer,Allium haematochiton,OMIM:613659,0,10,treat
allium,prostate cancer,Allium haematochiton,OMIM:608658,0,9,treat
allium,stomach cancer,Allium haematochiton,OMIM:613659,0,6,treat
allium cepa,breast cancer,Onion,OMIM:114480,0,4,treat
allium sativum,asthma,Garlic,OMIM:600807,0,6,treat
allium sativum,bladder cancer,Garlic,OMIM:109800,0,3,treat
allium sativum,gastric cancer,Garlic,OMIM:613659,0,5,treat
annona muricata,prostate cancer,Soursop,OMIM:608658,0,4,treat
avena sativa,atopic dermatitis,Oat,OMIM:603165,0,2,treat
beverages,celiac disease,Beverages,OMIM:611598,0,3,treat
beverages,coronary heart disease,Beverages,OMIM:614293,0,7,treat
brassica oleracea,prostate cancer,Brassica_oleracea,OMIM:608658,0,4,treat
broccoli,breast cancer,Broccoli,OMIM:114480,0,4,treat
broccoli,cervical cancer,Broccoli,OMIM:603956,0,2,treat
broccoli,mammary tumors,Broccoli,OMIM:114480,0,4,treat
cabbage,breast cancer,Cabbage,OMIM:114480,0,3,treat
cabbage,cervical cancer,Cabbage,OMIM:603956,0,2,treat
camellia sinensis,colorectal cancer,Tea,OMIM:114500,0,4,treat
camellia sinensis,obesity,Tea,OMIM:601665,0,3,treat
capsicum,psoriasis,Capsicum,OMIM:PS177900,0,2,treat
capsicum annuum,asthma,Capsicum_annuum,OMIM:600807,0,10,treat
capsicum annuum,asthma,Italian sweet pepper,OMIM:600807,0,2,treat
cheese,type 2 diabetes,Cheese,OMIM:601283,0,28,treat
chives,colorectal cancer,Chives,OMIM:114500,0,5,treat
chives,prostate cancer,Chives,OMIM:608658,0,18,treat
chocolate,breast cancer,Types_of_chocolate,OMIM:114480,0,10,treat
cichorium intybus,type 2 diabetes mellitus,Chicory,OMIM:601283,0,3,treat
cinnamomum,type 2 diabetes mellitus,Cinnamon,OMIM:601283,0,6,treat
cinnamon,obesity,Cinnamon,OMIM:601665,0,6,treat
cinnamon,type 2 diabetes,Cinnamon,OMIM:601283,0,63,treat
cinnamon,type 2 diabetes mellitus,Cinnamon,OMIM:601283,0,6,treat
cinnamon,type-2 diabetes,Cinnamon,OMIM:601283,0,7,treat
citrus,gastric cancer,Citrus,OMIM:613659,0,4,treat
coconut,atopic dermatitis,Coconut,OMIM:603165,0,10,treat
coffee,gastric cancer,Coffee,OMIM:613659,0,4,treat
coffee,obesity,Coffee,OMIM:601665,0,4,treat
coffee,type 2 diabetes,Coffee,OMIM:601283,0,4,treat
corn,celiac disease,Corn,OMIM:611598,0,6,treat
corn,neural tube defects,Corn,OMIM:301410,0,5,treat
crocus sativus,asthma,Saffron,OMIM:600807,0,2,treat
cucurbita,alopecia,Cucurbita,OMIM:PS203655,0,2,treat
curcuma longa,asthma,Turmeric,OMIM:600807,0,4,treat
curcuma longa,obesity,Turmeric,OMIM:601665,0,5,treat
curcuma longa,rheumatoid arthritis,Turmeric,OMIM:180300,0,2,treat
eggs,type 2 diabetes,Eggs,OMIM:601283,0,9,treat
fenugreek,type 2 diabetes,Fenugreek,OMIM:601283,0,9,treat
flour,Neural Tube Defects,Flour,OMIM:301410,0,2,treat
flour,anencephaly,Flour,OMIM:206500,0,6,treat
flour,neural tube defects,Flour,OMIM:301410,0,13,treat
fruits,Breast Cancer,Fruits,OMIM:114480,0,5,treat
fruits,Parkinson's disease,Fruits,OMIM:PS168600,0,3,treat
fruits,asthma,Fruits,OMIM:600807,0,18,treat
fruits,bladder cancer,Fruits,OMIM:109800,0,5,treat
fruits,breast cancer,Fruits,OMIM:114480,0,7,treat
fruits,cataracts,Fruits,OMIM:601371,0,7,treat
