term1,term2,wikipedia_id,snomedct_disease,is_cause,is_treat,relation
agaricus bisporus,allergic rhinitis,Agaricus bisporus,SNOMEDCT_US_2020_09_01:38103000,6,0,cause
agaricus bisporus,asthma,Agaricus bisporus,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
allium cepa,asthma,Onion,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
allium cepa,dermatitis,Onion,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
allium sativum,dermatitis,Garlic,SNOMEDCT_US_2020_09_01:238538009,2,0,cause
apple,dermatitis,Apple,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
baby food,diarrhea,Baby food,SNOMEDCT_US_2020_09_01:154268000,3,0,cause
banana,asthma,Banana,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
banana,hypersensitivity,Banana,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
banana,pancreatitis,Banana,SNOMEDCT_US_2020_09_01:393591004,3,0,cause
banana,rhinitis,Banana,SNOMEDCT_US_2020_09_01:70076002,11,0,cause
banana,urticaria,Banana,SNOMEDCT_US_2020_09_01:267817001,11,0,cause
barley,Celiac Disease,Barley,SNOMEDCT_US_2020_09_01:197477005,12,0,cause
barley,Celiac disease,Barley,SNOMEDCT_US_2020_09_01:197477005,83,0,cause
barley,anaemia,Barley,SNOMEDCT_US_2020_09_01:64593003,11,0,cause
barley,asthma,Barley,SNOMEDCT_US_2020_09_01:187687003,4,0,cause
barley,celiac disease,Barley,SNOMEDCT_US_2020_09_01:197477005,7,0,cause
barley,coeliac disease,Barley,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
barley,dermatitis,Barley,SNOMEDCT_US_2020_09_01:238538009,18,0,cause
barley,osteoporosis,Barley,SNOMEDCT_US_2020_09_01:156825006,11,0,cause
beer,Korsakoff's psychosis,Beer,SNOMEDCT_US_2020_09_01:69482004,4,0,cause
beer,Wernicke's encephalopathy,Beer,SNOMEDCT_US_2020_09_01:190627001,4,0,cause
beer,Wernicke-Korsakoff syndrome,Beer,SNOMEDCT_US_2020_09_01:69482004,3,0,cause
beer,lactic acidosis,Beer,SNOMEDCT_US_2020_09_01:91273001,5,0,cause
beer,urticaria,Beer,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
beverages,rosacea,Beverages,SNOMEDCT_US_2020_09_01:1612004,2,0,cause
beverages,telangiectasia,Beverages,SNOMEDCT_US_2020_09_01:112641009,6,0,cause
carrot,dermatitis,Carrot,SNOMEDCT_US_2020_09_01:238538009,4,0,cause
cheese,Migraine,Cheese,SNOMEDCT_US_2020_09_01:155046006,6,0,cause
cheese,hypertension,Cheese,SNOMEDCT_US_2020_09_01:38341003,3,0,cause
cheese,insulin-dependent diabetes mellitus,Cheese,SNOMEDCT_US_2020_09_01:46635009,2,0,cause
cheese,migraine,Cheese,SNOMEDCT_US_2020_09_01:155046006,20,0,cause
chestnut,hypersensitivity,Chestnut,SNOMEDCT_US_2020_09_01:257550005,6,0,cause
chewing gum,stomatitis,Chewing_gum,SNOMEDCT_US_2020_09_01:95361005,6,0,cause
chicken,obesity,Chicken,SNOMEDCT_US_2020_09_01:5476005,2,0,cause
chicory,asthma,Chicory,SNOMEDCT_US_2020_09_01:187687003,4,0,cause
chocolate,Migraine,Types_of_chocolate,SNOMEDCT_US_2020_09_01:155046006,2,0,cause
chocolate,Pertussis,Types_of_chocolate,SNOMEDCT_US_2020_09_01:26484003,2,0,cause
chocolate,acne,Types_of_chocolate,SNOMEDCT_US_2020_09_01:11381005,34,0,cause
chocolate,atrial fibrillation,Types_of_chocolate,SNOMEDCT_US_2020_09_01:266306001,3,0,cause
chocolate,hyperglycemia,Types_of_chocolate,SNOMEDCT_US_2020_09_01:144187006,4,0,cause
chocolate,migraine,Types_of_chocolate,SNOMEDCT_US_2020_09_01:155046006,15,0,cause
chocolate,obesity,Types_of_chocolate,SNOMEDCT_US_2020_09_01:5476005,16,0,cause
cinnamon,dermatitis,Cinnamon,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
cinnamon,hepatitis,Cinnamon,SNOMEDCT_US_2020_09_01:266539002,4,0,cause
cinnamon,hypersensitivity,Cinnamon,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
cinnamon,stomatitis,Cinnamon,SNOMEDCT_US_2020_09_01:95361005,19,0,cause
cinnamon,telangiectasia,Cinnamon,SNOMEDCT_US_2020_09_01:112641009,3,0,cause
coffee,acne,Coffee,SNOMEDCT_US_2020_09_01:11381005,33,0,cause
corn,dermatitis,Corn,SNOMEDCT_US_2020_09_01:238538009,11,0,cause
corn,rhinitis,Corn,SNOMEDCT_US_2020_09_01:70076002,3,0,cause
crab,allergic rhinitis,Crab,SNOMEDCT_US_2020_09_01:38103000,3,0,cause
eggs,acne,Eggs,SNOMEDCT_US_2020_09_01:11381005,32,0,cause
eggs,eczema,Eggs,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
eggs,obstructive uropathy,Eggs,SNOMEDCT_US_2020_09_01:7163005,3,0,cause
eggs,urticaria,Eggs,SNOMEDCT_US_2020_09_01:267817001,2,0,cause
flour,Asthma,Flour,SNOMEDCT_US_2020_09_01:187687003,5,0,cause
flour,allergic rhinitis,Flour,SNOMEDCT_US_2020_09_01:38103000,4,0,cause
flour,asthma,Flour,SNOMEDCT_US_2020_09_01:187687003,30,0,cause
flour,hypersensitivity pneumonitis,Flour,SNOMEDCT_US_2020_09_01:155581001,3,0,cause
flour,rhinitis,Flour,SNOMEDCT_US_2020_09_01:70076002,6,0,cause
flour,urticaria,Flour,SNOMEDCT_US_2020_09_01:267817001,2,0,cause
fruit juice,angioedema,Juice,SNOMEDCT_US_2020_09_01:41291007,2,0,cause
fruit juice,gastrointestinal disorders,Juice,SNOMEDCT_US_2020_09_01:53619000,2,0,cause
fruits,allergic conjunctivitis,Fruits,SNOMEDCT_US_2020_09_01:231854006,9,0,cause
fruits,carotenemia,Fruits,SNOMEDCT_US_2020_09_01:35487009,3,0,cause
fruits,dermatitis,Fruits,SNOMEDCT_US_2020_09_01:238538009,3,0,cause
fruits,hypersensitivity,Fruits,SNOMEDCT_US_2020_09_01:257550005,5,0,cause
garlic,dermatitis,Garlic,SNOMEDCT_US_2020_09_01:238538009,19,0,cause
garlic,hemolytic anemia,Garlic,SNOMEDCT_US_2020_09_01:61261009,5,0,cause
garlic,hypersensitivity,Garlic,SNOMEDCT_US_2020_09_01:257550005,10,0,cause
garlic,rhinitis,Garlic,SNOMEDCT_US_2020_09_01:70076002,18,0,cause
hordeum vulgare,asthma,Barley,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
horseradish,hypersensitivity,Horseradish,SNOMEDCT_US_2020_09_01:257550005,50,0,cause
lemon,endophthalmitis,Lemon,SNOMEDCT_US_2020_09_01:1847009,3,0,cause
lemon,hypersensitivity,Lemon,SNOMEDCT_US_2020_09_01:257550005,5,0,cause
lemon,urticaria,Lemon,SNOMEDCT_US_2020_09_01:267817001,3,0,cause
mustard,asthma,Mustard_(condiment),SNOMEDCT_US_2020_09_01:187687003,2,0,cause
mustard,hypersensitivity,Mustard_(condiment),SNOMEDCT_US_2020_09_01:257550005,13,0,cause
mustard,pancreatitis,Mustard_(condiment),SNOMEDCT_US_2020_09_01:393591004,3,0,cause
papaya,hypersensitivity,Papaya,SNOMEDCT_US_2020_09_01:257550005,2,0,cause
peach,urticaria,Peach,SNOMEDCT_US_2020_09_01:267817001,12,0,cause
peanut,atopic dermatitis,Mr. Peanut,SNOMEDCT_US_2020_09_01:156331003,3,0,cause
phaseolus vulgaris,diarrhoea,Phaseolus vulgaris,SNOMEDCT_US_2020_09_01:154268000,2,0,cause
phaseolus vulgaris,diarrhoea,Phaseolus_vulgaris,SNOMEDCT_US_2020_09_01:154268000,4,0,cause
phaseolus vulgaris,gastroenteritis,Phaseolus_vulgaris,SNOMEDCT_US_2020_09_01:154278002,2,0,cause
pizza,allergic rhinitis,Pizza,SNOMEDCT_US_2020_09_01:38103000,6,0,cause
pizza,asthma,Pizza,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
popcorn,bronchiolitis obliterans,Popcorn,SNOMEDCT_US_2020_09_01:40100001,5,0,cause
potato,asthma,Potato,SNOMEDCT_US_2020_09_01:187687003,2,0,cause
potato,dermatitis,Potato,SNOMEDCT_US_2020_09_01:238538009,8,0,cause
rabbit,atopic dermatitis,Rabbit,SNOMEDCT_US_2020_09_01:156331003,3,0,cause
rice,asthma,Rice,SNOMEDCT_US_2020_09_01:187687003,6,0,cause
rice,urticaria,Rice,SNOMEDCT_US_2020_09_01:267817001,6,0,cause
rosemary,asthma,Rosemary,SNOMEDCT_US_2020_09_01:187687003,3,0,cause
rye,Celiac Disease,Rye,SNOMEDCT_US_2020_09_01:197477005,6,0,cause
rye,Celiac disease,Rye,SNOMEDCT_US_2020_09_01:197477005,22,0,cause
