term1,term2,wikipedia_id,umls_disease,is_cause,is_treat,relation
alcoholic beverages,heart disease,Alcoholic_beverages,UMLS_CUI:C0018799,0,2,treat
allium,cancers,Allium haematochiton,UMLS_CUI:C0006826,0,6,treat
allium,colorectal cancer,Allium haematochiton,UMLS_CUI:C0346629,0,6,treat
allium,gastric cancer,Allium haematochiton,UMLS_CUI:C0024623,0,10,treat
allium,prostate cancer,Allium haematochiton,UMLS_CUI:C0033578,0,9,treat
allium,stomach cancer,Allium haematochiton,UMLS_CUI:C0024623,0,6,treat
allium cepa,breast cancer,Onion,UMLS_CUI:C0006142,0,4,treat
allium sativum,anemia,Garlic,UMLS_CUI:C0002871,0,2,treat
allium sativum,asthma,Garlic,UMLS_CUI:C0004096,0,6,treat
allium sativum,atherosclerosis,Garlic,UMLS_CUI:C0004153,0,2,treat
allium sativum,bladder cancer,Garlic,UMLS_CUI:C0005684,0,3,treat
allium sativum,cancers,Garlic,UMLS_CUI:C0006826,0,17,treat
allium sativum,diabetes,Garlic,UMLS_CUI:C0011849,0,8,treat
allium sativum,dyslipidemia,Garlic,UMLS_CUI:C0023772,0,2,treat
allium sativum,gastric cancer,Garlic,UMLS_CUI:C0024623,0,5,treat
allium sativum,hypertension,Garlic,UMLS_CUI:C0020538,0,5,treat
allium sativum,kidney diseases,Garlic,UMLS_CUI:C0022658,0,4,treat
allium sativum,liver diseases,Garlic,UMLS_CUI:C0023895,0,4,treat
allium sativum,malaria,Garlic,UMLS_CUI:C0024530,0,4,treat
allium sativum,measles,Garlic,UMLS_CUI:C0025007,0,2,treat
allium sativum,syphilis,Garlic,UMLS_CUI:C0007939,0,2,treat
allium sativum,yellow fever,Garlic,UMLS_CUI:C0043395,0,2,treat
annona muricata,cancers,Soursop,UMLS_CUI:C0006826,0,4,treat
annona muricata,prostate cancer,Soursop,UMLS_CUI:C0033578,0,4,treat
annona muricata,tuberculosis,Soursop,UMLS_CUI:C0041295,0,4,treat
annona muricata,urinary tract infections,Soursop,UMLS_CUI:C0149523,0,4,treat
apium graveolens,hypertension,Wild celery,UMLS_CUI:C0020538,0,3,treat
apple,hypertension,Apple,UMLS_CUI:C0020538,0,8,treat
asparagus,liver cancer,Asparagus,UMLS_CUI:C0854795,0,18,treat
avena sativa,atopic dermatitis,Oat,UMLS_CUI:C0011615,0,2,treat
banana,hypertension,Banana,UMLS_CUI:C0020538,0,8,treat
beer,Alzheimer's disease,Beer,UMLS_CUI:C0002395,0,6,treat
beer,amnesia,Beer,UMLS_CUI:C0002625,0,2,treat
beer,diabetes,Beer,UMLS_CUI:C0011849,0,8,treat
beverages,allergic diseases,Beverages,UMLS_CUI:C0020517,0,3,treat
beverages,celiac disease,Beverages,UMLS_CUI:C0007570,0,3,treat
beverages,coronary heart disease,Beverages,UMLS_CUI:C0151744,0,7,treat
beverages,heart disease,Beverages,UMLS_CUI:C0018799,0,7,treat
brassica oleracea,prostate cancer,Brassica_oleracea,UMLS_CUI:C0033578,0,4,treat
breadfruit,diabetes,Breadfruit,UMLS_CUI:C0011849,0,2,treat
broccoli,breast cancer,Broccoli,UMLS_CUI:C0006142,0,4,treat
broccoli,cancers,Broccoli,UMLS_CUI:C0006826,0,5,treat
broccoli,cervical cancer,Broccoli,UMLS_CUI:C0007873,0,2,treat
broccoli,colon cancer,Broccoli,UMLS_CUI:C0007102,0,4,treat
broccoli,diabetes,Broccoli,UMLS_CUI:C0011849,0,5,treat
broccoli,mammary tumors,Broccoli,UMLS_CUI:C0006142,0,4,treat
broccoli,neurodegenerative diseases,Broccoli,UMLS_CUI:C1285162,0,5,treat
cabbage,arthritis,Cabbage,UMLS_CUI:C0003864,0,2,treat
cabbage,breast cancer,Cabbage,UMLS_CUI:C0006142,0,3,treat
cabbage,cervical cancer,Cabbage,UMLS_CUI:C0007873,0,2,treat
camellia sinensis,colorectal cancer,Tea,UMLS_CUI:C0346629,0,4,treat
camellia sinensis,diabetes,Tea,UMLS_CUI:C0011849,0,5,treat
camellia sinensis,hypertension,Tea,UMLS_CUI:C0020538,0,2,treat
camellia sinensis,obesity,Tea,UMLS_CUI:C0028754,0,3,treat
capsicum,cancers,Capsicum,UMLS_CUI:C0006826,0,15,treat
capsicum,hypertension,Capsicum,UMLS_CUI:C0020538,0,3,treat
capsicum,psoriasis,Capsicum,UMLS_CUI:C0033860,0,2,treat
